🦵🏻	bahagian kaki, kaki, kaki: ton kulit cerah, tendang, ton kulit cerah
⛹🏽	bola, orang melantun bola, orang melantun bola: ton kulit sederhana, ton kulit sederhana
⛹🏾	bola, orang melantun bola, orang melantun bola: ton kulit sederhana gelap, ton kulit sederhana gelap
⛹🏿	bola, orang melantun bola, orang melantun bola: ton kulit gelap, ton kulit gelap
⛹🏻‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit cerah, ton kulit cerah
⛹🏼‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit sederhana cerah, ton kulit sederhana cerah
⛹🏽‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit sederhana, ton kulit sederhana
⛹🏾‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit sederhana gelap, ton kulit sederhana gelap
⛹🏿‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit gelap, ton kulit gelap
⛹🏻‍♀	bola, perempuan, ton kulit cerah, wanita, wanita melantun bola, wanita melantun bola: ton kulit cerah
⛹🏼‍♀	bola, perempuan, ton kulit sederhana cerah, wanita, wanita melantun bola, wanita melantun bola: ton kulit sederhana cerah
⛹🏽‍♀	bola, perempuan, ton kulit sederhana, wanita, wanita melantun bola, wanita melantun bola: ton kulit sederhana
⛹🏾‍♀	bola, perempuan, ton kulit sederhana gelap, wanita, wanita melantun bola, wanita melantun bola: ton kulit sederhana gelap
⛹🏿‍♀	bola, perempuan, ton kulit gelap, wanita, wanita melantun bola, wanita melantun bola: ton kulit gelap
🏋🏻	ahli angkat berat, ahli angkat berat: ton kulit cerah, berat, pengangkat, ton kulit cerah
🏋🏼	ahli angkat berat, ahli angkat berat: ton kulit sederhana cerah, berat, pengangkat, ton kulit sederhana cerah
🏋🏽	ahli angkat berat, ahli angkat berat: ton kulit sederhana, berat, pengangkat, ton kulit sederhana
🏋🏾	ahli angkat berat, ahli angkat berat: ton kulit sederhana gelap, berat, pengangkat, ton kulit sederhana gelap
🏋🏿	ahli angkat berat, ahli angkat berat: ton kulit gelap, berat, pengangkat, ton kulit gelap
🏋🏻‍♂	lelaki, lelaki mengangkat berat, lelaki mengangkat berat: ton kulit cerah, pengangkat berat, ton kulit cerah
🏋🏼‍♂	lelaki, lelaki mengangkat berat, lelaki mengangkat berat: ton kulit sederhana cerah, pengangkat berat, ton kulit sederhana cerah
🏋🏽‍♂	lelaki, lelaki mengangkat berat, lelaki mengangkat berat: ton kulit sederhana, pengangkat berat, ton kulit sederhana
🏋🏾‍♂	lelaki, lelaki mengangkat berat, lelaki mengangkat berat: ton kulit sederhana gelap, pengangkat berat, ton kulit sederhana gelap
🏋🏿‍♂	lelaki, lelaki mengangkat berat, lelaki mengangkat berat: ton kulit gelap, pengangkat berat, ton kulit gelap
🏋🏻‍♀	pengangkat berat, perempuan, ton kulit cerah, wanita, wanita mengangkat berat, wanita mengangkat berat: ton kulit cerah
🏋🏼‍♀	pengangkat berat, perempuan, ton kulit sederhana cerah, wanita, wanita mengangkat berat, wanita mengangkat berat: ton kulit sederhana cerah
🏋🏽‍♀	pengangkat berat, perempuan, ton kulit sederhana, wanita, wanita mengangkat berat, wanita mengangkat berat: ton kulit sederhana
🏋🏾‍♀	pengangkat berat, perempuan, ton kulit sederhana gelap, wanita, wanita mengangkat berat, wanita mengangkat berat: ton kulit sederhana gelap
🏋🏿‍♀	pengangkat berat, perempuan, ton kulit gelap, wanita, wanita mengangkat berat, wanita mengangkat berat: ton kulit gelap
🚴🏻	basikal, menunggang basikal, menunggang basikal: ton kulit cerah, sepeda, ton kulit cerah
🚴🏼	basikal, menunggang basikal, menunggang basikal: ton kulit sederhana cerah, sepeda, ton kulit sederhana cerah
🚴🏽	basikal, menunggang basikal, menunggang basikal: ton kulit sederhana, sepeda, ton kulit sederhana
🚴🏾	basikal, menunggang basikal, menunggang basikal: ton kulit sederhana gelap, sepeda, ton kulit sederhana gelap
🚴🏿	basikal, menunggang basikal, menunggang basikal: ton kulit gelap, sepeda, ton kulit gelap
🚴🏻‍♂	basikal, berbasikal, lelaki, lelaki berbasikal: ton kulit cerah, penunggang basikal, ton kulit cerah
🚴🏼‍♂	basikal, berbasikal, lelaki, lelaki berbasikal: ton kulit sederhana cerah, penunggang basikal, ton kulit sederhana cerah
🚴🏽‍♂	basikal, berbasikal, lelaki, lelaki berbasikal: ton kulit sederhana, penunggang basikal, ton kulit sederhana
🚴🏾‍♂	basikal, berbasikal, lelaki, lelaki berbasikal: ton kulit sederhana gelap, penunggang basikal, ton kulit sederhana gelap
🚴🏿‍♂	basikal, berbasikal, lelaki, lelaki berbasikal: ton kulit gelap, penunggang basikal, ton kulit gelap
🚴🏻‍♀	basikal, berbasikal, penunggang basikal, perempuan, ton kulit cerah, wanita, wanita berbasikal: ton kulit cerah
🚴🏼‍♀	basikal, berbasikal, penunggang basikal, perempuan, ton kulit sederhana cerah, wanita, wanita berbasikal: ton kulit sederhana cerah
🚴🏽‍♀	basikal, berbasikal, penunggang basikal, perempuan, ton kulit sederhana, wanita, wanita berbasikal: ton kulit sederhana
🚴🏾‍♀	basikal, berbasikal, penunggang basikal, perempuan, ton kulit sederhana gelap, wanita, wanita berbasikal: ton kulit sederhana gelap
🚴🏿‍♀	basikal, berbasikal, penunggang basikal, perempuan, ton kulit gelap, wanita, wanita berbasikal: ton kulit gelap
🚵🏻	basikal, bukit, penunggang, penunggang basikal bukit: ton kulit cerah, sepeda, ton kulit cerah
🚵🏼	basikal, bukit, penunggang, penunggang basikal bukit: ton kulit sederhana cerah, sepeda, ton kulit sederhana cerah
🚵🏽	basikal, bukit, penunggang, penunggang basikal bukit: ton kulit sederhana, sepeda, ton kulit sederhana
🚵🏾	basikal, bukit, penunggang, penunggang basikal bukit: ton kulit sederhana gelap, sepeda, ton kulit sederhana gelap
🚵🏿	basikal, bukit, penunggang, penunggang basikal bukit: ton kulit gelap, sepeda, ton kulit gelap
🚵🏻‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung: ton kulit cerah, penunggang basikal, ton kulit cerah
🚵🏼‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung: ton kulit sederhana cerah, penunggang basikal, ton kulit sederhana cerah
🚵🏽‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung: ton kulit sederhana, penunggang basikal, ton kulit sederhana
🚵🏾‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung: ton kulit sederhana gelap, penunggang basikal, ton kulit sederhana gelap
🚵🏿‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung: ton kulit gelap, penunggang basikal, ton kulit gelap
🚵🏻‍♀	basikal, berbasikal, penunggang basikal, ton kulit cerah, wanita, wanita berbasikal gunung, wanita berbasikal gunung: ton kulit cerah
🚵🏼‍♀	basikal, berbasikal, penunggang basikal, ton kulit sederhana cerah, wanita, wanita berbasikal gunung, wanita berbasikal gunung: ton kulit sederhana cerah
🚵🏽‍♀	basikal, berbasikal, penunggang basikal, ton kulit sederhana, wanita, wanita berbasikal gunung, wanita berbasikal gunung: ton kulit sederhana
🚵🏾‍♀	basikal, berbasikal, penunggang basikal, ton kulit sederhana gelap, wanita, wanita berbasikal gunung, wanita berbasikal gunung: ton kulit sederhana gelap
🚵🏿‍♀	basikal, berbasikal, penunggang basikal, ton kulit gelap, wanita, wanita berbasikal gunung, wanita berbasikal gunung: ton kulit gelap
🤸🏻	gimnastik, orang, putar roda, putar roda: ton kulit cerah, sukan, ton kulit cerah
🤸🏼	gimnastik, orang, putar roda, putar roda: ton kulit sederhana cerah, sukan, ton kulit sederhana cerah
🤸🏽	gimnastik, orang, putar roda, putar roda: ton kulit sederhana, sukan, ton kulit sederhana
🤸🏾	gimnastik, orang, putar roda, putar roda: ton kulit sederhana gelap, sukan, ton kulit sederhana gelap
🤸🏿	gimnastik, orang, putar roda, putar roda: ton kulit gelap, sukan, ton kulit gelap
🤸🏻‍♂	gimnastik, leaki buat putar roda, lelaki, lelaki membuat putar roda, lelaki membuat putar roda: ton kulit cerah, putar roda, ton kulit cerah
🤸🏼‍♂	gimnastik, leaki buat putar roda, lelaki, lelaki membuat putar roda, lelaki membuat putar roda: ton kulit sederhana cerah, putar roda, ton kulit sederhana cerah
🤸🏽‍♂	gimnastik, leaki buat putar roda, lelaki, lelaki membuat putar roda, lelaki membuat putar roda: ton kulit sederhana, putar roda, ton kulit sederhana
🤸🏾‍♂	gimnastik, leaki buat putar roda, lelaki, lelaki membuat putar roda, lelaki membuat putar roda: ton kulit sederhana gelap, putar roda, ton kulit sederhana gelap
🤸🏿‍♂	gimnastik, leaki buat putar roda, lelaki, lelaki membuat putar roda, lelaki membuat putar roda: ton kulit gelap, putar roda, ton kulit gelap
🤸🏻‍♀	gimnastik, putar roda, ton kulit cerah, wanita, wanita buat putar roda, wanita membuat putar roda, wanita membuat putar roda: ton kulit cerah
🤸🏼‍♀	gimnastik, putar roda, ton kulit sederhana cerah, wanita, wanita buat putar roda, wanita membuat putar roda, wanita membuat putar roda: ton kulit sederhana cerah
🤸🏽‍♀	gimnastik, putar roda, ton kulit sederhana, wanita, wanita buat putar roda, wanita membuat putar roda, wanita membuat putar roda: ton kulit sederhana
🤸🏾‍♀	gimnastik, putar roda, ton kulit sederhana gelap, wanita, wanita buat putar roda, wanita membuat putar roda, wanita membuat putar roda: ton kulit sederhana gelap
🤸🏿‍♀	gimnastik, putar roda, ton kulit gelap, wanita, wanita buat putar roda, wanita membuat putar roda, wanita membuat putar roda: ton kulit gelap
🤽🏻	air, orang, polo, polo air: ton kulit cerah, sukan, ton kulit cerah
🤽🏼	air, orang, polo, polo air: ton kulit sederhana cerah, sukan, ton kulit sederhana cerah
🤽🏽	air, orang, polo, polo air: ton kulit sederhana, sukan, ton kulit sederhana
🤽🏾	air, orang, polo, polo air: ton kulit sederhana gelap, sukan, ton kulit sederhana gelap
🤽🏿	air, orang, polo, polo air: ton kulit gelap, sukan, ton kulit gelap
🤽🏻‍♂	lelaki, lelaki bermain polo air, lelaki bermain polo air: ton kulit cerah, polo air, sukan, ton kulit cerah
🤽🏼‍♂	lelaki, lelaki bermain polo air, lelaki bermain polo air: ton kulit sederhana cerah, polo air, sukan, ton kulit sederhana cerah
🤽🏽‍♂	lelaki, lelaki bermain polo air, lelaki bermain polo air: ton kulit sederhana, polo air, sukan, ton kulit sederhana
🤽🏾‍♂	lelaki, lelaki bermain polo air, lelaki bermain polo air: ton kulit sederhana gelap, polo air, sukan, ton kulit sederhana gelap
🤽🏿‍♂	lelaki, lelaki bermain polo air, lelaki bermain polo air: ton kulit gelap, polo air, sukan, ton kulit gelap
🤽🏻‍♀	perempuan, polo air, sukan, ton kulit cerah, wanita, wanita bermain polo air, wanita bermain polo air: ton kulit cerah
🤽🏼‍♀	perempuan, polo air, sukan, ton kulit sederhana cerah, wanita, wanita bermain polo air, wanita bermain polo air: ton kulit sederhana cerah
🤽🏽‍♀	perempuan, polo air, sukan, ton kulit sederhana, wanita, wanita bermain polo air, wanita bermain polo air: ton kulit sederhana
🤽🏾‍♀	perempuan, polo air, sukan, ton kulit sederhana gelap, wanita, wanita bermain polo air, wanita bermain polo air: ton kulit sederhana gelap
🤽🏿‍♀	perempuan, polo air, sukan, ton kulit gelap, wanita, wanita bermain polo air, wanita bermain polo air: ton kulit gelap
🤾🏻	bola, bola tangan, main bola baling, main bola baling: ton kulit cerah, orang, sukan, ton kulit cerah
🤾🏼	bola, bola tangan, main bola baling, main bola baling: ton kulit sederhana cerah, orang, sukan, ton kulit sederhana cerah
🤾🏽	bola, bola tangan, main bola baling, main bola baling: ton kulit sederhana, orang, sukan, ton kulit sederhana
🤾🏾	bola, bola tangan, main bola baling, main bola baling: ton kulit sederhana gelap, orang, sukan, ton kulit sederhana gelap
🤾🏿	bola, bola tangan, main bola baling, main bola baling: ton kulit gelap, orang, sukan, ton kulit gelap
🤾🏻‍♂	bola baling, lelaki, lelaki bermain bola baling, lelaki bermain bola baling: ton kulit cerah, sukan, ton kulit cerah
🤾🏼‍♂	bola baling, lelaki, lelaki bermain bola baling, lelaki bermain bola baling: ton kulit sederhana cerah, sukan, ton kulit sederhana cerah
🤾🏽‍♂	bola baling, lelaki, lelaki bermain bola baling, lelaki bermain bola baling: ton kulit sederhana, sukan, ton kulit sederhana
🤾🏾‍♂	bola baling, lelaki, lelaki bermain bola baling, lelaki bermain bola baling: ton kulit sederhana gelap, sukan, ton kulit sederhana gelap
🤾🏿‍♂	bola baling, lelaki, lelaki bermain bola baling, lelaki bermain bola baling: ton kulit gelap, sukan, ton kulit gelap
🤾🏻‍♀	bola baling, perempuan, sukan, ton kulit cerah, wanita, wanita bermain bola baling, wanita bermain bola baling: ton kulit cerah
🤾🏼‍♀	bola baling, perempuan, sukan, ton kulit sederhana cerah, wanita, wanita bermain bola baling, wanita bermain bola baling: ton kulit sederhana cerah
🤾🏽‍♀	bola baling, perempuan, sukan, ton kulit sederhana, wanita, wanita bermain bola baling, wanita bermain bola baling: ton kulit sederhana
🤾🏾‍♀	bola baling, perempuan, sukan, ton kulit sederhana gelap, wanita, wanita bermain bola baling, wanita bermain bola baling: ton kulit sederhana gelap
🤾🏿‍♀	bola baling, perempuan, sukan, ton kulit gelap, wanita, wanita bermain bola baling, wanita bermain bola baling: ton kulit gelap
🤹🏻	jugel, kemahiran, keseimbangan, menjugel, menjugel: ton kulit cerah, pelbagai aksi, ton kulit cerah
🤹🏼	jugel, kemahiran, keseimbangan, menjugel, menjugel: ton kulit sederhana cerah, pelbagai aksi, ton kulit sederhana cerah
🤹🏽	jugel, kemahiran, keseimbangan, menjugel, menjugel: ton kulit sederhana, pelbagai aksi, ton kulit sederhana
🤹🏾	jugel, kemahiran, keseimbangan, menjugel, menjugel: ton kulit sederhana gelap, pelbagai aksi, ton kulit sederhana gelap
🤹🏿	jugel, kemahiran, keseimbangan, menjugel, menjugel: ton kulit gelap, pelbagai aksi, ton kulit gelap
🤹🏻‍♂	berbilang tugas, lelaki, lelaki menjugel: ton kulit cerah, menjugel, ton kulit cerah
🤹🏼‍♂	berbilang tugas, lelaki, lelaki menjugel: ton kulit sederhana cerah, menjugel, ton kulit sederhana cerah
🤹🏽‍♂	berbilang tugas, lelaki, lelaki menjugel: ton kulit sederhana, menjugel, ton kulit sederhana
🤹🏾‍♂	berbilang tugas, lelaki, lelaki menjugel: ton kulit sederhana gelap, menjugel, ton kulit sederhana gelap
🤹🏿‍♂	berbilang tugas, lelaki, lelaki menjugel: ton kulit gelap, menjugel, ton kulit gelap
🤹🏻‍♀	berbilang tugas, menjugel, perempuan, ton kulit cerah, wanita, wanita menjugel: ton kulit cerah
🤹🏼‍♀	berbilang tugas, menjugel, perempuan, ton kulit sederhana cerah, wanita, wanita menjugel: ton kulit sederhana cerah
🤹🏽‍♀	berbilang tugas, menjugel, perempuan, ton kulit sederhana, wanita, wanita menjugel: ton kulit sederhana
🤹🏾‍♀	berbilang tugas, menjugel, perempuan, ton kulit sederhana gelap, wanita, wanita menjugel: ton kulit sederhana gelap
🤹🏿‍♀	berbilang tugas, menjugel, perempuan, ton kulit gelap, wanita, wanita menjugel: ton kulit gelap
👩‍❤‍💋‍👨	cium, cium: perempuan dan lelaki, lelaki, pasangan, perempuan
👨‍❤‍💋‍👨	cium, cium: lelaki dan lelaki, lelaki, pasangan
👩‍❤‍💋‍👩	cium, cium: perempuan dan perempuan, pasangan, perempuan
👩‍❤‍👨	cinta, hati, lelaki, pasangan, pasangan dengan simbol hati, pasangan dengan simbol hati: perempuan dan lelaki, percintaan, perempuan
👨‍❤‍👨	cinta, hati, lelaki, pasangan, pasangan dengan simbol hati, pasangan dengan simbol hati: lelaki dan lelaki, percintaan
👩‍❤‍👩	cinta, hati, pasangan, pasangan dengan simbol hati, pasangan dengan simbol hati: perempuan dan perempuan, percintaan, perempuan
👨‍👩‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: lelaki, perempuan dan kanak-kanak lelaki, lelaki, perempuan
👨‍👩‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, perempuan dan budak perempuan, lelaki, perempuan
👨‍👩‍👧‍👦	bapa, budak perempuan, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: lelaki, perempuan, budak perempuan dan kanak-kanak lelaki, lelaki, perempuan
👨‍👩‍👦‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: lelaki, perempuan, kanak-kanak lelaki dan kanak-kanak lelaki, lelaki, perempuan
👨‍👩‍👧‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, perempuan, budak perempuan dan budak perempuan, lelaki, perempuan
👨‍👨‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: lelaki, lelaki dan kanak-kanak lelaki, lelaki
👨‍👨‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, lelaki dan budak perempuan, lelaki
👨‍👨‍👧‍👦	bapa, budak perempuan, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: lelaki, lelaki, budak perempuan dan kanak-kanak lelaki, lelaki
👨‍👨‍👦‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: lelaki, lelaki, kanak-kanak lelaki dan kanak-kanak lelaki, lelaki
👨‍👨‍👧‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, lelaki, budak perempuan dan budak perempuan, lelaki
👩‍👩‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan, perempuan dan kanak-kanak lelaki, perempuan
👩‍👩‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: perempuan, perempuan dan budak perempuan, perempuan
👩‍👩‍👧‍👦	bapa, budak perempuan, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan, perempuan, budak perempuan dan kanak-kanak lelaki, perempuan
👩‍👩‍👦‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan, perempuan, kanak-kanak lelaki dan kanak-kanak lelaki, perempuan
👩‍👩‍👧‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: perempuan, perempuan, budak perempuan dan budak perempuan, perempuan
👨‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: lelaki dan kanak-kanak lelaki, lelaki
👨‍👦‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: lelaki, kanak-kanak lelaki dan kanak-kanak lelaki, lelaki
👨‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki dan budak perempuan, lelaki
👨‍👧‍👦	bapa, budak perempuan, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: lelaki, budak perempuan dan kanak-kanak lelaki, lelaki
👨‍👧‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: lelaki, budak perempuan dan budak perempuan, lelaki
👩‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan dan kanak-kanak lelaki, perempuan
👩‍👦‍👦	bapa, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan, kanak-kanak lelaki dan kanak-kanak lelaki, perempuan
👩‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: perempuan dan budak perempuan, perempuan
👩‍👧‍👦	bapa, budak perempuan, ibu, kanak-kanak, kanak-kanak lelaki, keluarga, keluarga: perempuan, budak perempuan dan kanak-kanak lelaki, perempuan
👩‍👧‍👧	bapa, budak perempuan, ibu, kanak-kanak, keluarga, keluarga: perempuan, budak perempuan dan budak perempuan, perempuan
🤳🏻	kamera, selfie, swafoto, swafoto: ton kulit cerah, telefon, ton kulit cerah
🤳🏼	kamera, selfie, swafoto, swafoto: ton kulit sederhana cerah, telefon, ton kulit sederhana cerah
🤳🏽	kamera, selfie, swafoto, swafoto: ton kulit sederhana, telefon, ton kulit sederhana
🤳🏾	kamera, selfie, swafoto, swafoto: ton kulit sederhana gelap, telefon, ton kulit sederhana gelap
🤳🏿	kamera, selfie, swafoto, swafoto: ton kulit gelap, telefon, ton kulit gelap
💪🏻	bisep, bisep dilentur, biseps dilenturtegang, biseps dilenturtegang: ton kulit cerah, komik, lentur, otot, ton kulit cerah
💪🏼	bisep, bisep dilentur, biseps dilenturtegang, biseps dilenturtegang: ton kulit sederhana cerah, komik, lentur, otot, ton kulit sederhana cerah
💪🏽	bisep, bisep dilentur, biseps dilenturtegang, biseps dilenturtegang: ton kulit sederhana, komik, lentur, otot, ton kulit sederhana
💪🏾	bisep, bisep dilentur, biseps dilenturtegang, biseps dilenturtegang: ton kulit sederhana gelap, komik, lentur, otot, ton kulit sederhana gelap
💪🏿	bisep, bisep dilentur, biseps dilenturtegang, biseps dilenturtegang: ton kulit gelap, komik, lentur, otot, ton kulit gelap
👈🏻	jari telunjuk tunjuk kiri, jari telunjuk tunjuk kiri: ton kulit cerah, ton kulit cerah
👈🏼	jari telunjuk tunjuk kiri, jari telunjuk tunjuk kiri: ton kulit sederhana cerah, ton kulit sederhana cerah
👈🏽	jari telunjuk tunjuk kiri, jari telunjuk tunjuk kiri: ton kulit sederhana, ton kulit sederhana
👈🏾	jari telunjuk tunjuk kiri, jari telunjuk tunjuk kiri: ton kulit sederhana gelap, ton kulit sederhana gelap
👈🏿	jari telunjuk tunjuk kiri, jari telunjuk tunjuk kiri: ton kulit gelap, ton kulit gelap
👉🏻	belakang tangan, jari telunjuk tunjuk kanan, jari telunjuk tunjuk kanan: ton kulit cerah, ton kulit cerah, tunjuk
👉🏼	belakang tangan, jari telunjuk tunjuk kanan, jari telunjuk tunjuk kanan: ton kulit sederhana cerah, ton kulit sederhana cerah, tunjuk
👉🏽	belakang tangan, jari telunjuk tunjuk kanan, jari telunjuk tunjuk kanan: ton kulit sederhana, ton kulit sederhana, tunjuk
👉🏾	belakang tangan, jari telunjuk tunjuk kanan, jari telunjuk tunjuk kanan: ton kulit sederhana gelap, ton kulit sederhana gelap, tunjuk
👉🏿	belakang tangan, jari telunjuk tunjuk kanan, jari telunjuk tunjuk kanan: ton kulit gelap, ton kulit gelap, tunjuk
☝🏻	hala ke atas, jari, jari telunjuk menunjuk ke atas, jari telunjuk menunjuk ke atas: ton kulit cerah, tangan, telunjuk, ton kulit cerah
☝🏼	hala ke atas, jari, jari telunjuk menunjuk ke atas, jari telunjuk menunjuk ke atas: ton kulit sederhana cerah, tangan, telunjuk, ton kulit sederhana cerah
☝🏽	hala ke atas, jari, jari telunjuk menunjuk ke atas, jari telunjuk menunjuk ke atas: ton kulit sederhana, tangan, telunjuk, ton kulit sederhana
☝🏾	hala ke atas, jari, jari telunjuk menunjuk ke atas, jari telunjuk menunjuk ke atas: ton kulit sederhana gelap, tangan, telunjuk, ton kulit sederhana gelap
☝🏿	hala ke atas, jari, jari telunjuk menunjuk ke atas, jari telunjuk menunjuk ke atas: ton kulit gelap, tangan, telunjuk, ton kulit gelap
👆🏻	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, jari telunjuk tunjuk hala ke atas: ton kulit cerah, tangan, telunjuk, ton kulit cerah, tunjuk
👆🏼	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, jari telunjuk tunjuk hala ke atas: ton kulit sederhana cerah, tangan, telunjuk, ton kulit sederhana cerah, tunjuk
👆🏽	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, jari telunjuk tunjuk hala ke atas: ton kulit sederhana, tangan, telunjuk, ton kulit sederhana, tunjuk
👆🏾	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, jari telunjuk tunjuk hala ke atas: ton kulit sederhana gelap, tangan, telunjuk, ton kulit sederhana gelap, tunjuk
👆🏿	atas, badan, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke atas, jari telunjuk tunjuk hala ke atas, jari telunjuk tunjuk hala ke atas: ton kulit gelap, tangan, telunjuk, ton kulit gelap, tunjuk
🖕🏻	badan, jari, jari hantu, jari hantu: ton kulit cerah, tangan, ton kulit cerah
🖕🏼	badan, jari, jari hantu, jari hantu: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
🖕🏽	badan, jari, jari hantu, jari hantu: ton kulit sederhana, tangan, ton kulit sederhana
🖕🏾	badan, jari, jari hantu, jari hantu: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
🖕🏿	badan, jari, jari hantu, jari hantu: ton kulit gelap, tangan, ton kulit gelap
👇🏻	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, jari telunjuk belakang tangan menunjuk ke bawah: ton kulit cerah, tangan, telunjuk, ton kulit cerah, tunjuk
👇🏼	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, jari telunjuk belakang tangan menunjuk ke bawah: ton kulit sederhana cerah, tangan, telunjuk, ton kulit sederhana cerah, tunjuk
👇🏽	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, jari telunjuk belakang tangan menunjuk ke bawah: ton kulit sederhana, tangan, telunjuk, ton kulit sederhana, tunjuk
👇🏾	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, jari telunjuk belakang tangan menunjuk ke bawah: ton kulit sederhana gelap, tangan, telunjuk, ton kulit sederhana gelap, tunjuk
👇🏿	badan, bawah, belakang tangan, jari, jari telunjuk belakang tangan menunjuk ke bawah, jari telunjuk belakang tangan menunjuk ke bawah: ton kulit gelap, tangan, telunjuk, ton kulit gelap, tunjuk
✌🏻	badan, kemenangan, simbol kemenangan, simbol kemenangan: ton kulit cerah, tangan, ton kulit cerah, v
✌🏼	badan, kemenangan, simbol kemenangan, simbol kemenangan: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah, v
✌🏽	badan, kemenangan, simbol kemenangan, simbol kemenangan: ton kulit sederhana, tangan, ton kulit sederhana, v
✌🏾	badan, kemenangan, simbol kemenangan, simbol kemenangan: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap, v
✌🏿	badan, kemenangan, simbol kemenangan, simbol kemenangan: ton kulit gelap, tangan, ton kulit gelap, v
🤞🏻	jari, nasib, silang, silang jari: ton kulit cerah, tangan, ton kulit cerah
🤞🏼	jari, nasib, silang, silang jari: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah
🤞🏽	jari, nasib, silang, silang jari: ton kulit sederhana, tangan, ton kulit sederhana
🤞🏾	jari, nasib, silang, silang jari: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap
🤞🏿	jari, nasib, silang, silang jari: ton kulit gelap, tangan, ton kulit gelap
🖖🏻	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit cerah, tangan, ton kulit cerah, valkan
🖖🏼	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit sederhana cerah, tangan, ton kulit sederhana cerah, valkan
🖖🏽	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit sederhana, tangan, ton kulit sederhana, valkan
🖖🏾	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit sederhana gelap, tangan, ton kulit sederhana gelap, valkan
🖖🏿	badan, jari, spock, tabik vulcan, tabik vulcan: ton kulit gelap, tangan, ton kulit gelap, valkan
🤘🏻	badan, jari, rock, simbol tanduk, simbol tanduk: ton kulit cerah, tanduk, tangan, ton kulit cerah
