‾	винкулум, горна черта
👩🏻‍🎤	артист, музика, музикална изпълнителка, певица, певица: светла кожа, светла кожа, творец
👩🏼‍🎤	артист, музика, музикална изпълнителка, певица, певица: средно светла кожа, средно светла кожа, творец
👩🏽‍🎤	артист, музика, музикална изпълнителка, певица, певица: средна на цвят кожа, средна на цвят кожа, творец
👩🏾‍🎤	артист, музика, музикална изпълнителка, певица, певица: средно тъмна кожа, средно тъмна кожа, творец
👩🏿‍🎤	артист, музика, музикална изпълнителка, певица, певица: тъмна кожа, творец, тъмна кожа
🧑‍🎨	палитра, художник
🧑🏻‍🎨	палитра, светла кожа, художник, художник: светла кожа
🧑🏼‍🎨	палитра, средно светла кожа, художник, художник: средно светла кожа
🧑🏽‍🎨	палитра, средна на цвят кожа, художник, художник: средна на цвят кожа
🧑🏾‍🎨	палитра, средно тъмна кожа, художник, художник: средно тъмна кожа
🧑🏿‍🎨	палитра, тъмна кожа, художник, художник: тъмна кожа
👨‍🎨	мъж, мъж художник, палитра, творец, художник
👨🏻‍🎨	мъж, мъж художник: светла кожа, палитра, светла кожа, творец, художник
👨🏼‍🎨	мъж, мъж художник: средно светла кожа, палитра, средно светла кожа, творец, художник
👨🏽‍🎨	мъж, мъж художник: средна на цвят кожа, палитра, средна на цвят кожа, творец, художник
👨🏾‍🎨	мъж, мъж художник: средно тъмна кожа, палитра, средно тъмна кожа, творец, художник
👨🏿‍🎨	мъж, мъж художник: тъмна кожа, палитра, творец, тъмна кожа, художник
👩‍🎨	жена творец, палитра, рисуване, художничка
👩🏻‍🎨	жена творец, палитра, рисуване, светла кожа, художничка, художничка: светла кожа
👩🏼‍🎨	жена творец, палитра, рисуване, средно светла кожа, художничка, художничка: средно светла кожа
👩🏽‍🎨	жена творец, палитра, рисуване, средна на цвят кожа, художничка, художничка: средна на цвят кожа
👩🏾‍🎨	жена творец, палитра, рисуване, средно тъмна кожа, художничка, художничка: средно тъмна кожа
👩🏿‍🎨	жена творец, палитра, рисуване, тъмна кожа, художничка, художничка: тъмна кожа
🧑‍✈	пилот, самолет
🧑🏻‍✈	пилот, пилот: светла кожа, самолет, светла кожа
🧑🏼‍✈	пилот, пилот: средно светла кожа, самолет, средно светла кожа
🧑🏽‍✈	пилот, пилот: средна на цвят кожа, самолет, средна на цвят кожа
🧑🏾‍✈	пилот, пилот: средно тъмна кожа, самолет, средно тъмна кожа
🧑🏿‍✈	пилот, пилот: тъмна кожа, самолет, тъмна кожа
👨‍✈	летец, мъж, мъж пилот, пилот, самолет
👨🏻‍✈	летец, мъж, мъж пилот: светла кожа, пилот, самолет, светла кожа
👨🏼‍✈	летец, мъж, мъж пилот: средно светла кожа, пилот, самолет, средно светла кожа
👨🏽‍✈	летец, мъж, мъж пилот: средна на цвят кожа, пилот, самолет, средна на цвят кожа
👨🏾‍✈	летец, мъж, мъж пилот: средно тъмна кожа, пилот, самолет, средно тъмна кожа
👨🏿‍✈	летец, мъж, мъж пилот: тъмна кожа, пилот, самолет, тъмна кожа
👩‍✈	жена летец, жена пилот, полет, самолет
👩🏻‍✈	жена летец, жена пилот, жена пилот: светла кожа, полет, самолет, светла кожа
👩🏼‍✈	жена летец, жена пилот, жена пилот: средно светла кожа, полет, самолет, средно светла кожа
👩🏽‍✈	жена летец, жена пилот, жена пилот: средна на цвят кожа, полет, самолет, средна на цвят кожа
👩🏾‍✈	жена летец, жена пилот, жена пилот: средно тъмна кожа, полет, самолет, средно тъмна кожа
👩🏿‍✈	жена летец, жена пилот, жена пилот: тъмна кожа, полет, самолет, тъмна кожа
🧑‍🚀	астронавт, ракета
🧑🏻‍🚀	астронавт, астронавт: светла кожа, ракета, светла кожа
🧑🏼‍🚀	астронавт, астронавт: средно светла кожа, ракета, средно светла кожа
🧑🏽‍🚀	астронавт, астронавт: средна на цвят кожа, ракета, средна на цвят кожа
🧑🏾‍🚀	астронавт, астронавт: средно тъмна кожа, ракета, средно тъмна кожа
🧑🏿‍🚀	астронавт, астронавт: тъмна кожа, ракета, тъмна кожа
👨‍🚀	астронавт, космически кораб, космонавт, космос, ракета
👨🏻‍🚀	астронавт, космически кораб, космонавт, космонавт: светла кожа, космос, ракета, светла кожа
👨🏼‍🚀	астронавт, космически кораб, космонавт, космонавт: средно светла кожа, космос, ракета, средно светла кожа
👨🏽‍🚀	астронавт, космически кораб, космонавт, космонавт: средна на цвят кожа, космос, ракета, средна на цвят кожа
👨🏾‍🚀	астронавт, космически кораб, космонавт, космонавт: средно тъмна кожа, космос, ракета, средно тъмна кожа
👨🏿‍🚀	астронавт, космически кораб, космонавт, космонавт: тъмна кожа, космос, ракета, тъмна кожа
👩‍🚀	астронавтка, жена космонавт, космически кораб, космос, ракета
👩🏻‍🚀	астронавтка, жена космонавт, жена космонавт: светла кожа, космически кораб, космос, ракета, светла кожа
👩🏼‍🚀	астронавтка, жена космонавт, жена космонавт: средно светла кожа, космически кораб, космос, ракета, средно светла кожа
👩🏽‍🚀	астронавтка, жена космонавт, жена космонавт: средна на цвят кожа, космически кораб, космос, ракета, средна на цвят кожа
👩🏾‍🚀	астронавтка, жена космонавт, жена космонавт: средно тъмна кожа, космически кораб, космос, ракета, средно тъмна кожа
👩🏿‍🚀	астронавтка, жена космонавт, жена космонавт: тъмна кожа, космически кораб, космос, ракета, тъмна кожа
🧑‍🚒	пожарна кола, пожарникар
🧑🏻‍🚒	пожарна кола, пожарникар, пожарникар: светла кожа, светла кожа
🧑🏼‍🚒	пожарна кола, пожарникар, пожарникар: средно светла кожа, средно светла кожа
🧑🏽‍🚒	пожарна кола, пожарникар, пожарникар: средна на цвят кожа, средна на цвят кожа
🧑🏾‍🚒	пожарна кола, пожарникар, пожарникар: средно тъмна кожа, средно тъмна кожа
🧑🏿‍🚒	пожарна кола, пожарникар, пожарникар: тъмна кожа, тъмна кожа
👨‍🚒	мъж, мъж пожарникар, огън, пожарна, пожарникар
👨🏻‍🚒	мъж, мъж пожарникар: светла кожа, огън, пожарна, пожарникар, светла кожа
👨🏼‍🚒	мъж, мъж пожарникар: средно светла кожа, огън, пожарна, пожарникар, средно светла кожа
👨🏽‍🚒	мъж, мъж пожарникар: средна на цвят кожа, огън, пожарна, пожарникар, средна на цвят кожа
👨🏾‍🚒	мъж, мъж пожарникар: средно тъмна кожа, огън, пожарна, пожарникар, средно тъмна кожа
👨🏿‍🚒	мъж, мъж пожарникар: тъмна кожа, огън, пожарна, пожарникар, тъмна кожа
👩‍🚒	гасене на пожар, жена пожарникар, огън, пожарна
👩🏻‍🚒	гасене на пожар, жена пожарникар, жена пожарникар: светла кожа, огън, пожарна, светла кожа
👩🏼‍🚒	гасене на пожар, жена пожарникар, жена пожарникар: средно светла кожа, огън, пожарна, средно светла кожа
👩🏽‍🚒	гасене на пожар, жена пожарникар, жена пожарникар: средна на цвят кожа, огън, пожарна, средна на цвят кожа
👩🏾‍🚒	гасене на пожар, жена пожарникар, жена пожарникар: средно тъмна кожа, огън, пожарна, средно тъмна кожа
👩🏿‍🚒	гасене на пожар, жена пожарникар, жена пожарникар: тъмна кожа, огън, пожарна, тъмна кожа
👮	полицай, полицейски служител, полиция, служител на реда
👮🏻	полицай, полицейски служител, полицейски служител: светла кожа, полиция, светла кожа, служител на реда
👮🏼	полицай, полицейски служител, полицейски служител: средно светла кожа, полиция, служител на реда, средно светла кожа
👮🏽	полицай, полицейски служител, полицейски служител: средна на цвят кожа, полиция, служител на реда, средна на цвят кожа
👮🏾	полицай, полицейски служител, полицейски служител: средно тъмна кожа, полиция, служител на реда, средно тъмна кожа
👮🏿	полицай, полицейски служител, полицейски служител: тъмна кожа, полиция, служител на реда, тъмна кожа
👮‍♂	полицай, полиция, служител на реда, униформа
👮🏻‍♂	полицай, полицай: светла кожа, полиция, светла кожа, служител на реда, униформа
👮🏼‍♂	полицай, полицай: средно светла кожа, полиция, служител на реда, средно светла кожа, униформа
👮🏽‍♂	полицай, полицай: средна на цвят кожа, полиция, служител на реда, средна на цвят кожа, униформа
👮🏾‍♂	полицай, полицай: средно тъмна кожа, полиция, служител на реда, средно тъмна кожа, униформа
👮🏿‍♂	полицай, полицай: тъмна кожа, полиция, служител на реда, тъмна кожа, униформа
👮‍♀	полицайка, полиция, служителка на реда, униформа
👮🏻‍♀	полицайка, полицайка: светла кожа, полиция, светла кожа, служителка на реда, униформа
👮🏼‍♀	полицайка, полицайка: средно светла кожа, полиция, служителка на реда, средно светла кожа, униформа
👮🏽‍♀	полицайка, полицайка: средна на цвят кожа, полиция, служителка на реда, средна на цвят кожа, униформа
👮🏾‍♀	полицайка, полицайка: средно тъмна кожа, полиция, служителка на реда, средно тъмна кожа, униформа
👮🏿‍♀	полицайка, полицайка: тъмна кожа, полиция, служителка на реда, тъмна кожа, униформа
🕵️	детектив, шпионин
🕵🏻	детектив, детектив: светла кожа, светла кожа, шпионин
🕵🏼	детектив, детектив: средно светла кожа, средно светла кожа, шпионин
🕵🏽	детектив, детектив: средна на цвят кожа, средна на цвят кожа, шпионин
🕵🏾	детектив, детектив: средно тъмна кожа, средно тъмна кожа, шпионин
🕵🏿	детектив, детектив: тъмна кожа, тъмна кожа, шпионин
🕵‍♂	мъж детектив, частен детектив, шпионин
🕵🏻‍♂	мъж детектив, мъж детектив: светла кожа, светла кожа, частен детектив, шпионин
🕵🏼‍♂	мъж детектив, мъж детектив: средно светла кожа, средно светла кожа, частен детектив, шпионин
🕵🏽‍♂	мъж детектив, мъж детектив: средна на цвят кожа, средна на цвят кожа, частен детектив, шпионин
🕵🏾‍♂	мъж детектив, мъж детектив: средно тъмна кожа, средно тъмна кожа, частен детектив, шпионин
🕵🏿‍♂	мъж детектив, мъж детектив: тъмна кожа, тъмна кожа, частен детектив, шпионин
🕵‍♀	жена, жена детектив, частен детектив жена, шпионин
🕵🏻‍♀	жена, жена детектив, жена детектив: светла кожа, светла кожа, частен детектив жена, шпионин
🕵🏼‍♀	жена, жена детектив, жена детектив: средно светла кожа, средно светла кожа, частен детектив жена, шпионин
🕵🏽‍♀	жена, жена детектив, жена детектив: средна на цвят кожа, средна на цвят кожа, частен детектив жена, шпионин
🕵🏾‍♀	жена, жена детектив, жена детектив: средно тъмна кожа, средно тъмна кожа, частен детектив жена, шпионин
🕵🏿‍♀	жена, жена детектив, жена детектив: тъмна кожа, тъмна кожа, частен детектив жена, шпионин
💂	гвардеец, караул, конвой, страж
💂🏻	гвардеец, гвардеец: светла кожа, караул, конвой, светла кожа, страж
💂🏼	гвардеец, гвардеец: средно светла кожа, караул, конвой, средно светла кожа, страж
💂🏽	гвардеец, гвардеец: средна на цвят кожа, караул, конвой, средна на цвят кожа, страж
💂🏾	гвардеец, гвардеец: средно тъмна кожа, караул, конвой, средно тъмна кожа, страж
💂🏿	гвардеец, гвардеец: тъмна кожа, караул, конвой, страж, тъмна кожа
💂‍♂	войник, караул, конвой, мъж гвардеец, страж
💂🏻‍♂	войник, караул, конвой, мъж гвардеец, мъж гвардеец: светла кожа, светла кожа, страж
💂🏼‍♂	войник, караул, конвой, мъж гвардеец, мъж гвардеец: средно светла кожа, средно светла кожа, страж
💂🏽‍♂	войник, караул, конвой, мъж гвардеец, мъж гвардеец: средна на цвят кожа, средна на цвят кожа, страж
💂🏾‍♂	войник, караул, конвой, мъж гвардеец, мъж гвардеец: средно тъмна кожа, средно тъмна кожа, страж
💂🏿‍♂	войник, караул, конвой, мъж гвардеец, мъж гвардеец: тъмна кожа, страж, тъмна кожа
💂‍♀	жена войник, жена гвардеец, караул, конвой, страж
💂🏻‍♀	жена войник, жена гвардеец, жена гвардеец: светла кожа, караул, конвой, светла кожа, страж
💂🏼‍♀	жена войник, жена гвардеец, жена гвардеец: средно светла кожа, караул, конвой, средно светла кожа, страж
💂🏽‍♀	жена войник, жена гвардеец, жена гвардеец: средна на цвят кожа, караул, конвой, средна на цвят кожа, страж
💂🏾‍♀	жена войник, жена гвардеец, жена гвардеец: средно тъмна кожа, караул, конвой, средно тъмна кожа, страж
💂🏿‍♀	жена войник, жена гвардеец, жена гвардеец: тъмна кожа, караул, конвой, страж, тъмна кожа
🥷	воин, нинджа, прокрадване, скрит
🥷🏻	воин, нинджа, нинджа: светла кожа, прокрадване, светла кожа, скрит
🥷🏼	воин, нинджа, нинджа: средно светла кожа, прокрадване, скрит, средно светла кожа
🥷🏽	воин, нинджа, нинджа: средна на цвят кожа, прокрадване, скрит, средна на цвят кожа
🥷🏾	воин, нинджа, нинджа: средно тъмна кожа, прокрадване, скрит, средно тъмна кожа
🥷🏿	воин, нинджа, нинджа: тъмна кожа, прокрадване, скрит, тъмна кожа
👷	каска, работник, строител
👷🏻	каска, работник, светла кожа, строител, строител: светла кожа
👷🏼	каска, работник, средно светла кожа, строител, строител: средно светла кожа
👷🏽	каска, работник, средна на цвят кожа, строител, строител: средна на цвят кожа
👷🏾	каска, работник, средно тъмна кожа, строител, строител: средно тъмна кожа
👷🏿	каска, работник, строител, строител: тъмна кожа, тъмна кожа
👷‍♂	работник, строеж, строител, строителен работник
👷🏻‍♂	работник, светла кожа, строеж, строител, строителен работник, строителен работник: светла кожа
👷🏼‍♂	работник, средно светла кожа, строеж, строител, строителен работник, строителен работник: средно светла кожа
👷🏽‍♂	работник, средна на цвят кожа, строеж, строител, строителен работник, строителен работник: средна на цвят кожа
👷🏾‍♂	работник, средно тъмна кожа, строеж, строител, строителен работник, строителен работник: средно тъмна кожа
👷🏿‍♂	работник, строеж, строител, строителен работник, строителен работник: тъмна кожа, тъмна кожа
👷‍♀	жена строителен работник, работничка, строеж, строителка
👷🏻‍♀	жена строителен работник, жена строителен работник: светла кожа, работничка, светла кожа, строеж, строителка
👷🏼‍♀	жена строителен работник, жена строителен работник: средно светла кожа, работничка, средно светла кожа, строеж, строителка
👷🏽‍♀	жена строителен работник, жена строителен работник: средна на цвят кожа, работничка, средна на цвят кожа, строеж, строителка
👷🏾‍♀	жена строителен работник, жена строителен работник: средно тъмна кожа, работничка, средно тъмна кожа, строеж, строителка
👷🏿‍♀	жена строителен работник, жена строителен работник: тъмна кожа, работничка, строеж, строителка, тъмна кожа
🫅	благородник, владетел, кралска особа, царствен, човек с корона
🫅🏻	благородник, владетел, кралска особа, светла кожа, царствен, човек с корона, човек с корона: светла кожа
🫅🏼	благородник, владетел, кралска особа, средно светла кожа, царствен, човек с корона, човек с корона: средно светла кожа
🫅🏽	благородник, владетел, кралска особа, средна на цвят кожа, царствен, човек с корона, човек с корона: средна на цвят кожа
🫅🏾	благородник, владетел, кралска особа, средно тъмна кожа, царствен, човек с корона, човек с корона: средно тъмна кожа
🫅🏿	благородник, владетел, кралска особа, тъмна кожа, царствен, човек с корона, човек с корона: тъмна кожа
🤴	принц
🤴🏻	принц, принц: светла кожа, светла кожа
🤴🏼	принц, принц: средно светла кожа, средно светла кожа
🤴🏽	принц, принц: средна на цвят кожа, средна на цвят кожа
🤴🏾	принц, принц: средно тъмна кожа, средно тъмна кожа
🤴🏿	принц, принц: тъмна кожа, тъмна кожа
👸	приказка, принцеса, фантастичен
👸🏻	приказка, принцеса, принцеса: светла кожа, светла кожа, фантастичен
👸🏼	приказка, принцеса, принцеса: средно светла кожа, средно светла кожа, фантастичен
👸🏽	приказка, принцеса, принцеса: средна на цвят кожа, средна на цвят кожа, фантастичен
👸🏾	приказка, принцеса, принцеса: средно тъмна кожа, средно тъмна кожа, фантастичен
👸🏿	приказка, принцеса, принцеса: тъмна кожа, тъмна кожа, фантастичен
👳	мъж, тюрбан, чалма, човек с тюрбан
👳🏻	мъж, светла кожа, тюрбан, чалма, човек с тюрбан, човек с тюрбан: светла кожа
👳🏼	мъж, средно светла кожа, тюрбан, чалма, човек с тюрбан, човек с тюрбан: средно светла кожа
👳🏽	мъж, средна на цвят кожа, тюрбан, чалма, човек с тюрбан, човек с тюрбан: средна на цвят кожа
👳🏾	мъж, средно тъмна кожа, тюрбан, чалма, човек с тюрбан, човек с тюрбан: средно тъмна кожа
👳🏿	мъж, тъмна кожа, тюрбан, чалма, човек с тюрбан, човек с тюрбан: тъмна кожа
👳‍♂	мъж, мъж с тюрбан, тюрбан, чалма
👳🏻‍♂	мъж, мъж с тюрбан, мъж с тюрбан: светла кожа, светла кожа, тюрбан, чалма
👳🏼‍♂	мъж, мъж с тюрбан, мъж с тюрбан: средно светла кожа, средно светла кожа, тюрбан, чалма
👳🏽‍♂	мъж, мъж с тюрбан, мъж с тюрбан: средна на цвят кожа, средна на цвят кожа, тюрбан, чалма
👳🏾‍♂	мъж, мъж с тюрбан, мъж с тюрбан: средно тъмна кожа, средно тъмна кожа, тюрбан, чалма
👳🏿‍♂	мъж, мъж с тюрбан, мъж с тюрбан: тъмна кожа, тъмна кожа, тюрбан, чалма
👳‍♀	жена, жена с тюрбан, тюрбан, чалма
👳🏻‍♀	жена, жена с тюрбан, жена с тюрбан: светла кожа, светла кожа, тюрбан, чалма
👳🏼‍♀	жена, жена с тюрбан, жена с тюрбан: средно светла кожа, средно светла кожа, тюрбан, чалма
👳🏽‍♀	жена, жена с тюрбан, жена с тюрбан: средна на цвят кожа, средна на цвят кожа, тюрбан, чалма
👳🏾‍♀	жена, жена с тюрбан, жена с тюрбан: средно тъмна кожа, средно тъмна кожа, тюрбан, чалма
👳🏿‍♀	жена, жена с тюрбан, жена с тюрбан: тъмна кожа, тъмна кожа, тюрбан, чалма
👲	Мъж с китайска шапчица, китайска шапчица, мъж, шапка
👲🏻	Мъж с китайска шапчица, Мъж с китайска шапчица: светла кожа, китайска шапчица, мъж, светла кожа, шапка
👲🏼	Мъж с китайска шапчица, Мъж с китайска шапчица: средно светла кожа, китайска шапчица, мъж, средно светла кожа, шапка
👲🏽	Мъж с китайска шапчица, Мъж с китайска шапчица: средна на цвят кожа, китайска шапчица, мъж, средна на цвят кожа, шапка
👲🏾	Мъж с китайска шапчица, Мъж с китайска шапчица: средно тъмна кожа, китайска шапчица, мъж, средно тъмна кожа, шапка
👲🏿	Мъж с китайска шапчица, Мъж с китайска шапчица: тъмна кожа, китайска шапчица, мъж, тъмна кожа, шапка
🧕	жена с кърпа за глава, кърпа за глава, мантила, тюрбан, хиджаб
🧕🏻	жена с кърпа за глава, жена с кърпа за глава: светла кожа, кърпа за глава, мантила, светла кожа, тюрбан, хиджаб
🧕🏼	жена с кърпа за глава, жена с кърпа за глава: средно светла кожа, кърпа за глава, мантила, средно светла кожа, тюрбан, хиджаб
🧕🏽	жена с кърпа за глава, жена с кърпа за глава: средна на цвят кожа, кърпа за глава, мантила, средна на цвят кожа, тюрбан, хиджаб
🧕🏾	жена с кърпа за глава, жена с кърпа за глава: средно тъмна кожа, кърпа за глава, мантила, средно тъмна кожа, тюрбан, хиджаб
🧕🏿	жена с кърпа за глава, жена с кърпа за глава: тъмна кожа, кърпа за глава, мантила, тъмна кожа, тюрбан, хиджаб
🤵	мъж, фрак, човек, човек във фрак
🤵🏻	мъж, светла кожа, фрак, човек, човек във фрак, човек във фрак: светла кожа
🤵🏼	мъж, средно светла кожа, фрак, човек, човек във фрак, човек във фрак: средно светла кожа
🤵🏽	мъж, средна на цвят кожа, фрак, човек, човек във фрак, човек във фрак: средна на цвят кожа
🤵🏾	мъж, средно тъмна кожа, фрак, човек, човек във фрак, човек във фрак: средно тъмна кожа
🤵🏿	мъж, тъмна кожа, фрак, човек, човек във фрак, човек във фрак: тъмна кожа
🤵‍♂	мъж, мъж във фрак, фрак
🤵🏻‍♂	мъж, мъж във фрак, мъж във фрак: светла кожа, светла кожа, фрак
🤵🏼‍♂	мъж, мъж във фрак, мъж във фрак: средно светла кожа, средно светла кожа, фрак
🤵🏽‍♂	мъж, мъж във фрак, мъж във фрак: средна на цвят кожа, средна на цвят кожа, фрак
🤵🏾‍♂	мъж, мъж във фрак, мъж във фрак: средно тъмна кожа, средно тъмна кожа, фрак
🤵🏿‍♂	мъж, мъж във фрак, мъж във фрак: тъмна кожа, тъмна кожа, фрак
🤵‍♀	жена, жена във фрак, фрак
🤵🏻‍♀	жена, жена във фрак, жена във фрак: светла кожа, светла кожа, фрак
🤵🏼‍♀	жена, жена във фрак, жена във фрак: средно светла кожа, средно светла кожа, фрак
🤵🏽‍♀	жена, жена във фрак, жена във фрак: средна на цвят кожа, средна на цвят кожа, фрак
🤵🏾‍♀	жена, жена във фрак, жена във фрак: средно тъмна кожа, средно тъмна кожа, фрак
🤵🏿‍♀	жена, жена във фрак, жена във фрак: тъмна кожа, тъмна кожа, фрак
👰	булка, було, сватба, човек, човек с було
👰🏻	булка, було, сватба, светла кожа, човек, човек с було, човек с було: светла кожа
👰🏼	булка, було, сватба, средно светла кожа, човек, човек с було, човек с було: средно светла кожа
👰🏽	булка, було, сватба, средна на цвят кожа, човек, човек с було, човек с було: средна на цвят кожа
👰🏾	булка, було, сватба, средно тъмна кожа, човек, човек с було, човек с було: средно тъмна кожа
👰🏿	булка, було, сватба, тъмна кожа, човек, човек с було, човек с було: тъмна кожа
👰‍♂	мъж, мъж с було
👰🏻‍♂	мъж, мъж с було, мъж с було: светла кожа, светла кожа
👰🏼‍♂	мъж, мъж с було, мъж с було: средно светла кожа, средно светла кожа
👰🏽‍♂	мъж, мъж с було, мъж с було: средна на цвят кожа, средна на цвят кожа
👰🏾‍♂	мъж, мъж с було, мъж с було: средно тъмна кожа, средно тъмна кожа
👰🏿‍♂	мъж, мъж с було, мъж с було: тъмна кожа, тъмна кожа
👰‍♀	було, жена, жена с було
👰🏻‍♀	було, жена, жена с було, жена с було: светла кожа, светла кожа
👰🏼‍♀	було, жена, жена с було, жена с було: средно светла кожа, средно светла кожа
👰🏽‍♀	було, жена, жена с було, жена с було: средна на цвят кожа, средна на цвят кожа
👰🏾‍♀	було, жена, жена с було, жена с було: средно тъмна кожа, средно тъмна кожа
👰🏿‍♀	було, жена, жена с було, жена с було: тъмна кожа, тъмна кожа
🤰	бременна, бременна жена, жена
🤰🏻	бременна, бременна жена: светла кожа, жена, светла кожа
🤰🏼	бременна, бременна жена: средно светла кожа, жена, средно светла кожа
🤰🏽	бременна, бременна жена: средна на цвят кожа, жена, средна на цвят кожа
🤰🏾	бременна, бременна жена: средно тъмна кожа, жена, средно тъмна кожа
🤰🏿	бременна, бременна жена: тъмна кожа, жена, тъмна кожа
🫃	бременен, бременен мъж, корем, подут, пълен
🫃🏻	бременен, бременен мъж, бременен мъж: светла кожа, корем, подут, пълен, светла кожа
🫃🏼	бременен, бременен мъж, бременен мъж: средно светла кожа, корем, подут, пълен, средно светла кожа
🫃🏽	бременен, бременен мъж, бременен мъж: средна на цвят кожа, корем, подут, пълен, средна на цвят кожа
🫃🏾	бременен, бременен мъж, бременен мъж: средно тъмна кожа, корем, подут, пълен, средно тъмна кожа
🫃🏿	бременен, бременен мъж, бременен мъж: тъмна кожа, корем, подут, пълен, тъмна кожа
🫄	бременен, бременен човек, корем, подут, пълен
🫄🏻	бременен, бременен човек, бременен човек: светла кожа, корем, подут, пълен, светла кожа
🫄🏼	бременен, бременен човек, бременен човек: средно светла кожа, корем, подут, пълен, средно светла кожа
🫄🏽	бременен, бременен човек, бременен човек: средна на цвят кожа, корем, подут, пълен, средна на цвят кожа
🫄🏾	бременен, бременен човек, бременен човек: средно тъмна кожа, корем, подут, пълен, средно тъмна кожа
🫄🏿	бременен, бременен човек, бременен човек: тъмна кожа, корем, подут, пълен, тъмна кожа
🤱	бебе, кърмене, хранене
🤱🏻	бебе, кърмене, кърмене: светла кожа, светла кожа, хранене
🤱🏼	бебе, кърмене, кърмене: средно светла кожа, средно светла кожа, хранене
🤱🏽	бебе, кърмене, кърмене: средна на цвят кожа, средна на цвят кожа, хранене
🤱🏾	бебе, кърмене, кърмене: средно тъмна кожа, средно тъмна кожа, хранене
🤱🏿	бебе, кърмене, кърмене: тъмна кожа, тъмна кожа, хранене
👩‍🍼	бебе, жена, жена, хранеща бебе, хранене
👩🏻‍🍼	бебе, жена, жена, хранеща бебе, жена, хранеща бебе: светла кожа, светла кожа, хранене
👩🏼‍🍼	бебе, жена, жена, хранеща бебе, жена, хранеща бебе: средно светла кожа, средно светла кожа, хранене
👩🏽‍🍼	бебе, жена, жена, хранеща бебе, жена, хранеща бебе: средна на цвят кожа, средна на цвят кожа, хранене
👩🏾‍🍼	бебе, жена, жена, хранеща бебе, жена, хранеща бебе: средно тъмна кожа, средно тъмна кожа, хранене
👩🏿‍🍼	бебе, жена, жена, хранеща бебе, жена, хранеща бебе: тъмна кожа, тъмна кожа, хранене
👨‍🍼	бебе, мъж, мъж, хранещ бебе, хранене
👨🏻‍🍼	бебе, мъж, мъж, хранещ бебе, мъж, хранещ бебе: светла кожа, светла кожа, хранене
👨🏼‍🍼	бебе, мъж, мъж, хранещ бебе, мъж, хранещ бебе: средно светла кожа, средно светла кожа, хранене
👨🏽‍🍼	бебе, мъж, мъж, хранещ бебе, мъж, хранещ бебе: средна на цвят кожа, средна на цвят кожа, хранене
👨🏾‍🍼	бебе, мъж, мъж, хранещ бебе, мъж, хранещ бебе: средно тъмна кожа, средно тъмна кожа, хранене
👨🏿‍🍼	бебе, мъж, мъж, хранещ бебе, мъж, хранещ бебе: тъмна кожа, тъмна кожа, хранене
🧑‍🍼	бебе, хранене, човек, човек, хранещ бебе
🧑🏻‍🍼	бебе, светла кожа, хранене, човек, човек, хранещ бебе, човек, хранещ бебе: светла кожа
🧑🏼‍🍼	бебе, средно светла кожа, хранене, човек, човек, хранещ бебе, човек, хранещ бебе: средно светла кожа
🧑🏽‍🍼	бебе, средна на цвят кожа, хранене, човек, човек, хранещ бебе, човек, хранещ бебе: средна на цвят кожа
🧑🏾‍🍼	бебе, средно тъмна кожа, хранене, човек, човек, хранещ бебе, човек, хранещ бебе: средно тъмна кожа
🧑🏿‍🍼	бебе, тъмна кожа, хранене, човек, човек, хранещ бебе, човек, хранещ бебе: тъмна кожа
👼	ангел, ангелче, бебе, лице, приказка
👼🏻	ангел, ангелче, ангелче: светла кожа, бебе, лице, приказка, светла кожа
👼🏼	ангел, ангелче, ангелче: средно светла кожа, бебе, лице, приказка, средно светла кожа
👼🏽	ангел, ангелче, ангелче: средна на цвят кожа, бебе, лице, приказка, средна на цвят кожа
👼🏾	ангел, ангелче, ангелче: средно тъмна кожа, бебе, лице, приказка, средно тъмна кожа
👼🏿	ангел, ангелче, ангелче: тъмна кожа, бебе, лице, приказка, тъмна кожа
🎅	дядо, дядо коледа, коледа, празнуване, приказка, фантастичен
🎅🏻	дядо, дядо коледа: светла кожа, коледа, празнуване, приказка, светла кожа, фантастичен
🎅🏼	дядо, дядо коледа: средно светла кожа, коледа, празнуване, приказка, средно светла кожа, фантастичен
🎅🏽	дядо, дядо коледа: средна на цвят кожа, коледа, празнуване, приказка, средна на цвят кожа, фантастичен
🎅🏾	дядо, дядо коледа: средно тъмна кожа, коледа, празнуване, приказка, средно тъмна кожа, фантастичен
🎅🏿	дядо, дядо коледа: тъмна кожа, коледа, празнуване, приказка, тъмна кожа, фантастичен
🤶	баба, баба коледа, коледа
🤶🏻	баба, баба коледа: светла кожа, коледа, светла кожа
🤶🏼	баба, баба коледа: средно светла кожа, коледа, средно светла кожа
🤶🏽	баба, баба коледа: средна на цвят кожа, коледа, средна на цвят кожа
🤶🏾	баба, баба коледа: средно тъмна кожа, коледа, средно тъмна кожа
🤶🏿	баба, баба коледа: тъмна кожа, коледа, тъмна кожа
🧑‍🎄	г-х коледа, коледа
🧑🏻‍🎄	г-х коледа, г-х коледа: светла кожа, коледа, светла кожа
🧑🏼‍🎄	г-х коледа, г-х коледа: средно светла кожа, коледа, средно светла кожа
