‾	верхняя рыса
👨‍🏫	выкладчык, мужчына, настаўнік, прафесар
👨🏻‍🏫	выкладчык, мужчына, настаўнік, настаўнік: светлы тон скуры, прафесар, светлы тон скуры
👨🏼‍🏫	выкладчык, мужчына, настаўнік, настаўнік: сярэднясветлы тон скуры, прафесар, сярэднясветлы тон скуры
👨🏽‍🏫	выкладчык, мужчына, настаўнік, настаўнік: сярэдні тон скуры, прафесар, сярэдні тон скуры
👨🏾‍🏫	выкладчык, мужчына, настаўнік, настаўнік: сярэдняцёмны тон скуры, прафесар, сярэдняцёмны тон скуры
👨🏿‍🏫	выкладчык, мужчына, настаўнік, настаўнік: цёмны тон скуры, прафесар, цёмны тон скуры
👩‍🏫	выкладчыца, жанчына, настаўніца, прафесар
👩🏻‍🏫	выкладчыца, жанчына, настаўніца, настаўніца: светлы тон скуры, прафесар, светлы тон скуры
👩🏼‍🏫	выкладчыца, жанчына, настаўніца, настаўніца: сярэднясветлы тон скуры, прафесар, сярэднясветлы тон скуры
👩🏽‍🏫	выкладчыца, жанчына, настаўніца, настаўніца: сярэдні тон скуры, прафесар, сярэдні тон скуры
👩🏾‍🏫	выкладчыца, жанчына, настаўніца, настаўніца: сярэдняцёмны тон скуры, прафесар, сярэдняцёмны тон скуры
👩🏿‍🏫	выкладчыца, жанчына, настаўніца, настаўніца: цёмны тон скуры, прафесар, цёмны тон скуры
🧑‍⚖	суддзя, шалі
🧑🏻‍⚖	светлы тон скуры, суддзя, суддзя: светлы тон скуры, шалі
🧑🏼‍⚖	суддзя, суддзя: сярэднясветлы тон скуры, сярэднясветлы тон скуры, шалі
🧑🏽‍⚖	суддзя, суддзя: сярэдні тон скуры, сярэдні тон скуры, шалі
🧑🏾‍⚖	суддзя, суддзя: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры, шалі
🧑🏿‍⚖	суддзя, суддзя: цёмны тон скуры, цёмны тон скуры, шалі
👨‍⚖	мужчына, правасуддзе, суддзя-мужчына, шалі
👨🏻‍⚖	мужчына, правасуддзе, светлы тон скуры, суддзя-мужчына, суддзя-мужчына: светлы тон скуры, шалі
👨🏼‍⚖	мужчына, правасуддзе, суддзя-мужчына, суддзя-мужчына: сярэднясветлы тон скуры, сярэднясветлы тон скуры, шалі
👨🏽‍⚖	мужчына, правасуддзе, суддзя-мужчына, суддзя-мужчына: сярэдні тон скуры, сярэдні тон скуры, шалі
👨🏾‍⚖	мужчына, правасуддзе, суддзя-мужчына, суддзя-мужчына: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры, шалі
👨🏿‍⚖	мужчына, правасуддзе, суддзя-мужчына, суддзя-мужчына: цёмны тон скуры, цёмны тон скуры, шалі
👩‍⚖	жанчына, суддзя, суддзя-жанчына, шалі
👩🏻‍⚖	жанчына, светлы тон скуры, суддзя, суддзя-жанчына, суддзя-жанчына: светлы тон скуры, шалі
👩🏼‍⚖	жанчына, суддзя, суддзя-жанчына, суддзя-жанчына: сярэднясветлы тон скуры, сярэднясветлы тон скуры, шалі
👩🏽‍⚖	жанчына, суддзя, суддзя-жанчына, суддзя-жанчына: сярэдні тон скуры, сярэдні тон скуры, шалі
👩🏾‍⚖	жанчына, суддзя, суддзя-жанчына, суддзя-жанчына: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры, шалі
👩🏿‍⚖	жанчына, суддзя, суддзя-жанчына, суддзя-жанчына: цёмны тон скуры, цёмны тон скуры, шалі
🧑‍🌾	агароднік, аграрый, фермер
🧑🏻‍🌾	агароднік, аграрый, аграрый: светлы тон скуры, светлы тон скуры, фермер
🧑🏼‍🌾	агароднік, аграрый, аграрый: сярэднясветлы тон скуры, сярэднясветлы тон скуры, фермер
🧑🏽‍🌾	агароднік, аграрый, аграрый: сярэдні тон скуры, сярэдні тон скуры, фермер
🧑🏾‍🌾	агароднік, аграрый, аграрый: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры, фермер
🧑🏿‍🌾	агароднік, аграрый, аграрый: цёмны тон скуры, фермер, цёмны тон скуры
👨‍🌾	агароднік, мужчына, фермер
👨🏻‍🌾	агароднік, мужчына, светлы тон скуры, фермер, фермер: светлы тон скуры
👨🏼‍🌾	агароднік, мужчына, сярэднясветлы тон скуры, фермер, фермер: сярэднясветлы тон скуры
👨🏽‍🌾	агароднік, мужчына, сярэдні тон скуры, фермер, фермер: сярэдні тон скуры
👨🏾‍🌾	агароднік, мужчына, сярэдняцёмны тон скуры, фермер, фермер: сярэдняцёмны тон скуры
👨🏿‍🌾	агароднік, мужчына, фермер, фермер: цёмны тон скуры, цёмны тон скуры
👩‍🌾	агародніца, жанчына, фермерка
👩🏻‍🌾	агародніца, жанчына, светлы тон скуры, фермерка, фермерка: светлы тон скуры
👩🏼‍🌾	агародніца, жанчына, сярэднясветлы тон скуры, фермерка, фермерка: сярэднясветлы тон скуры
👩🏽‍🌾	агародніца, жанчына, сярэдні тон скуры, фермерка, фермерка: сярэдні тон скуры
👩🏾‍🌾	агародніца, жанчына, сярэдняцёмны тон скуры, фермерка, фермерка: сярэдняцёмны тон скуры
👩🏿‍🌾	агародніца, жанчына, фермерка, фермерка: цёмны тон скуры, цёмны тон скуры
🧑‍🍳	кухар, повар, шэф
🧑🏻‍🍳	кухар, повар, повар: светлы тон скуры, светлы тон скуры, шэф
🧑🏼‍🍳	кухар, повар, повар: сярэднясветлы тон скуры, сярэднясветлы тон скуры, шэф
🧑🏽‍🍳	кухар, повар, повар: сярэдні тон скуры, сярэдні тон скуры, шэф
🧑🏾‍🍳	кухар, повар, повар: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры, шэф
🧑🏿‍🍳	кухар, повар, повар: цёмны тон скуры, цёмны тон скуры, шэф
👨‍🍳	кухар, мужчына, шэф-повар
👨🏻‍🍳	кухар, кухар: светлы тон скуры, мужчына, светлы тон скуры, шэф-повар
👨🏼‍🍳	кухар, кухар: сярэднясветлы тон скуры, мужчына, сярэднясветлы тон скуры, шэф-повар
👨🏽‍🍳	кухар, кухар: сярэдні тон скуры, мужчына, сярэдні тон скуры, шэф-повар
👨🏾‍🍳	кухар, кухар: сярэдняцёмны тон скуры, мужчына, сярэдняцёмны тон скуры, шэф-повар
👨🏿‍🍳	кухар, кухар: цёмны тон скуры, мужчына, цёмны тон скуры, шэф-повар
👩‍🍳	жанчына, кухарка, шэф-кухар
👩🏻‍🍳	жанчына, кухарка, кухарка: светлы тон скуры, светлы тон скуры, шэф-кухар
👩🏼‍🍳	жанчына, кухарка, кухарка: сярэднясветлы тон скуры, сярэднясветлы тон скуры, шэф-кухар
👩🏽‍🍳	жанчына, кухарка, кухарка: сярэдні тон скуры, сярэдні тон скуры, шэф-кухар
👩🏾‍🍳	жанчына, кухарка, кухарка: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры, шэф-кухар
👩🏿‍🍳	жанчына, кухарка, кухарка: цёмны тон скуры, цёмны тон скуры, шэф-кухар
🧑‍🔧	майстар, механік, сантэхнік, электрык
🧑🏻‍🔧	майстар, механік, механік: светлы тон скуры, сантэхнік, светлы тон скуры, электрык
🧑🏼‍🔧	майстар, механік, механік: сярэднясветлы тон скуры, сантэхнік, сярэднясветлы тон скуры, электрык
🧑🏽‍🔧	майстар, механік, механік: сярэдні тон скуры, сантэхнік, сярэдні тон скуры, электрык
🧑🏾‍🔧	майстар, механік, механік: сярэдняцёмны тон скуры, сантэхнік, сярэдняцёмны тон скуры, электрык
🧑🏿‍🔧	майстар, механік, механік: цёмны тон скуры, сантэхнік, цёмны тон скуры, электрык
👨‍🔧	майстар, механік, мужчына, мужчына-механік, сантэхнік, электрык
👨🏻‍🔧	майстар, механік, мужчына, мужчына-механік, мужчына-механік: светлы тон скуры, сантэхнік, светлы тон скуры, электрык
👨🏼‍🔧	майстар, механік, мужчына, мужчына-механік, мужчына-механік: сярэднясветлы тон скуры, сантэхнік, сярэднясветлы тон скуры, электрык
👨🏽‍🔧	майстар, механік, мужчына, мужчына-механік, мужчына-механік: сярэдні тон скуры, сантэхнік, сярэдні тон скуры, электрык
👨🏾‍🔧	майстар, механік, мужчына, мужчына-механік, мужчына-механік: сярэдняцёмны тон скуры, сантэхнік, сярэдняцёмны тон скуры, электрык
👨🏿‍🔧	майстар, механік, мужчына, мужчына-механік, мужчына-механік: цёмны тон скуры, сантэхнік, цёмны тон скуры, электрык
👩‍🔧	жанчына, жанчына-механік, майстрыха, механік, сантэхнік, электрык
👩🏻‍🔧	жанчына, жанчына-механік, жанчына-механік: светлы тон скуры, майстрыха, механік, сантэхнік, светлы тон скуры, электрык
👩🏼‍🔧	жанчына, жанчына-механік, жанчына-механік: сярэднясветлы тон скуры, майстрыха, механік, сантэхнік, сярэднясветлы тон скуры, электрык
👩🏽‍🔧	жанчына, жанчына-механік, жанчына-механік: сярэдні тон скуры, майстрыха, механік, сантэхнік, сярэдні тон скуры, электрык
👩🏾‍🔧	жанчына, жанчына-механік, жанчына-механік: сярэдняцёмны тон скуры, майстрыха, механік, сантэхнік, сярэдняцёмны тон скуры, электрык
👩🏿‍🔧	жанчына, жанчына-механік, жанчына-механік: цёмны тон скуры, майстрыха, механік, сантэхнік, цёмны тон скуры, электрык
🧑‍🏭	завадчанін, завод, мужчына, прамыслоўца, працаўнік
🧑🏻‍🏭	завадчанін, завадчанін: светлы тон скуры, завод, мужчына, прамыслоўца, працаўнік, светлы тон скуры
🧑🏼‍🏭	завадчанін, завадчанін: сярэднясветлы тон скуры, завод, мужчына, прамыслоўца, працаўнік, сярэднясветлы тон скуры
🧑🏽‍🏭	завадчанін, завадчанін: сярэдні тон скуры, завод, мужчына, прамыслоўца, працаўнік, сярэдні тон скуры
🧑🏾‍🏭	завадчанін, завадчанін: сярэдняцёмны тон скуры, завод, мужчына, прамыслоўца, працаўнік, сярэдняцёмны тон скуры
🧑🏿‍🏭	завадчанін, завадчанін: цёмны тон скуры, завод, мужчына, прамыслоўца, працаўнік, цёмны тон скуры
👨‍🏭	завод, мужчына, прамыслоўца, працаўнік, працаўнік завода
👨🏻‍🏭	завод, мужчына, прамыслоўца, працаўнік, працаўнік завода, працаўнік завода: светлы тон скуры, светлы тон скуры
👨🏼‍🏭	завод, мужчына, прамыслоўца, працаўнік, працаўнік завода, працаўнік завода: сярэднясветлы тон скуры, сярэднясветлы тон скуры
👨🏽‍🏭	завод, мужчына, прамыслоўца, працаўнік, працаўнік завода, працаўнік завода: сярэдні тон скуры, сярэдні тон скуры
👨🏾‍🏭	завод, мужчына, прамыслоўца, працаўнік, працаўнік завода, працаўнік завода: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
👨🏿‍🏭	завод, мужчына, прамыслоўца, працаўнік, працаўнік завода, працаўнік завода: цёмны тон скуры, цёмны тон скуры
👩‍🏭	жанчына, завод, прамысловасць, працаўніца, працаўніца завода
👩🏻‍🏭	жанчына, завод, прамысловасць, працаўніца, працаўніца завода, працаўніца завода: светлы тон скуры, светлы тон скуры
👩🏼‍🏭	жанчына, завод, прамысловасць, працаўніца, працаўніца завода, працаўніца завода: сярэднясветлы тон скуры, сярэднясветлы тон скуры
👩🏽‍🏭	жанчына, завод, прамысловасць, працаўніца, працаўніца завода, працаўніца завода: сярэдні тон скуры, сярэдні тон скуры
👩🏾‍🏭	жанчына, завод, прамысловасць, працаўніца, працаўніца завода, працаўніца завода: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
👩🏿‍🏭	жанчына, завод, прамысловасць, працаўніца, працаўніца завода, працаўніца завода: цёмны тон скуры, цёмны тон скуры
🧑‍💼	белы каўнер, бізнес, менеджар, офіс, службовец
🧑🏻‍💼	белы каўнер, бізнес, менеджар, офіс, светлы тон скуры, службовец, службовец: светлы тон скуры
🧑🏼‍💼	белы каўнер, бізнес, менеджар, офіс, службовец, службовец: сярэднясветлы тон скуры, сярэднясветлы тон скуры
🧑🏽‍💼	белы каўнер, бізнес, менеджар, офіс, службовец, службовец: сярэдні тон скуры, сярэдні тон скуры
🧑🏾‍💼	белы каўнер, бізнес, менеджар, офіс, службовец, службовец: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
🧑🏿‍💼	белы каўнер, бізнес, менеджар, офіс, службовец, службовец: цёмны тон скуры, цёмны тон скуры
👨‍💼	белы каўнер, бізнес, менеджар, мужчына, офіс, служачы
👨🏻‍💼	белы каўнер, бізнес, менеджар, мужчына, офіс, светлы тон скуры, служачы, служачы: светлы тон скуры
👨🏼‍💼	белы каўнер, бізнес, менеджар, мужчына, офіс, служачы, служачы: сярэднясветлы тон скуры, сярэднясветлы тон скуры
👨🏽‍💼	белы каўнер, бізнес, менеджар, мужчына, офіс, служачы, служачы: сярэдні тон скуры, сярэдні тон скуры
👨🏾‍💼	белы каўнер, бізнес, менеджар, мужчына, офіс, служачы, служачы: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
👨🏿‍💼	белы каўнер, бізнес, менеджар, мужчына, офіс, служачы, служачы: цёмны тон скуры, цёмны тон скуры
👩‍💼	белы каўнер, бізнес, жанчына, менеджар, офіс, служачая
👩🏻‍💼	белы каўнер, бізнес, жанчына, менеджар, офіс, светлы тон скуры, служачая, служачая: светлы тон скуры
👩🏼‍💼	белы каўнер, бізнес, жанчына, менеджар, офіс, служачая, служачая: сярэднясветлы тон скуры, сярэднясветлы тон скуры
👩🏽‍💼	белы каўнер, бізнес, жанчына, менеджар, офіс, служачая, служачая: сярэдні тон скуры, сярэдні тон скуры
👩🏾‍💼	белы каўнер, бізнес, жанчына, менеджар, офіс, служачая, служачая: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
👩🏿‍💼	белы каўнер, бізнес, жанчына, менеджар, офіс, служачая, служачая: цёмны тон скуры, цёмны тон скуры
🧑‍🔬	біёлаг, навуковец, фізік, хімік
🧑🏻‍🔬	біёлаг, навуковец, навуковец: светлы тон скуры, светлы тон скуры, фізік, хімік
🧑🏼‍🔬	біёлаг, навуковец, навуковец: сярэднясветлы тон скуры, сярэднясветлы тон скуры, фізік, хімік
🧑🏽‍🔬	біёлаг, навуковец, навуковец: сярэдні тон скуры, сярэдні тон скуры, фізік, хімік
🧑🏾‍🔬	біёлаг, навуковец, навуковец: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры, фізік, хімік
🧑🏿‍🔬	біёлаг, навуковец, навуковец: цёмны тон скуры, фізік, хімік, цёмны тон скуры
👨‍🔬	біёлаг, вучоны, мужчына, навуковец, фізік, хімік
👨🏻‍🔬	біёлаг, вучоны, вучоны: светлы тон скуры, мужчына, навуковец, светлы тон скуры, фізік, хімік
👨🏼‍🔬	біёлаг, вучоны, вучоны: сярэднясветлы тон скуры, мужчына, навуковец, сярэднясветлы тон скуры, фізік, хімік
👨🏽‍🔬	біёлаг, вучоны, вучоны: сярэдні тон скуры, мужчына, навуковец, сярэдні тон скуры, фізік, хімік
👨🏾‍🔬	біёлаг, вучоны, вучоны: сярэдняцёмны тон скуры, мужчына, навуковец, сярэдняцёмны тон скуры, фізік, хімік
👨🏿‍🔬	біёлаг, вучоны, вучоны: цёмны тон скуры, мужчына, навуковец, фізік, хімік, цёмны тон скуры
👩‍🔬	біёлаг, вучоная, жанчына, жанчына-навуковец, фізік, хімік
👩🏻‍🔬	біёлаг, вучоная, вучоная: светлы тон скуры, жанчына, жанчына-навуковец, светлы тон скуры, фізік, хімік
👩🏼‍🔬	біёлаг, вучоная, вучоная: сярэднясветлы тон скуры, жанчына, жанчына-навуковец, сярэднясветлы тон скуры, фізік, хімік
👩🏽‍🔬	біёлаг, вучоная, вучоная: сярэдні тон скуры, жанчына, жанчына-навуковец, сярэдні тон скуры, фізік, хімік
👩🏾‍🔬	біёлаг, вучоная, вучоная: сярэдняцёмны тон скуры, жанчына, жанчына-навуковец, сярэдняцёмны тон скуры, фізік, хімік
👩🏿‍🔬	біёлаг, вучоная, вучоная: цёмны тон скуры, жанчына, жанчына-навуковец, фізік, хімік, цёмны тон скуры
🧑‍💻	камп’ютаршчык, праграміст, распрацоўшчык, тэхнік
🧑🏻‍💻	камп’ютаршчык, праграміст, распрацоўшчык, светлы тон скуры, тэхнік, тэхнік: светлы тон скуры
🧑🏼‍💻	камп’ютаршчык, праграміст, распрацоўшчык, сярэднясветлы тон скуры, тэхнік, тэхнік: сярэднясветлы тон скуры
🧑🏽‍💻	камп’ютаршчык, праграміст, распрацоўшчык, сярэдні тон скуры, тэхнік, тэхнік: сярэдні тон скуры
🧑🏾‍💻	камп’ютаршчык, праграміст, распрацоўшчык, сярэдняцёмны тон скуры, тэхнік, тэхнік: сярэдняцёмны тон скуры
🧑🏿‍💻	камп’ютаршчык, праграміст, распрацоўшчык, тэхнік, тэхнік: цёмны тон скуры, цёмны тон скуры
👨‍💻	камп’ютаршчык, мужчына, праграміст, распрацоўшчык, тэхнік
👨🏻‍💻	камп’ютаршчык, камп’ютаршчык: светлы тон скуры, мужчына, праграміст, распрацоўшчык, светлы тон скуры, тэхнік
👨🏼‍💻	камп’ютаршчык, камп’ютаршчык: сярэднясветлы тон скуры, мужчына, праграміст, распрацоўшчык, сярэднясветлы тон скуры, тэхнік
👨🏽‍💻	камп’ютаршчык, камп’ютаршчык: сярэдні тон скуры, мужчына, праграміст, распрацоўшчык, сярэдні тон скуры, тэхнік
👨🏾‍💻	камп’ютаршчык, камп’ютаршчык: сярэдняцёмны тон скуры, мужчына, праграміст, распрацоўшчык, сярэдняцёмны тон скуры, тэхнік
👨🏿‍💻	камп’ютаршчык, камп’ютаршчык: цёмны тон скуры, мужчына, праграміст, распрацоўшчык, тэхнік, цёмны тон скуры
👩‍💻	жанчына, жанчына-тэхнік, камп’ютаршчык, камп’ютаршчыца, праграмістка, распрацоўшчыца
👩🏻‍💻	жанчына, жанчына-тэхнік, камп’ютаршчык, камп’ютаршчыца, камп’ютаршчыца: светлы тон скуры, праграмістка, распрацоўшчыца, светлы тон скуры
👩🏼‍💻	жанчына, жанчына-тэхнік, камп’ютаршчык, камп’ютаршчыца, камп’ютаршчыца: сярэднясветлы тон скуры, праграмістка, распрацоўшчыца, сярэднясветлы тон скуры
👩🏽‍💻	жанчына, жанчына-тэхнік, камп’ютаршчык, камп’ютаршчыца, камп’ютаршчыца: сярэдні тон скуры, праграмістка, распрацоўшчыца, сярэдні тон скуры
👩🏾‍💻	жанчына, жанчына-тэхнік, камп’ютаршчык, камп’ютаршчыца, камп’ютаршчыца: сярэдняцёмны тон скуры, праграмістка, распрацоўшчыца, сярэдняцёмны тон скуры
👩🏿‍💻	жанчына, жанчына-тэхнік, камп’ютаршчык, камп’ютаршчыца, камп’ютаршчыца: цёмны тон скуры, праграмістка, распрацоўшчыца, цёмны тон скуры
🧑‍🎤	зорка, пяюн, рок, спеў, спявак, эстраднік
🧑🏻‍🎤	зорка, пяюн, пяюн: светлы тон скуры, рок, светлы тон скуры, спеў, спявак, эстраднік
🧑🏼‍🎤	зорка, пяюн, пяюн: сярэднясветлы тон скуры, рок, спеў, спявак, сярэднясветлы тон скуры, эстраднік
🧑🏽‍🎤	зорка, пяюн, пяюн: сярэдні тон скуры, рок, спеў, спявак, сярэдні тон скуры, эстраднік
🧑🏾‍🎤	зорка, пяюн, пяюн: сярэдняцёмны тон скуры, рок, спеў, спявак, сярэдняцёмны тон скуры, эстраднік
🧑🏿‍🎤	зорка, пяюн, пяюн: цёмны тон скуры, рок, спеў, спявак, цёмны тон скуры, эстраднік
👨‍🎤	зорка, мужчына, рок, спеў, спявак, эстраднік
👨🏻‍🎤	зорка, мужчына, рок, светлы тон скуры, спеў, спявак, спявак: светлы тон скуры, эстраднік
👨🏼‍🎤	зорка, мужчына, рок, спеў, спявак, спявак: сярэднясветлы тон скуры, сярэднясветлы тон скуры, эстраднік
👨🏽‍🎤	зорка, мужчына, рок, спеў, спявак, спявак: сярэдні тон скуры, сярэдні тон скуры, эстраднік
👨🏾‍🎤	зорка, мужчына, рок, спеў, спявак, спявак: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры, эстраднік
👨🏿‍🎤	зорка, мужчына, рок, спеў, спявак, спявак: цёмны тон скуры, цёмны тон скуры, эстраднік
👩‍🎤	жанчына, зорка, рок, спеў, спявачка, эстрадніца
👩🏻‍🎤	жанчына, зорка, рок, светлы тон скуры, спеў, спявачка, спявачка: светлы тон скуры, эстрадніца
👩🏼‍🎤	жанчына, зорка, рок, спеў, спявачка, спявачка: сярэднясветлы тон скуры, сярэднясветлы тон скуры, эстрадніца
👩🏽‍🎤	жанчына, зорка, рок, спеў, спявачка, спявачка: сярэдні тон скуры, сярэдні тон скуры, эстрадніца
👩🏾‍🎤	жанчына, зорка, рок, спеў, спявачка, спявачка: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры, эстрадніца
👩🏿‍🎤	жанчына, зорка, рок, спеў, спявачка, спявачка: цёмны тон скуры, цёмны тон скуры, эстрадніца
🧑‍🎨	жывапісец, мастак, палітра
🧑🏻‍🎨	жывапісец, жывапісец: светлы тон скуры, мастак, палітра, светлы тон скуры
🧑🏼‍🎨	жывапісец, жывапісец: сярэднясветлы тон скуры, мастак, палітра, сярэднясветлы тон скуры
🧑🏽‍🎨	жывапісец, жывапісец: сярэдні тон скуры, мастак, палітра, сярэдні тон скуры
🧑🏾‍🎨	жывапісец, жывапісец: сярэдняцёмны тон скуры, мастак, палітра, сярэдняцёмны тон скуры
🧑🏿‍🎨	жывапісец, жывапісец: цёмны тон скуры, мастак, палітра, цёмны тон скуры
👨‍🎨	мастак, мужчына, палітра, пэндзаль
👨🏻‍🎨	мастак, мастак: светлы тон скуры, мужчына, палітра, пэндзаль, светлы тон скуры
👨🏼‍🎨	мастак, мастак: сярэднясветлы тон скуры, мужчына, палітра, пэндзаль, сярэднясветлы тон скуры
👨🏽‍🎨	мастак, мастак: сярэдні тон скуры, мужчына, палітра, пэндзаль, сярэдні тон скуры
👨🏾‍🎨	мастак, мастак: сярэдняцёмны тон скуры, мужчына, палітра, пэндзаль, сярэдняцёмны тон скуры
👨🏿‍🎨	мастак, мастак: цёмны тон скуры, мужчына, палітра, пэндзаль, цёмны тон скуры
👩‍🎨	жанчына, мастачка, палітра, пэндзаль
👩🏻‍🎨	жанчына, мастачка, мастачка: светлы тон скуры, палітра, пэндзаль, светлы тон скуры
👩🏼‍🎨	жанчына, мастачка, мастачка: сярэднясветлы тон скуры, палітра, пэндзаль, сярэднясветлы тон скуры
👩🏽‍🎨	жанчына, мастачка, мастачка: сярэдні тон скуры, палітра, пэндзаль, сярэдні тон скуры
👩🏾‍🎨	жанчына, мастачка, мастачка: сярэдняцёмны тон скуры, палітра, пэндзаль, сярэдняцёмны тон скуры
👩🏿‍🎨	жанчына, мастачка, мастачка: цёмны тон скуры, палітра, пэндзаль, цёмны тон скуры
🧑‍✈	пілот, самалёт
🧑🏻‍✈	пілот, пілот: светлы тон скуры, самалёт, светлы тон скуры
🧑🏼‍✈	пілот, пілот: сярэднясветлы тон скуры, самалёт, сярэднясветлы тон скуры
🧑🏽‍✈	пілот, пілот: сярэдні тон скуры, самалёт, сярэдні тон скуры
🧑🏾‍✈	пілот, пілот: сярэдняцёмны тон скуры, самалёт, сярэдняцёмны тон скуры
🧑🏿‍✈	пілот, пілот: цёмны тон скуры, самалёт, цёмны тон скуры
👨‍✈	мужчына, мужчына-пілот, пілот, самалёт
👨🏻‍✈	мужчына, мужчына-пілот, мужчына-пілот: светлы тон скуры, пілот, самалёт, светлы тон скуры
👨🏼‍✈	мужчына, мужчына-пілот, мужчына-пілот: сярэднясветлы тон скуры, пілот, самалёт, сярэднясветлы тон скуры
👨🏽‍✈	мужчына, мужчына-пілот, мужчына-пілот: сярэдні тон скуры, пілот, самалёт, сярэдні тон скуры
👨🏾‍✈	мужчына, мужчына-пілот, мужчына-пілот: сярэдняцёмны тон скуры, пілот, самалёт, сярэдняцёмны тон скуры
👨🏿‍✈	мужчына, мужчына-пілот, мужчына-пілот: цёмны тон скуры, пілот, самалёт, цёмны тон скуры
👩‍✈	жанчына, жанчына-пілот, пілот, самалёт
👩🏻‍✈	жанчына, жанчына-пілот, жанчына-пілот: светлы тон скуры, пілот, самалёт, светлы тон скуры
👩🏼‍✈	жанчына, жанчына-пілот, жанчына-пілот: сярэднясветлы тон скуры, пілот, самалёт, сярэднясветлы тон скуры
👩🏽‍✈	жанчына, жанчына-пілот, жанчына-пілот: сярэдні тон скуры, пілот, самалёт, сярэдні тон скуры
👩🏾‍✈	жанчына, жанчына-пілот, жанчына-пілот: сярэдняцёмны тон скуры, пілот, самалёт, сярэдняцёмны тон скуры
👩🏿‍✈	жанчына, жанчына-пілот, жанчына-пілот: цёмны тон скуры, пілот, самалёт, цёмны тон скуры
🧑‍🚀	астранаўт, касманаўт, ракета
🧑🏻‍🚀	астранаўт, астранаўт: светлы тон скуры, касманаўт, ракета, светлы тон скуры
🧑🏼‍🚀	астранаўт, астранаўт: сярэднясветлы тон скуры, касманаўт, ракета, сярэднясветлы тон скуры
🧑🏽‍🚀	астранаўт, астранаўт: сярэдні тон скуры, касманаўт, ракета, сярэдні тон скуры
🧑🏾‍🚀	астранаўт, астранаўт: сярэдняцёмны тон скуры, касманаўт, ракета, сярэдняцёмны тон скуры
🧑🏿‍🚀	астранаўт, астранаўт: цёмны тон скуры, касманаўт, ракета, цёмны тон скуры
👨‍🚀	касманаўт, космас, мужчына, ракета
👨🏻‍🚀	касманаўт, касманаўт: светлы тон скуры, космас, мужчына, ракета, светлы тон скуры
👨🏼‍🚀	касманаўт, касманаўт: сярэднясветлы тон скуры, космас, мужчына, ракета, сярэднясветлы тон скуры
👨🏽‍🚀	касманаўт, касманаўт: сярэдні тон скуры, космас, мужчына, ракета, сярэдні тон скуры
👨🏾‍🚀	касманаўт, касманаўт: сярэдняцёмны тон скуры, космас, мужчына, ракета, сярэдняцёмны тон скуры
👨🏿‍🚀	касманаўт, касманаўт: цёмны тон скуры, космас, мужчына, ракета, цёмны тон скуры
👩‍🚀	жанчына, касманаўтка, космас, ракета
👩🏻‍🚀	жанчына, касманаўтка, касманаўтка: светлы тон скуры, космас, ракета, светлы тон скуры
👩🏼‍🚀	жанчына, касманаўтка, касманаўтка: сярэднясветлы тон скуры, космас, ракета, сярэднясветлы тон скуры
👩🏽‍🚀	жанчына, касманаўтка, касманаўтка: сярэдні тон скуры, космас, ракета, сярэдні тон скуры
👩🏾‍🚀	жанчына, касманаўтка, касманаўтка: сярэдняцёмны тон скуры, космас, ракета, сярэдняцёмны тон скуры
👩🏿‍🚀	жанчына, касманаўтка, касманаўтка: цёмны тон скуры, космас, ракета, цёмны тон скуры
🧑‍🚒	пажарная машына, пажарны
🧑🏻‍🚒	пажарная машына, пажарны, пажарны: светлы тон скуры, светлы тон скуры
🧑🏼‍🚒	пажарная машына, пажарны, пажарны: сярэднясветлы тон скуры, сярэднясветлы тон скуры
🧑🏽‍🚒	пажарная машына, пажарны, пажарны: сярэдні тон скуры, сярэдні тон скуры
🧑🏾‍🚒	пажарная машына, пажарны, пажарны: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
🧑🏿‍🚒	пажарная машына, пажарны, пажарны: цёмны тон скуры, цёмны тон скуры
👨‍🚒	мужчына, пажарная машына, пажарнік
👨🏻‍🚒	мужчына, пажарная машына, пажарнік, пажарнік: светлы тон скуры, светлы тон скуры
👨🏼‍🚒	мужчына, пажарная машына, пажарнік, пажарнік: сярэднясветлы тон скуры, сярэднясветлы тон скуры
👨🏽‍🚒	мужчына, пажарная машына, пажарнік, пажарнік: сярэдні тон скуры, сярэдні тон скуры
👨🏾‍🚒	мужчына, пажарная машына, пажарнік, пажарнік: сярэдняцёмны тон скуры, сярэдняцёмны тон скуры
👨🏿‍🚒	мужчына, пажарная машына, пажарнік, пажарнік: цёмны тон скуры, цёмны тон скуры
