🦵🏻	gjymtyrë, këmbë, këmbë: nuancë lëkure e çelët, nuancë lëkure e çelët, shkelm
🤸🏿‍♀	gjimnastikë, grua, grua që bën kapërdimje, grua që bën kapërdimje: nuancë lëkure e errët, kapërdimje, nuancë lëkure e errët, sport
🤽🏻	nuancë lëkure e çelët, person, sport, vaterpolo, vaterpolo: nuancë lëkure e çelët
🤽🏼	nuancë lëkure gjysmë e çelët, person, sport, vaterpolo, vaterpolo: nuancë lëkure gjysmë e çelët
🤽🏽	nuancë lëkure zeshkane, person, sport, vaterpolo, vaterpolo: nuancë lëkure zeshkane
🤽🏾	nuancë lëkure gjysmë e errët, person, sport, vaterpolo, vaterpolo: nuancë lëkure gjysmë e errët
🤽🏿	nuancë lëkure e errët, person, sport, vaterpolo, vaterpolo: nuancë lëkure e errët
🤽🏻‍♂	burra që luajnë vaterpolo, burra që luajnë vaterpolo: nuancë lëkure e çelët, burrë, nuancë lëkure e çelët, sport, vaterpolo
🤽🏼‍♂	burra që luajnë vaterpolo, burra që luajnë vaterpolo: nuancë lëkure gjysmë e çelët, burrë, nuancë lëkure gjysmë e çelët, sport, vaterpolo
🤽🏽‍♂	burra që luajnë vaterpolo, burra që luajnë vaterpolo: nuancë lëkure zeshkane, burrë, nuancë lëkure zeshkane, sport, vaterpolo
🤽🏾‍♂	burra që luajnë vaterpolo, burra që luajnë vaterpolo: nuancë lëkure gjysmë e errët, burrë, nuancë lëkure gjysmë e errët, sport, vaterpolo
🤽🏿‍♂	burra që luajnë vaterpolo, burra që luajnë vaterpolo: nuancë lëkure e errët, burrë, nuancë lëkure e errët, sport, vaterpolo
🤽🏻‍♀	gra që luajnë vaterpolo, gra që luajnë vaterpolo: nuancë lëkure e çelët, grua, nuancë lëkure e çelët, sport, vaterpolo
🤽🏼‍♀	gra që luajnë vaterpolo, gra që luajnë vaterpolo: nuancë lëkure gjysmë e çelët, grua, nuancë lëkure gjysmë e çelët, sport, vaterpolo
🤽🏽‍♀	gra që luajnë vaterpolo, gra që luajnë vaterpolo: nuancë lëkure zeshkane, grua, nuancë lëkure zeshkane, sport, vaterpolo
🤽🏾‍♀	gra që luajnë vaterpolo, gra që luajnë vaterpolo: nuancë lëkure gjysmë e errët, grua, nuancë lëkure gjysmë e errët, sport, vaterpolo
🤽🏿‍♀	gra që luajnë vaterpolo, gra që luajnë vaterpolo: nuancë lëkure e errët, grua, nuancë lëkure e errët, sport, vaterpolo
🤾🏻	hendboll, hendboll: nuancë lëkure e çelët, nuancë lëkure e çelët, person, sport, top
🤾🏼	hendboll, hendboll: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, person, sport, top
🤾🏽	hendboll, hendboll: nuancë lëkure zeshkane, nuancë lëkure zeshkane, person, sport, top
🤾🏾	hendboll, hendboll: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, person, sport, top
🤾🏿	hendboll, hendboll: nuancë lëkure e errët, nuancë lëkure e errët, person, sport, top
🤾🏻‍♂	burra që luajnë hendboll, burra që luajnë hendboll: nuancë lëkure e çelët, burrë, hendboll, nuancë lëkure e çelët, sport
🤾🏼‍♂	burra që luajnë hendboll, burra që luajnë hendboll: nuancë lëkure gjysmë e çelët, burrë, hendboll, nuancë lëkure gjysmë e çelët, sport
🤾🏽‍♂	burra që luajnë hendboll, burra që luajnë hendboll: nuancë lëkure zeshkane, burrë, hendboll, nuancë lëkure zeshkane, sport
🤾🏾‍♂	burra që luajnë hendboll, burra që luajnë hendboll: nuancë lëkure gjysmë e errët, burrë, hendboll, nuancë lëkure gjysmë e errët, sport
🤾🏿‍♂	burra që luajnë hendboll, burra që luajnë hendboll: nuancë lëkure e errët, burrë, hendboll, nuancë lëkure e errët, sport
🤾🏻‍♀	gra që luajnë hendboll, gra që luajnë hendboll: nuancë lëkure e çelët, grua, hendboll, nuancë lëkure e çelët, sport
🤾🏼‍♀	gra që luajnë hendboll, gra që luajnë hendboll: nuancë lëkure gjysmë e çelët, grua, hendboll, nuancë lëkure gjysmë e çelët, sport
🤾🏽‍♀	gra që luajnë hendboll, gra që luajnë hendboll: nuancë lëkure zeshkane, grua, hendboll, nuancë lëkure zeshkane, sport
🤾🏾‍♀	gra që luajnë hendboll, gra që luajnë hendboll: nuancë lëkure gjysmë e errët, grua, hendboll, nuancë lëkure gjysmë e errët, sport
🤾🏿‍♀	gra që luajnë hendboll, gra që luajnë hendboll: nuancë lëkure e errët, grua, hendboll, nuancë lëkure e errët, sport
🤹🏻	aftësi, baraspeshim, nuancë lëkure e çelët, shkathtësi, zhongler, zhongler: nuancë lëkure e çelët, zhonglim
🤹🏼	aftësi, baraspeshim, nuancë lëkure gjysmë e çelët, shkathtësi, zhongler, zhongler: nuancë lëkure gjysmë e çelët, zhonglim
🤹🏽	aftësi, baraspeshim, nuancë lëkure zeshkane, shkathtësi, zhongler, zhongler: nuancë lëkure zeshkane, zhonglim
🤹🏾	aftësi, baraspeshim, nuancë lëkure gjysmë e errët, shkathtësi, zhongler, zhongler: nuancë lëkure gjysmë e errët, zhonglim
🤹🏿	aftësi, baraspeshim, nuancë lëkure e errët, shkathtësi, zhongler, zhongler: nuancë lëkure e errët, zhonglim
🤹🏻‍♂	burrë, burrë që zhonglon, burrë që zhonglon: nuancë lëkure e çelët, nuancë lëkure e çelët, sport, zhonglim
🤹🏼‍♂	burrë, burrë që zhonglon, burrë që zhonglon: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, sport, zhonglim
🤹🏽‍♂	burrë, burrë që zhonglon, burrë që zhonglon: nuancë lëkure zeshkane, nuancë lëkure zeshkane, sport, zhonglim
🤹🏾‍♂	burrë, burrë që zhonglon, burrë që zhonglon: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, sport, zhonglim
🤹🏿‍♂	burrë, burrë që zhonglon, burrë që zhonglon: nuancë lëkure e errët, nuancë lëkure e errët, sport, zhonglim
🤹🏻‍♀	grua, grua që zhonglon, grua që zhonglon: nuancë lëkure e çelët, nuancë lëkure e çelët, sport, zhonglim
🤹🏼‍♀	grua, grua që zhonglon, grua që zhonglon: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, sport, zhonglim
🤹🏽‍♀	grua, grua që zhonglon, grua që zhonglon: nuancë lëkure zeshkane, nuancë lëkure zeshkane, sport, zhonglim
🤹🏾‍♀	grua, grua që zhonglon, grua që zhonglon: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, sport, zhonglim
🤹🏿‍♀	grua, grua që zhonglon, grua që zhonglon: nuancë lëkure e errët, nuancë lëkure e errët, sport, zhonglim
👩‍❤‍💋‍👨	burrë, grua, puthje, puthje: grua e burrë, romancë, çift
👨‍❤‍💋‍👨	burrë, puthje, puthje: burrë e burrë, romancë, çift
👩‍❤‍💋‍👩	grua, puthje, puthje: grua e grua, romancë, çift
👩‍❤‍👨	burrë, dashuri, grua, romancë, zemër, çift, çift me zemër, çift me zemër: grua e burrë
👨‍❤‍👨	burrë, dashuri, romancë, zemër, çift, çift me zemër, çift me zemër: burrë e burrë
👩‍❤‍👩	dashuri, grua, romancë, zemër, çift, çift me zemër, çift me zemër: grua e grua
👨‍👩‍👦	baba, burrë, djalë, familje, familje: burrë, grua e djalë, fëmijë, grua, mama, nënë
👨‍👩‍👧	baba, burrë, familje, familje: burrë, grua e vajzë, fëmijë, grua, mama, nënë, vajzë
👨‍👩‍👧‍👦	baba, burrë, djalë, familje, familje: burrë, grua, vajzë e djalë, fëmijë, grua, mama, nënë, vajzë
👨‍👩‍👦‍👦	baba, burrë, djalë, familje, familje: burrë, grua, djalë e djalë, fëmijë, grua, mama, nënë
👨‍👩‍👧‍👧	baba, burrë, familje, familje: burrë, grua, vajzë e vajzë, fëmijë, grua, mama, nënë, vajzë
👨‍👨‍👦	baba, burrë, djalë, familje, familje: burrë, burrë e djalë, fëmijë, mama, nënë
👨‍👨‍👧	baba, burrë, familje, familje: burrë, burrë e vajzë, fëmijë, mama, nënë, vajzë
👨‍👨‍👧‍👦	baba, burrë, djalë, familje, familje: burrë, burrë, vajzë e djalë, fëmijë, mama, nënë, vajzë
👨‍👨‍👦‍👦	baba, burrë, djalë, familje, familje: burrë, burrë, djalë e djalë, fëmijë, mama, nënë
👨‍👨‍👧‍👧	baba, burrë, familje, familje: burrë, burrë, vajzë e vajzë, fëmijë, mama, nënë, vajzë
👩‍👩‍👦	baba, djalë, familje, familje: grua, grua e djalë, fëmijë, grua, mama, nënë
👩‍👩‍👧	baba, familje, familje: grua, grua e vajzë, fëmijë, grua, mama, nënë, vajzë
👩‍👩‍👧‍👦	baba, djalë, familje, familje: grua, grua, vajzë e djalë, fëmijë, grua, mama, nënë, vajzë
👩‍👩‍👦‍👦	baba, djalë, familje, familje: grua, grua, djalë e djalë, fëmijë, grua, mama, nënë
👩‍👩‍👧‍👧	baba, familje, familje: grua, grua, vajzë e vajzë, fëmijë, grua, mama, nënë, vajzë
👨‍👦	baba, burrë, djalë, familje, familje: burrë e djalë, fëmijë, mama, nënë
👨‍👦‍👦	baba, burrë, djalë, familje, familje: burrë, djalë e djalë, fëmijë, mama, nënë
👨‍👧	baba, burrë, familje, familje: burrë e vajzë, fëmijë, mama, nënë, vajzë
👨‍👧‍👦	baba, burrë, djalë, familje, familje: burrë, vajzë e djalë, fëmijë, mama, nënë, vajzë
👨‍👧‍👧	baba, burrë, familje, familje: burrë, vajzë e vajzë, fëmijë, mama, nënë, vajzë
👩‍👦	baba, djalë, familje, familje: grua e djalë, fëmijë, grua, mama, nënë
👩‍👦‍👦	baba, djalë, familje, familje: grua, djalë e djalë, fëmijë, grua, mama, nënë
👩‍👧	baba, familje, familje: grua e vajzë, fëmijë, grua, mama, nënë, vajzë
👩‍👧‍👦	baba, djalë, familje, familje: grua, vajzë e djalë, fëmijë, grua, mama, nënë, vajzë
👩‍👧‍👧	baba, familje, familje: grua, vajzë e vajzë, fëmijë, grua, mama, nënë, vajzë
🤳🏻	foto vetjake, foto vetjake: nuancë lëkure e çelët, kamerë, nuancë lëkure e çelët, sellfi, telefon, vetjake
🤳🏼	foto vetjake, foto vetjake: nuancë lëkure gjysmë e çelët, kamerë, nuancë lëkure gjysmë e çelët, sellfi, telefon, vetjake
🤳🏽	foto vetjake, foto vetjake: nuancë lëkure zeshkane, kamerë, nuancë lëkure zeshkane, sellfi, telefon, vetjake
🤳🏾	foto vetjake, foto vetjake: nuancë lëkure gjysmë e errët, kamerë, nuancë lëkure gjysmë e errët, sellfi, telefon, vetjake
🤳🏿	foto vetjake, foto vetjake: nuancë lëkure e errët, kamerë, nuancë lëkure e errët, sellfi, telefon, vetjake
💪🏻	i mbledhur, muskul, muskul dykrerësh, muskuli dykrerësh i mbledhur, muskuli dykrerësh i mbledhur: nuancë lëkure e çelët, nuancë lëkure e çelët
💪🏼	i mbledhur, muskul, muskul dykrerësh, muskuli dykrerësh i mbledhur, muskuli dykrerësh i mbledhur: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
💪🏽	i mbledhur, muskul, muskul dykrerësh, muskuli dykrerësh i mbledhur, muskuli dykrerësh i mbledhur: nuancë lëkure zeshkane, nuancë lëkure zeshkane
💪🏾	i mbledhur, muskul, muskul dykrerësh, muskuli dykrerësh i mbledhur, muskuli dykrerësh i mbledhur: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
💪🏿	i mbledhur, muskul, muskul dykrerësh, muskuli dykrerësh i mbledhur, muskuli dykrerësh i mbledhur: nuancë lëkure e errët, nuancë lëkure e errët
👈🏻	dorë, gisht, gishti tregues që tregon majtas, gishti tregues që tregon majtas: nuancë lëkure e çelët, kurrizi i dorës, nuancë lëkure e çelët
👈🏼	dorë, gisht, gishti tregues që tregon majtas, gishti tregues që tregon majtas: nuancë lëkure gjysmë e çelët, kurrizi i dorës, nuancë lëkure gjysmë e çelët
👈🏽	dorë, gisht, gishti tregues që tregon majtas, gishti tregues që tregon majtas: nuancë lëkure zeshkane, kurrizi i dorës, nuancë lëkure zeshkane
👈🏾	dorë, gisht, gishti tregues që tregon majtas, gishti tregues që tregon majtas: nuancë lëkure gjysmë e errët, kurrizi i dorës, nuancë lëkure gjysmë e errët
👈🏿	dorë, gisht, gishti tregues që tregon majtas, gishti tregues që tregon majtas: nuancë lëkure e errët, kurrizi i dorës, nuancë lëkure e errët
👉🏻	dorë, gisht, gisht tregues i drejtuar djathtas, gisht tregues i drejtuar djathtas: nuancë lëkure e çelët, kurrizi i dorës, nuancë lëkure e çelët
👉🏼	dorë, gisht, gisht tregues i drejtuar djathtas, gisht tregues i drejtuar djathtas: nuancë lëkure gjysmë e çelët, kurrizi i dorës, nuancë lëkure gjysmë e çelët
👉🏽	dorë, gisht, gisht tregues i drejtuar djathtas, gisht tregues i drejtuar djathtas: nuancë lëkure zeshkane, kurrizi i dorës, nuancë lëkure zeshkane
👉🏾	dorë, gisht, gisht tregues i drejtuar djathtas, gisht tregues i drejtuar djathtas: nuancë lëkure gjysmë e errët, kurrizi i dorës, nuancë lëkure gjysmë e errët
👉🏿	dorë, gisht, gisht tregues i drejtuar djathtas, gisht tregues i drejtuar djathtas: nuancë lëkure e errët, kurrizi i dorës, nuancë lëkure e errët
☝🏻	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure e çelët, nuancë lëkure e çelët, tregues
☝🏼	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, tregues
☝🏽	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure zeshkane, nuancë lëkure zeshkane, tregues
☝🏾	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, tregues
☝🏿	dorë, gisht, gisht tregues që tregon lart, gisht tregues që tregon lart: nuancë lëkure e errët, nuancë lëkure e errët, tregues
👆🏻	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure e çelët, gisht tregues i drejtuar lartë, nuancë lëkure e çelët, tregoj
👆🏼	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure gjysmë e çelët, gisht tregues i drejtuar lartë, nuancë lëkure gjysmë e çelët, tregoj
👆🏽	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure zeshkane, gisht tregues i drejtuar lartë, nuancë lëkure zeshkane, tregoj
👆🏾	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure gjysmë e errët, gisht tregues i drejtuar lartë, nuancë lëkure gjysmë e errët, tregoj
👆🏿	dorë, gisht, gisht tregues i drejtuar lart, gisht tregues i drejtuar lart: nuancë lëkure e errët, gisht tregues i drejtuar lartë, nuancë lëkure e errët, tregoj
🖕🏻	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure e çelët, nuancë lëkure e çelët, trup
🖕🏼	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, trup
🖕🏽	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure zeshkane, nuancë lëkure zeshkane, trup
🖕🏾	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, trup
🖕🏿	dorë, gisht, gishti i mesit, gishti i mesit: nuancë lëkure e errët, nuancë lëkure e errët, trup
👇🏻	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure e çelët, nuancë lëkure e çelët, tregoj
👇🏼	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, tregoj
👇🏽	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, tregoj
👇🏾	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, tregoj
👇🏿	dorë, gisht, gisht tregues i drejtuar poshtë, gisht tregues i drejtuar poshtë: nuancë lëkure e errët, nuancë lëkure e errët, tregoj
✌🏻	dora e fitores, dora e fitores: nuancë lëkure e çelët, dorë, fitore, nuancë lëkure e çelët, trup, v
✌🏼	dora e fitores, dora e fitores: nuancë lëkure gjysmë e çelët, dorë, fitore, nuancë lëkure gjysmë e çelët, trup, v
✌🏽	dora e fitores, dora e fitores: nuancë lëkure zeshkane, dorë, fitore, nuancë lëkure zeshkane, trup, v
✌🏾	dora e fitores, dora e fitores: nuancë lëkure gjysmë e errët, dorë, fitore, nuancë lëkure gjysmë e errët, trup, v
✌🏿	dora e fitores, dora e fitores: nuancë lëkure e errët, dorë, fitore, nuancë lëkure e errët, trup, v
🤞🏻	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure e çelët, kryqëzim, nuancë lëkure e çelët
🤞🏼	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure gjysmë e çelët, kryqëzim, nuancë lëkure gjysmë e çelët
🤞🏽	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure zeshkane, kryqëzim, nuancë lëkure zeshkane
🤞🏾	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure gjysmë e errët, kryqëzim, nuancë lëkure gjysmë e errët
🤞🏿	dorë, fat, gisht, gishta të kryqëzuar, gishta të kryqëzuar: nuancë lëkure e errët, kryqëzim, nuancë lëkure e errët
🖖🏻	dorë, nuancë lëkure e çelët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure e çelët, spock, vulkan
🖖🏼	dorë, nuancë lëkure gjysmë e çelët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure gjysmë e çelët, spock, vulkan
🖖🏽	dorë, nuancë lëkure zeshkane, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure zeshkane, spock, vulkan
🖖🏾	dorë, nuancë lëkure gjysmë e errët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure gjysmë e errët, spock, vulkan
🖖🏿	dorë, nuancë lëkure e errët, përshëndetja e vulkanit, përshëndetja e vulkanit: nuancë lëkure e errët, spock, vulkan
🤘🏻	dorë, gisht, nuancë lëkure e çelët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure e çelët
🤘🏼	dorë, gisht, nuancë lëkure gjysmë e çelët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure gjysmë e çelët
🤘🏽	dorë, gisht, nuancë lëkure zeshkane, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure zeshkane
🤘🏾	dorë, gisht, nuancë lëkure gjysmë e errët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure gjysmë e errët
🤘🏿	dorë, gisht, nuancë lëkure e errët, rok, shenja e brirëve, shenja e brirëve: nuancë lëkure e errët
🤙🏻	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure e çelët, nuancë lëkure e çelët, telefono
🤙🏼	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, telefono
🤙🏽	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure zeshkane, nuancë lëkure zeshkane, telefono
🤙🏾	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, telefono
🤙🏿	dorë, dorë me shenjën “më telefono”, dorë me shenjën “më telefono”: nuancë lëkure e errët, nuancë lëkure e errët, telefono
🖐🏻	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure e çelët, e hapur, nuancë lëkure e çelët, trup
🖐🏼	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure gjysmë e çelët, e hapur, nuancë lëkure gjysmë e çelët, trup
🖐🏽	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure zeshkane, e hapur, nuancë lëkure zeshkane, trup
🖐🏾	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure gjysmë e errët, e hapur, nuancë lëkure gjysmë e errët, trup
🖐🏿	dorë, dorë e ngritur me gishtat të hapur, dorë e ngritur me gishtat të hapur: nuancë lëkure e errët, e hapur, nuancë lëkure e errët, trup
✋🏻	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure e çelët, nuancë lëkure e çelët, trup
✋🏼	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, trup
✋🏽	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure zeshkane, nuancë lëkure zeshkane, trup
✋🏾	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, trup
✋🏿	dorë, dorë e ngritur, dorë e ngritur: nuancë lëkure e errët, nuancë lëkure e errët, trup
👌🏻	dorë, nuancë lëkure e çelët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure e çelët
👌🏼	dorë, nuancë lëkure gjysmë e çelët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure gjysmë e çelët
👌🏽	dorë, nuancë lëkure zeshkane, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure zeshkane
👌🏾	dorë, nuancë lëkure gjysmë e errët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure gjysmë e errët
👌🏿	dorë, nuancë lëkure e errët, në rregull, ok, trup, «ok» me dorë, «ok» me dorë: nuancë lëkure e errët
👍🏻	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure e çelët, nuancë lëkure e çelët
👍🏼	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët
👍🏽	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure zeshkane, nuancë lëkure zeshkane
👍🏾	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët
👍🏿	+1, dorë, gisht i madh, gishti i madh lart, gishti i madh lart: nuancë lëkure e errët, nuancë lëkure e errët
👎🏻	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure e çelët, nuancë lëkure e çelët, poshtë
👎🏼	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, poshtë
👎🏽	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, poshtë
👎🏾	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, poshtë
👎🏿	-1, dorë, gisht i madh, gishti i madh poshtë, gishti i madh poshtë: nuancë lëkure e errët, nuancë lëkure e errët, poshtë
✊🏻	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure e çelët, grushtoj, i mbledhur, nuancë lëkure e çelët
✊🏼	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure gjysmë e çelët, grushtoj, i mbledhur, nuancë lëkure gjysmë e çelët
✊🏽	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure zeshkane, grushtoj, i mbledhur, nuancë lëkure zeshkane
✊🏾	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure gjysmë e errët, grushtoj, i mbledhur, nuancë lëkure gjysmë e errët
✊🏿	dorë, grusht, grusht i ngritur, grusht i ngritur: nuancë lëkure e errët, grushtoj, i mbledhur, nuancë lëkure e errët
👊🏻	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure e çelët, grushtoj, i mbledhur, nuancë lëkure e çelët
👊🏼	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure gjysmë e çelët, grushtoj, i mbledhur, nuancë lëkure gjysmë e çelët
👊🏽	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure zeshkane, grushtoj, i mbledhur, nuancë lëkure zeshkane
👊🏾	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure gjysmë e errët, grushtoj, i mbledhur, nuancë lëkure gjysmë e errët
👊🏿	dorë, grusht, grusht që vjen, grusht që vjen: nuancë lëkure e errët, grushtoj, i mbledhur, nuancë lëkure e errët
🤛🏻	grusht, grusht i majtë në anën e përparme, grusht i majtë në anën e përparme: nuancë lëkure e çelët, i majtë, nuancë lëkure e çelët
🤛🏼	grusht, grusht i majtë në anën e përparme, grusht i majtë në anën e përparme: nuancë lëkure gjysmë e çelët, i majtë, nuancë lëkure gjysmë e çelët
🤛🏽	grusht, grusht i majtë në anën e përparme, grusht i majtë në anën e përparme: nuancë lëkure zeshkane, i majtë, nuancë lëkure zeshkane
🤛🏾	grusht, grusht i majtë në anën e përparme, grusht i majtë në anën e përparme: nuancë lëkure gjysmë e errët, i majtë, nuancë lëkure gjysmë e errët
🤛🏿	grusht, grusht i majtë në anën e përparme, grusht i majtë në anën e përparme: nuancë lëkure e errët, i majtë, nuancë lëkure e errët
🤜🏻	grusht, grusht i djathtë në anën e përparme, grusht i djathtë në anën e përparme: nuancë lëkure e çelët, i djathtë, nuancë lëkure e çelët
🤜🏼	grusht, grusht i djathtë në anën e përparme, grusht i djathtë në anën e përparme: nuancë lëkure gjysmë e çelët, i djathtë, nuancë lëkure gjysmë e çelët
🤜🏽	grusht, grusht i djathtë në anën e përparme, grusht i djathtë në anën e përparme: nuancë lëkure zeshkane, i djathtë, nuancë lëkure zeshkane
🤜🏾	grusht, grusht i djathtë në anën e përparme, grusht i djathtë në anën e përparme: nuancë lëkure gjysmë e errët, i djathtë, nuancë lëkure gjysmë e errët
🤜🏿	grusht, grusht i djathtë në anën e përparme, grusht i djathtë në anën e përparme: nuancë lëkure e errët, i djathtë, nuancë lëkure e errët
🤚🏻	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure e çelët, i ngritur, kurriz dore, nuancë lëkure e çelët
🤚🏼	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure gjysmë e çelët, i ngritur, kurriz dore, nuancë lëkure gjysmë e çelët
🤚🏽	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure zeshkane, i ngritur, kurriz dore, nuancë lëkure zeshkane
🤚🏾	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure gjysmë e errët, i ngritur, kurriz dore, nuancë lëkure gjysmë e errët
🤚🏿	dorë e ngritur nga ana e kurrizit, dorë e ngritur nga ana e kurrizit: nuancë lëkure e errët, i ngritur, kurriz dore, nuancë lëkure e errët
👋🏻	dorë, dorë që tundet, dorë që tundet: nuancë lëkure e çelët, nuancë lëkure e çelët, që tundet, trup, tund
👋🏼	dorë, dorë që tundet, dorë që tundet: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, që tundet, trup, tund
👋🏽	dorë, dorë që tundet, dorë që tundet: nuancë lëkure zeshkane, nuancë lëkure zeshkane, që tundet, trup, tund
