🏻	ผิวโทน 1–2, โทนผิวสีขาว, โทนสีผิว
💱	การแลกเปลี่ยนเงิน, ธนาคาร, สกุลเงิน, เงิน, แลกเปลี่ยน
💲	สัญลักษณ์ดอลลาร์, เงิน
📧	การสื่อสาร, จดหมาย, อีเมล
📨	การสื่อสาร, จดหมาย, จดหมายเข้า
📩	การสื่อสาร, จดหมาย, จดหมายออก
📮	กล่องจดหมาย, ตู้ไปรษณีย์
📝	จดบันทึก, ดินสอ, บันทึก
💼	กระเป๋า, กระเป๋าเอกสาร, เอกสาร
📁	แฟ้มเอกสาร, โฟลเดอร์
📂	เปิดเอกสาร, แฟ้มเปิด
📅	ปฎิทิน, วันที่
📆	ปฎิทิน, ปฎิทินแบบฉีกออก
📇	ดัชนี, ที่ใส่บัตร, บัตร
📈	ขาขึ้น, แนวโน้มขึ้น
📉	ขาลง, แนวโน้มลง
📊	กราฟแท่ง, ชาร์ต
📌	หมุด, หมุดปัก
📍	หมุด, หมุดหัวกลม
📎	คลิป, คลิปหนีบกระดาษ
📏	ไม้บรรทัด, ไม้บรรทัดตรง
📐	ไม้บรรทัด, ไม้บรรทัดสามเหลี่ยม
🔏	ข้อมูลส่วนตัว, ล็อก
🔐	กุญแจ, ปลอดภัย, ปิด, ล็อก, ล็อกด้วยกุญแจ
🔑	กุญแจ, รหัสผ่าน, ล็อก
🔨	ค้อน, เครื่องมือ
🔫	ปืน, ปืนพก
🏹	ธนู, ธนูและลูกศร, ราศี, ลูกศร, อาวุธ
🔧	ประแจ, เครื่องมือ
🔩	สลักและน็อต, เครื่องมือ
🔗	ลิงก์, สัญลักษณ์การลิงก์
🧰	กล่องเครื่องมือ, ช่างกล, หีบ, เครื่องมือ, เครื่องมือช่าง
🧲	กีบม้า, ดึงดูด, ดูด, แม่เหล็ก
🧪	ทดลอง, นักเคมี, หลอดทดลอง, ห้องแลป, เคมี
🧫	จานเพาะเชื้อ, ชีววิทยา, นักชีววิทยา, ห้องแลป, เพาะเชื้อ, แบคทีเรีย
🧬	ชีวิต, ดีเอ็นเอ, นักชีววิทยา, ยีน, วิวัฒนาการ
🔬	กล้องจุลทรรศน์, เครื่องมือ
🔭	กล้องโทรทรรศน์, เครื่องมือ
📡	จาน, จานดาวเทียม, ดาวเทียม, เสาอากาศ
💉	กระบอกฉีดยา, ฉีดยา, เข็มฉีดยา
💊	ยา, ยาเม็ด, หมอ
🚪	ประตู
🚽	ห้องน้ำ, โถส้วม
🚿	น้ำ, ฝักบัว
🛁	อาบน้ำ, อ่าง, อ่างอาบน้ำ
🧴	ขวดโลชั่น, ครีมกันแดด, ครีมบำรุงผิว, แชมพู, โลชั่น
🧷	ผ้าอ้อม, พั้งค์ร็อค, เข็มกลัดซ่อนปลาย
🧹	กวาดบ้าน, ทำความสะอาด, แม่มด, ไม้กวาด
🧺	ซักผ้า, ตะกร้า, ตะกร้าผ้า, ปิกนิก
🧻	กระดาษชำระ, กระดาษม้วน, ทิชชู่ม้วน
🧼	จานวางสบู่, ทำความสะอาด, ล้างตัว, สบู่, สบู่ก้อน, อาบน้ำ
🧽	ดูดซึม, ทำความสะอาด, ฟองน้ำ, รูพรุน
🧯	ดับ, ดับเพลิง, ที่ดับเพลิง, ไฟไหม้
🛒	จ่าย, ช็อปปิ้ง, ซื้อ, ตะกร้า, รถเข็น
🚬	ป้ายสูบบุหรี่, สูบบุหรี่, สูบบุหรี่ได้
🗿	รูปปั้น, รูปปั้นโมไอ, หน้า, โมไอ
🏧	ธนาคาร, ฝาก-ถอน, อัตโนมัติ, เครื่องกดเงิน, เงิน, เอทีเอ็ม
🚮	ทิ้งขยะให้ลงถัง, ป้ายถังขยะ
🚰	ก๊อก, น้ำดื่ม
🚻	สุขภัณฑ์, ห้องน้ำ
🚾	ป้ายห้องน้ำ, ห้องน้ำ
🛂	ตรวจพาสปอร์ต, พาสปอร์ต
🛃	ภาษี, ศุลกากร
🛄	กระเป๋าเดินทาง, รับสัมภาระ
🛅	กระเป๋า, บริการฝากกระเป๋า, รับฝาก, ล็อกเกอร์
🚸	เด็กๆ ข้ามถนน, โรงเรียน
🚫	ป้ายหวงห้าม, ห้ามเข้า
🚳	จราจร, จักรยาน, ทางเท้า, ห้าม, ห้ามจักรยาน
🚯	ป้ายห้ามทิ้งขยะ, ห้ามทิ้งขยะ
🚱	ดื่ม, น้ำ, ห้าม, ห้ามดื่มน้ำ
🚷	คนเดินเท้า, ห้าม, ห้ามคนเดินเท้า, ห้ามเดิน, ไม่มีคนเดินเท้า
📵	มือถือ, ห้าม, ห้ามมือถือ, ห้ามโทรศัพท์, ห้ามใช้โทรศัพท์, โทรศัพท์
🔞	18, สิบแปด, ห้าม, ห้ามอายุต่ำกว่า 18 ปี, อายุ, อายุไม่ถึง
🔃	ซ้ำ, ตามเข็มนาฬิกา, ลูกศร, สัญลักษณ์โหลดซ้ำ, โหลด
🔄	ทวนเข็มนาฬิกา, ลูกศร, ลูกศรทวนเข็มนาฬิกา
🔙	กลับ, ลูกศร, ลูกศรกลับ
🔚	ลูกศร, ลูกศรสิ้นสุด, สิ้นสุด
🔛	ลูกศร, เปิด
🔜	ลูกศร, สัญลักษณ์เร็วๆ นี้
🔝	ลูกศร, สัญลักษณ์บน
🛐	ที่บูชา, บูชา, ศาสนา, สักการะ
🕎	ศาสนา, เชิงเทียน, เชิงเทียน 7 กิ่ง, เทียน
🔯	ดาว, ดาว 6 แฉก
⛎	กลุ่มดาวคนแบกงู, จักรราศี
🔀	ลูกศร, ลูกศรไขว้, ไขว้
🔁	ซ้ำ, ตามเข็มนาฬิกา, ลูกศร, ลูกศรตามเข็มนาฬิกา, เล่นซ้ำ
🔂	ครั้งเดียว, ทวนเข็มนาฬิกา, ลูกศร, ลูกศรตามเข็มนาฬิกาพร้อมเลข 1, เล่นซ้ำเพลงเดียว
▶	ขวา, ลูกศร, สามเหลี่ยม, เล่น
⏩	2 เท่า, ลูกศร, เร็ว, เร่งไปข้างหน้า
⏭	ฉาก, ถัดไป, ลูกศร, สามเหลี่ยม, เล่นแทร็กถัดไป, แทร็ก
⏯	ขวา, ลูกศร, สามเหลี่ยม, หยุดชั่วคราว, เล่น, เล่นหรือหยุดชั่วคราว
◀	ซ้าย, ย้อนกลับ, ลูกศร, สามเหลี่ยม
⏪	กรอกลับ, ขวา, ถอยกลับ, ลูกศร, สามเหลี่ยม
⏮	ก่อนหน้า, ฉาก, ปุ่มแทร็กก่อนหน้า, ลูกศร, สามเหลี่ยม, แทร็ก
🔼	ปุ่ม, ปุ่มสามเหลี่ยมขึ้น, ลูกศร, สีแดง
⏫	ปุุ่ม, ลูกศร, ลูกศรขึ้น
🔽	ปุุ่ม, ปุ่มสามเหลี่ยมลง, ลง, ลูกศร, สีแดง
⏬	ปุ่ม, ลง, ลูกศร, ลูกศรลง
🎦	หนัง, โรงภาพยนตร์, โรงหนัง
🔅	ความสว่าง, แสงสว่างน้อย
🔆	ความสว่าง, แสงสว่างมาก
📶	มือถือ, สัญญาณ, สัญญาณมือถือ, โทรศัพท์
📳	โทรศัพท์มือถือ, โหมดสั่น
📴	ปิด, ปิดมือถือ, มือถือ, โทรศัพท์
⚜	ดอกลิลลี่, ดอกไม้, ดอกไอริส, ลิลลี่, สัญลักษณ์ดอกลิลลี่
🔱	ฉมวก, ตรา, สมอ, สามง่าม, เครื่องมือ, เรือ
📛	ชื่อ, ป้าย, ป้ายชื่อ
🔰	บั้ง, สัญลักษณ์มือใหม่หัดขับ, เขียว, เครื่องมือ, เหลือง, ใบไม้
✅	ช่องเขียวมีเครื่องหมายถูก, เครื่องหมายถูก, เครื่องหมายถูกสีขาวแบบหนา, เช็ค
❌	คูณ, ยกเลิก, เครื่องหมาย, เครื่องหมายกากบาท
❎	กากบาท, ปุ่มเครื่องหมายกากบาท, สี่เหลี่ยม, เครื่องหมาย
➕	บวก, เครื่องหมายบวก
➖	ลบ, เครื่องหมายลบ
➗	หาร, เครื่องหมายหาร
➰	วง, ห่วง
➿	ห่วง, ห่วง 2 รู, เส้นโค้ง
❔	คำถาม, เครื่องหมายคำถามสีขาว, เครื่่องหมาย
❕	ตกใจ, อัศเจรีย์, เครื่องหมาย, เครื่องหมายอัศเจรีย์สีขาว
💯	100 คะแนน, คะแนนเต็ม
🔠	ภาษาอังกฤษ, อักษรตัวพิมพ์ใหญ่, อักษรตัวใหญ่
🔡	ภาษาอังกฤษ, อักษรตัวพิมพ์เล็ก, อักษรตัวเล็ก
🔢	1234, ตัวเลข, หมายเลข
🔣	สัญลักษณ์, เครื่องหมาย
🔤	ตัวอักษร, ตัวอักษรภาษาอังกฤษ, อักษรละติน, เอบีซี
🆎	กรุ๊ปเลือด, กรุ๊ปเลือดเอบี, กรุ๊ปเอบี, เลือดกรุ๊ปเอบี
🆑	ลบข้อมูล, สัญลักษณ์ลบ
🆒	สัญลักษณ์ความเย็น, เย็น
🆓	ฟรี, สัญลักษณ์ฟรี, ไม่มีค่าใช้จ่าย
🆔	รหัสประจำตัว, สัญลักษณ์หมายเลขประจำตัว, หมายเลขประจำตัว
🆕	สัญลักษณ์ใหม่, ใหม่
🆖	ปุ่มเอ็นจี, เอ็นจี
🆗	ตกลง, สัญลักษณ์โอเค, โอเค
🆘	ขอความช่วยเหลือ, ช่วยด้วย, สัญลักษณ์ขอความช่วยเหลือ
🆙	ขึ้น, สัญลักษณ์ขึ้น
🆚	ต่อสู้กับ, สัญลักษณ์ต่อสู้กับ
🈁	คะตะกะนะ, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “ที่นี่”, ภาษาญี่ปุ่นอยู่ที่นี่, “ที่นี่”
🈷	ตัวอักษรจีน, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “จำนวนต่อเดือน”, ภาษาญี่ปุ่นพระจันทร์, “จำนวนต่อเดือน”
🈶	ตัวอักษรจีน, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “คิดค่าใช้จ่าย”, ภาษาญี่ปุ่นมี, “คิดค่าใช้จ่าย”
🈯	ตัวอักษรจีน, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “จองแล้ว”, ภาษาญี่ปุ่นชี้นิ้ว, “จองแล้ว”
🉐	ตัวอักษรจีน, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “ราคาถูก”, ภาษาญี่ปุ่นประโยชน์, “ราคาถูก”
🈹	ตัวอักษรจีน, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “ส่วนลด”, ภาษาญี่ปุ่นหาร, “ส่วนลด”
🈚	ตัวอักษรจีน, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “ไม่มี”, ภาษาญี่ปุ่นไม่มี, “ไม่มี”
🈲	ตัวอักษรจีน, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “ห้าม”, ภาษาญี่ปุ่นห้าม, “ห้าม”
🉑	ตัวอักษรจีน, ภาษาจีนยอมรับ, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “ยอมรับได้”, “ยอมรับได้”
🈸	ตัวอักษรจีน, ภาษาจีนใช้, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “ใบสมัคร”, “ใบสมัคร”
🈴	ตัวอักษรจีน, ภาษาจีนด้วยกัน, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “ผ่าน”, “ผ่าน”
🈳	ตัวอักษรจีน, ภาษาจีนว่างเปล่า, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “ว่าง”, “ว่าง”
🈺	ตัวอักษรจีน, ภาษาจีนเปิดทำการ, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “เปิดทำการ”, “เปิดทำการ”
🈵	ตัวอักษรจีน, ภาษาจีนสมบูรณ์, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “เต็ม”, “เต็ม”
🔴	วงกลม, วงกลมสีแดง, แดง
🔵	น้ำเงิน, วงกลม, วงกลมสีน้ำเงิน
🔶	สี่เหลี่ยม, เพชรใหญ่สีส้ม, เรขาคณิต
🔷	สี่เหลี่ยม, เพชรใหญ่สีน้ำเงิน, เรขาคณิต
🔸	สีส้ม, เพชร, เพชรเล็กสีส้ม, เรขาคณิต
🔹	สีน้ำเงิน, เพชร, เพชรเล็กสีน้ำเงิน, เรขาคณิต
🔺	สามเหลี่ยมหงายสีแดง, สีแดง, หงายขึ้น, เรขาคณิต
🔻	คว่ำลง, สามเหลี่ยมคว่ำสีแดง, สีแดง, เรขาคณิต
💠	ข้าวหลามตัด, ข้าวหลามตัดมีจุดตรงกลาง, เพชร, เรขาคณิต
🔘	ปุุ่ม, ปุ่มวิทยุ, วิทยุ
🔲	ปุ่ม, ปุ่มสี่เหลี่ยมขอบดำ, ปุ่มสี่เหลี่ยมสีดำ, สี่เหลี่ยม
🔳	ปุ่ม, ปุ่มสี่เหลี่ยมขอบขาว, ปุ่มสี่เหลี่ยมสีขาว, สี่เหลี่ยม
🏁	ธงตราหมากรุก, ธงหมากรุก, ธงแข่งรถ, แข่งรถ
🚩	ธง, ธงปักตำแหน่ง, ธงสามเหลี่ยม, ธงแดง
🎌	ธง, ธงไขว้
🏴	ธง, ธงดำ
🏳‍🌈	ธง, ธงสีรุ้ง, สายรุ้ง
🏴‍☠	ขุมทรัพย์, จอลลีโรเจอร์, ธงโจรสลัด, ปล้น, โจรสลัด
©️	ลิขสิทธิ์, สัญลักษณ์ลิขสิทธิ์
®️	จดทะเบียน, สัญลักษณ์จดทะเบียน
‼️	ตกใจ, อัศเจรีย์, เครื่องหมาย, เครื่องหมายอัศเจรีย์คู่
⁉️	ตกใจ, อัศเจรีย์, เครื่องหมาย, เครื่องหมายอัศเจรีย์และคำถาม
™️	ป้ายเครื่องหมายการค้า, เครื่องหมายการค้า
ℹ️	ข้อมูล, ที่มา, แหล่ง, แหล่งข้อมูล
↔️	ขวา, ซ้าย, ลูกศร, ลูกศรชี้ซ้ายขวา
↕️	ขี้น, ลง, ลูกศร, ลูกศรชี้ขึ้นลง
↖️	ตะวันตกเฉียงเหนือ, ทิศทาง, ลูกศร, ลูกศรชี้มุมซ้ายบน
↗️	ตะวันออกเฉียงเหนือ, ทิศทาง, ลูกศรชี้มุมขวาบน, ลููกศร
↘️	ตะวันออกเฉียงใต้, ทิศทาง, ลูกศร, ลูกศรชี้มุมขวาล่าง
↙️	ตะวันตกเฉียงใต้, ทิศทาง, ลูกศร, ลูกศรชี้มุุมซ้ายล่าง
↩️	ซ้าย, ลูกศร, ลูกศรวนซ้าย, วน
↪️	ขวา, ลูกศร, ลูกศรวนขวา, วน
⌚️	นาฬิกา, นาฬิกาข้อมือ
⌛️	ทราย, นาฬิกาทราย
⌨️	คอมพิวเตอร์, แป้นพิมพ์
⏏️	ดีดออก, ปฏิเสธ, ปุ่ม, ปุ่มดีดออก, อีเจ็กต์
⏱️	นาฬิกา, นาฬิกาจับเวลา
⏲️	จับเวลา, นับถอยหลัง, นาฬิกา, นาฬิกานับถอยหลัง
⏳️	นาฬิกาทราย, นาฬิกาทรายจับเวลา
⏸️	ปุ่ม, ปุ่มหยุุดชั่วคราว, หยุดชั่วคราว, แนวตั้ง
⏹️	ปุ่มหยุด, สี่เหลี่ยม, หยุด
⏺️	ปุ่มบันทึก, ปุ่มอัด, วงกลม, อัด
Ⓜ️	ตัวเอ็ม, ตัวเอ็มในวงกลม, วงกลม
▪️	สี่เหลี่ยม, สี่เหลี่ยมเล็กสีดำ, เรขาคณิต
▫️	สี่เหลี่ยม, สี่เหลี่ยมเล็กสีขาว, เรขาคณิต
◻️	สี่เหลี่ยม, สี่เหลี่ยมขนาดกลางสีขาว, เรขาคณิต
◼️	สี่เหลี่ยม, สี่เหลี่ยมขนาดกลางสีดำ, เรขาคณิต
◽️	สี่เหลี่ยม, สี่เหลี่ยมเล็กปานกลางสีขาว, เรขาคณิต
◾️	สี่เหลี่ยม, สี่เหลี่ยมเล็กปานกลางสีดำ, เรขาคณิต
☀️	พระอาทิตย์, สว่าง, อากาศ, แสงแดด
☁️	สภาพอากาศ, เมฆ, เมฆดำ
☂️	ฝน, ร่ม, สภาพอากาศ
☃️	สภาพอากาศ, สโนว์แมนและหิมะ, หนาว, หิมะ
☄️	ดาวหาง, อวกาศ
☎️	โทรศัพท์
☑️	ช่อง, ช่องดำมีเครื่องหมายถูก, ช่องลงคะแนนมีเครื่องหมายถูก, ถูก, เครื่องหมาย, เลือก
☔️	ฝน, ร่ม, ร่มและหยดน้ำฝน, สภาพอากาศ
☕️	กาแฟ, ชา, ร้อน, เครื่องดื่ม, เครื่องดื่มร้อน
☘️	พืช, ใบโคลเวอร์
☝️	ขึ้น, ชี้, นิ้ว, นิ้วชี้ขึ้น, มือ
☠️	กะโหลก, กะโหลกไขว้, ความตาย, ปิศาจ, อันตราย
☢️	กัมมันตภาพรังสี, กัมมันตรังสี, พิษ, สารเคมี
☣️	อันตราย, เชื้อโรค, เชื้อโรคอันตราย
☦️	คริสต์, ศาสนา, ไม้กางเขน, ไม้กางเขนออร์โธดอกซ์
☪️	พระจันทร์เสี้ยวและดาว, มุสลิม, ศาสนา, อิสลาม
☮️	สันติ, สันติภาพ, สันติสุข, เครื่องหมายสันติภาพ
☯️	ลัทธิ, หยินหยาง, เต๋า
☸️	จักร, ธรรมจักร, ธรรมะ, พุทธ, ศาสนา
☹️	บึ้ง, หน้า, หน้าบึ้ง
☺️	ยิ้ม, หน้า, หน้ายิ้ม
♀️	ผู้หญิง, สัญลักษณ์เพศหญิง
♂️	ผู้ชาย, สัญลักษณ์เพศชาย
♈️	จักรราศี, ราศีเมษ
♉️	จักรราศี, ราศีพฤษภ
♊️	จักรราศี, ราศีเมถุน
♋️	จักรราศี, ราศีกรกฎ
♌️	จักรราศี, ราศีสิงห์
♍️	จักรราศี, ราศีกันย์
♎️	จักรราศี, ราศีตุลย์
♏️	จักรราศี, ราศีพิจิก
♐️	จักรราศี, ราศีธนู
♑️	จักรราศี, ราศีมังกร
♒️	จักรราศี, ราศีกุมภ์
♓️	จักรราศี, ราศีมีน
♟️	หมากรุก, เกม, เบี้ย
♠️	เกม, โพดำ, ไพ่
♣️	ดอกจิก, เกม, ไพ่
♥️	หัวใจ, เกม, ไพ่
♦️	ข้าวหลามตัด, เกม, ไพ่
♨️	น้ำพุ, น้ำพุร้อน, ไอน้ำ
♻️	การรีไซเคิล, ป้ายรีไซเคิล, สัญลักษณ์รีไซเคิล
♾️	ตลอดกาล, ตลอดไป, ไม่มีขอบเขต, ไม่มีที่สิ้นสุด
♿️	คนพิการ, รถเข็นผู้ป่วย
⚒️	ค้อน, ค้อนและจอบ, จอบ, เครื่องมือ
⚓️	สมอ, สมอเรือ, เครื่องมือ, เรือ
⚔️	ดาบไขว้, ดาว, อาวุธ, ไขว้
⚕️	การแพทย์, คทางูไขว้, เครื่องหมายการแพทย์, แอสคูลาปิอุส, ไม้เท้า
⚖️	ตราชั่ง, ตุลย์, น้ำหนัก, ยุติธรรม, ราศี, สมดุล, เครื่องมือ
⚗️	วิทยาศาสตร์, สารเคมี, อุปกรณ์กลั่น, เครื่องมือ
⚙️	เครื่องมือ, เฟือง
⚛️	อะตอม, อเทวนิยม
⚠️	ป้ายระวัง, ระวัง
⚡️	สัญลักษณ์ไฟฟ้าแรงสูง, ไฟฟ้าแรงสูง
⚪️	วงกลม, วงกลมสีขาว, สีขาว
⚫️	วงกลม, วงกลมสีดำ, สีดำ
⚰️	ความตาย, โลงศพ
⚱️	กระดูก, ความตาย, งานศพ, โกศ, โกศกระดูก
⚽️	ฟุตบอล, ลูกฟุตบอล
⚾️	บอล, เบสบอล
⛄️	สภาพอากาศ, สโนว์แมน, หนาว, หิมะ
⛅️	ดวงอาทิตย์, ดวงอาทิตย์หลังเมฆ
⛈️	ฝน, ฝนฟ้าคะนอง, ฟ้าร้อง, สภาพอากาศ, เมฆ
⛏️	จอบ, เครื่องมือ, เหมือง
⛑️	กากบาท, ปลอดภัย, หมวกนิรภัย, หมวกนิรภัยมีกากบาทขาว
⛓️	โซ่
⛔️	ป้ายห้ามเข้า, หวงห้าม
⛩️	ชินโต, ลัทธิ, ศาลเจ้า, ศาลเจ้าชินโต
⛪️	คริสต์, ศาสนสถาน, ศาสนา, โบสถ์, ไม้กางเขน
⛰️	ภูเขา
⛱️	ฝน, พระอาทิตย์, ร่ม, ร่มปักดิน, สภาพอากาศ
⛲️	น้ำพุ
⛳️	กอล์ฟ, ธงในหลุม
⛴️	เรือ, เรือเฟอร์รี
⛵️	ทะเล, เรือ, เรือใบ
⛷️	นักสกี, สกี, หิมะ
⛸️	น้ำแข็ง, สเก็ต, สเก็ตน้ำแข็ง
⛹️	คนเล่นบอล, บอล
⛺️	ตั้งแคมป์, เต็นท์
⛽️	น้ำมัน, ปั๊มน้ำมัน
✂️	กรรไกร, เครื่องมือ
✈️	ยานพาหนะ, เครื่องบิน
✉️	จดหมาย, ซองจดหมาย, อีเมล
✌️	ชู 2 นิ้ว, ชูสองนิ้ว
✍️	มือ, อวัยวะ, เขียน, เขียนหนังสือ
✏️	ดินสอ
✒️	ปลายปากกา, ปลายปากกาสีดำ, ปากกา, สีดำ
✔️	ถูก, เครื่องหมาย, เครื่องหมายถูกแบบหนา, เลือก
✖️	คูณ, ยกเลิก, เครื่องหมาย, เครื่องหมายคูณ
✝️	คริสต์, ศาสนา, ไม้กางเขน, ไม้กางเขนละติน
✡️	ดาว, ดาวิด, ยิว, ยูดาย, ศาสนา, สตาร์ออฟเดวิด
✳️	ดอกจัน, เครื่องหมายดอกจัน
✴️	ดาว, ดาว 8 แฉก
❄️	สภาพอากาศ, หนาว, หิมะ, เกล็ดหิมะ
❇️	ประกาย, เปล่งประกาย
❓️	คำถาม, เครื่องหมายคำถาม, เครื่่องหมาย
❗️	ตกใจ, อัศเจรีย์, เครื่องหมาย, เครื่องหมายอัศเจรีย์
❣️	ตกใจ, หัวใจ, เครื่องหมายวรรคตอน, เครื่องหมายอัศเจรีย์รูปหัวใจ
❤️	หัวใจ, หัวใจสีแดง, หัวใจแดง
➡️	ตะวันออก, ทิศทาง, ลูกศร, ลูกศรชี้ไปทางขวา
⤴️	ขี้น, ลูกศร, ลูกศรโค้งขึ้น
⤵️	ลง, ลูกศร, ลูกศรโค้งลง
⬅️	ตะวันตก, ทิศทาง, ลูกศร, ลูกศรชี้ไปทางซ้าย
⬆️	ทิศทาง, ลูกศร, ลูกศรชี้ขึ้น, เหนือ
⬇️	ทิศทาง, ลง, ลูกศร, ลูกศรชี้ลง, ใต้
⬛️	สี่เหลี่ยม, สี่เหลี่ยมใหญ่สีดำ, เรขาคณิต
⬜️	สี่เหลี่ยม, สี่เหลี่ยมใหญ่สีขาว, เรขาคณิต
⭐️	ดวงดาว, ดาวสีขาวขนาดกลาง
⭕️	วงกลม, วงกลมใหญ่
〰️	คลื่น, เครื่องหมาย, เส้น, เส้นคลื่น
〽️	ท่อน, เครื่องหมาย, เครื่องหมายเปลี่ยนท่อน
㊗️	ตัวอักษรจีน, ภาษาจีนแสดงความยินดี, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “แสดงความยินดี”, “แสดงความยินดี”
㊙️	ตัวอักษรจีน, ภาษาจีนความลับ, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “ความลับ”, “ความลับ”
🀄️	นกกระจอก, เกม, เล่น, ไพ่, ไพ่นกกระจอกมังกรแดง
🅰️	กรุ๊ปเลือด, กรุ๊ปเอ, เลือดกรุ๊ปเอ
🅱️	กรุ๊ปบี, กรุ๊ปเลือด, เลือดกรุ๊ปบี
🅾️	กรุ๊ปเลือด, กรุ๊ปโอ, เลือดกรุ๊ปโอ
🅿️	จอดรถ, ที่จอดรถ
🈂️	คะตะกะนะ, ภาษาญี่ปุ่น, ภาษาญี่ปุ่นคำว่า “ค่าบริการ”, ภาษาญี่ปุ่นคำว่าซะ, “ค่าบริการ”
🌎️	ลูกโลก, ลูกโลกแสดงทวีปอเมริกา, อเมริกา
🌕️	พระจันทร์, พระจันทร์เต็มดวง, เต็มดวง
🌜️	หน้าพระจันทร์, หน้าพระจันทร์เสี้ยวซ้าย
🌡️	อุณหภูมิ, เครื่องวัด, เครื่องวัดอุณหภูมิ
🌤️	พระอาทิตย์, สภาพอากาศ, เมฆ, เมฆน้อยบดบังพระอาทิตย์
🌥️	พระอาทิตย์, สภาพอากาศ, เมฆ, เมฆก้อนใหญ่บังพระอาทิตย์
🌦️	ฝน, พระอาทิตย์, สภาพอากาศ, เมฆ, เมฆฝนบดบังพระอาทิตย์
🌧️	ฝน, สภาพอากาศ, เมฆ, เมฆฝน
🌨️	สภาพอากาศ, หิมะ, เมฆ, เมฆและหิมะ
🌩️	ฟ้าแลบ, สภาพอากาศ, เมฆ, เมฆและฟ้าแลบ
🌪️	พายุทอร์นาโด, พายุหมุน, อากาศ, เมฆ
🌫️	สภาพอากาศ, หมอก, เมฆ
🌬️	พ่นลม, ลมพัด, สภาพอากาศ, เมฆ
🌶️	พริก, พืช, เผ็ด
🍸️	ค็อกเทล, แก้วค็อกเทล
🍽️	จาน, จานพร้อมส้อมและมีด, ทำอาหาร, มีด, ส้อม
🎓️	รับปริญญา, หมวก, หมวกรับปริญญา
🎖️	กองทัพ, ยกย่อง, เหรียญ, เหรียญกล้าหาญ
🎗️	รณรงค์, รำลึก, ริบบิ้น, ริบบิ้นรำลึก
🎙️	สตูดิโอ, เพลง, ไมค์, ไมค์สตูดิโอ, ไมโครโฟน
🎚️	ที่ปรับ, ที่ปรับระดับเสียง, ระดับ, เพลง, เสียง
🎛️	ควบคุม, ปรับ, ปุ่ม, ปุ่มควบคุมเสียง, เพลง, เสียง
🎞️	ภาพยนตร์, หนัง, เฟรม, เฟรมภาพยนตร์
🎟️	ตั๋ว, ตั๋วเข้าชม, เข้าชมงาน
🎧️	หูฟัง, เฮดโฟน
🎬️	ถ่ายหนัง, สเลท
🎭️	ศาสตร์การแสดง, หน้ากาก
🎮️	จอยสติ๊ก, วิดีโอเกม, เกม
🏂️	นักสโนว์บอร์ด, สกี, สโนว์บอร์ด, หิมะ
🏄️	นักโต้คลื่น, โต้คลื่น
🏆️	ถ้วยรางวัล, รางวัล
🏊️	กีฬา, นักว่ายน้ำ, ว่ายน้ำ
🏋️	ดัมเบล, นักยกน้ำหนัก, ยกน้ำหนัก
🏌️	กอล์ฟ, นักกอล์ฟ, ลูกกอล์ฟ
🏍️	มอเตอร์ไซค์, แข่ง
🏎️	รถ, รถแข่ง, แข่ง
🏔️	ภูเขา, ภูเขามีหิมะ, หนาว, หิมะ
🏕️	ตั้งแคมป์, เต็นท์, แคมป์
🏖️	ชายหาด, ร่ม, ร่มชายหาด
🏗️	ก่อสร้าง, ก่อสร้างอาคาร, อาคาร
🏘️	บ้าน, บ้านหลายหลัง
🏙️	ตึกสูง, หมู่ตึกสูง, เมือง
🏚️	บ้าน, บ้านร้าง, รกร้าง
🏛️	คลาสสิก, อาคาร, อาคารสไตล์คลาสสิก
🏜️	ทะเลทราย
🏝️	เกาะ, เกาะร้าง
🏞️	อุทยาน, อุทยานแห่งชาติ
🏟️	สนามกีฬา, อัฒจันทร์
🏠️	บ้าน, บ้านเดี่ยว
🏭️	สิ่งปลูกสร้าง, โรงงาน
🏳️	ธง, ธงขาว
🏵️	ดอกไม้, ลายดอกกุหลาบ
🏷️	ป้าย
🐈️	สัตว์, แมว
🐕️	สัตว์, สุนัข
🐟️	ปลา, ราศี, ราศีมีน
🐦️	นก, สัตว์
🐿️	กระรอก, ชิปมังก์
👁️	ตา, ตาข้างเดียว, อวัยวะ
👂️	ฟัง, หู, อวัยวะ
