🦵🏻	άκρο, ανοιχτόχρωμος τόνος δέρματος, κλωτσιά, πόδι, πόδι: ανοιχτόχρωμος τόνος δέρματος
💁🏿‍♂	άντρας, άντρας προσφέρει, άντρας προσφέρει: σκούρος τόνος δέρματος, πρόσχαρος, σκούρος τόνος δέρματος, χειρονομία
💁🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα προσφέρει, γυναίκα προσφέρει: ανοιχτόχρωμος τόνος δέρματος, πρόσχαρη, χειρονομία
💁🏼‍♀	γυναίκα, γυναίκα προσφέρει, γυναίκα προσφέρει: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πρόσχαρη, χειρονομία
💁🏽‍♀	γυναίκα, γυναίκα προσφέρει, γυναίκα προσφέρει: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, πρόσχαρη, χειρονομία
💁🏾‍♀	γυναίκα, γυναίκα προσφέρει, γυναίκα προσφέρει: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, πρόσχαρη, χειρονομία
💁🏿‍♀	γυναίκα, γυναίκα προσφέρει, γυναίκα προσφέρει: σκούρος τόνος δέρματος, πρόσχαρη, σκούρος τόνος δέρματος, χειρονομία
🙋🏻	άτομο με σηκωμένο χέρι, άτομο με σηκωμένο χέρι: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, κίνηση, σηκωμένο, χέρι, χαρούμενος
🙋🏼	άτομο με σηκωμένο χέρι, άτομο με σηκωμένο χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κίνηση, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σηκωμένο, χέρι, χαρούμενος
🙋🏽	άτομο με σηκωμένο χέρι, άτομο με σηκωμένο χέρι: μεσαίος τόνος δέρματος, κίνηση, μεσαίος τόνος δέρματος, σηκωμένο, χέρι, χαρούμενος
🙋🏾	άτομο με σηκωμένο χέρι, άτομο με σηκωμένο χέρι: μεσαίος-σκούρος τόνος δέρματος, κίνηση, μεσαίος-σκούρος τόνος δέρματος, σηκωμένο, χέρι, χαρούμενος
🙋🏿	άτομο με σηκωμένο χέρι, άτομο με σηκωμένο χέρι: σκούρος τόνος δέρματος, κίνηση, σηκωμένο, σκούρος τόνος δέρματος, χέρι, χαρούμενος
🙋🏻‍♂	άντρας, άντρας με σηκωμένο χέρι, άντρας με σηκωμένο χέρι: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, χαιρετισμός, χειρονομία
🙋🏼‍♂	άντρας, άντρας με σηκωμένο χέρι, άντρας με σηκωμένο χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χαιρετισμός, χειρονομία
🙋🏽‍♂	άντρας, άντρας με σηκωμένο χέρι, άντρας με σηκωμένο χέρι: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, χαιρετισμός, χειρονομία
🙋🏾‍♂	άντρας, άντρας με σηκωμένο χέρι, άντρας με σηκωμένο χέρι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, χαιρετισμός, χειρονομία
🙋🏿‍♂	άντρας, άντρας με σηκωμένο χέρι, άντρας με σηκωμένο χέρι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, χαιρετισμός, χειρονομία
🙋🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα με σηκωμένο χέρι, γυναίκα με σηκωμένο χέρι: ανοιχτόχρωμος τόνος δέρματος, χαιρετισμός, χειρονομία
🙋🏼‍♀	γυναίκα, γυναίκα με σηκωμένο χέρι, γυναίκα με σηκωμένο χέρι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χαιρετισμός, χειρονομία
🙋🏽‍♀	γυναίκα, γυναίκα με σηκωμένο χέρι, γυναίκα με σηκωμένο χέρι: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, χαιρετισμός, χειρονομία
🙋🏾‍♀	γυναίκα, γυναίκα με σηκωμένο χέρι, γυναίκα με σηκωμένο χέρι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, χαιρετισμός, χειρονομία
🙋🏿‍♀	γυναίκα, γυναίκα με σηκωμένο χέρι, γυναίκα με σηκωμένο χέρι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, χαιρετισμός, χειρονομία
🙇🏻	άτομο υποκλίνεται, άτομο υποκλίνεται: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, κίνηση, λυπάμαι, συγνώμη, υπόκλιση
🙇🏼	άτομο υποκλίνεται, άτομο υποκλίνεται: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κίνηση, λυπάμαι, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, συγνώμη, υπόκλιση
🙇🏽	άτομο υποκλίνεται, άτομο υποκλίνεται: μεσαίος τόνος δέρματος, κίνηση, λυπάμαι, μεσαίος τόνος δέρματος, συγνώμη, υπόκλιση
🙇🏾	άτομο υποκλίνεται, άτομο υποκλίνεται: μεσαίος-σκούρος τόνος δέρματος, κίνηση, λυπάμαι, μεσαίος-σκούρος τόνος δέρματος, συγνώμη, υπόκλιση
🙇🏿	άτομο υποκλίνεται, άτομο υποκλίνεται: σκούρος τόνος δέρματος, κίνηση, λυπάμαι, σκούρος τόνος δέρματος, συγνώμη, υπόκλιση
🙇🏻‍♂	άντρας, άντρας υποκλίνεται, άντρας υποκλίνεται: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, συγγνώμη, υπόκλιση, χειρονομία
🙇🏼‍♂	άντρας, άντρας υποκλίνεται, άντρας υποκλίνεται: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, συγγνώμη, υπόκλιση, χειρονομία
🙇🏽‍♂	άντρας, άντρας υποκλίνεται, άντρας υποκλίνεται: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, συγγνώμη, υπόκλιση, χειρονομία
🙇🏾‍♂	άντρας, άντρας υποκλίνεται, άντρας υποκλίνεται: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, συγγνώμη, υπόκλιση, χειρονομία
🙇🏿‍♂	άντρας, άντρας υποκλίνεται, άντρας υποκλίνεται: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, συγγνώμη, υπόκλιση, χειρονομία
🙇🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα υποκλίνεται, γυναίκα υποκλίνεται: ανοιχτόχρωμος τόνος δέρματος, συγγνώμη, υπόκλιση, χειρονομία
🙇🏼‍♀	γυναίκα, γυναίκα υποκλίνεται, γυναίκα υποκλίνεται: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, συγγνώμη, υπόκλιση, χειρονομία
🙇🏽‍♀	γυναίκα, γυναίκα υποκλίνεται, γυναίκα υποκλίνεται: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, συγγνώμη, υπόκλιση, χειρονομία
🙇🏾‍♀	γυναίκα, γυναίκα υποκλίνεται, γυναίκα υποκλίνεται: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, συγγνώμη, υπόκλιση, χειρονομία
🙇🏿‍♀	γυναίκα, γυναίκα υποκλίνεται, γυναίκα υποκλίνεται: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, συγγνώμη, υπόκλιση, χειρονομία
🤦🏻	άτομο αγανακτά, άτομο αγανακτά: ανοιχτόχρωμος τόνος δέρματος, αγανάκτηση, ανοιχτόχρωμος τόνος δέρματος, δυσπιστία, παλάμη, πρόσωπο
🤦🏼	άτομο αγανακτά, άτομο αγανακτά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, αγανάκτηση, δυσπιστία, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, παλάμη, πρόσωπο
🤦🏽	άτομο αγανακτά, άτομο αγανακτά: μεσαίος τόνος δέρματος, αγανάκτηση, δυσπιστία, μεσαίος τόνος δέρματος, παλάμη, πρόσωπο
🤦🏾	άτομο αγανακτά, άτομο αγανακτά: μεσαίος-σκούρος τόνος δέρματος, αγανάκτηση, δυσπιστία, μεσαίος-σκούρος τόνος δέρματος, παλάμη, πρόσωπο
🤦🏿	άτομο αγανακτά, άτομο αγανακτά: σκούρος τόνος δέρματος, αγανάκτηση, δυσπιστία, παλάμη, πρόσωπο, σκούρος τόνος δέρματος
🤦🏻‍♂	άντρας, άντρας αγανακτά, άντρας αγανακτά: ανοιχτόχρωμος τόνος δέρματος, αγανάκτηση, ανοιχτόχρωμος τόνος δέρματος, πρόσωπο, χειρονομία
🤦🏼‍♂	άντρας, άντρας αγανακτά, άντρας αγανακτά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, αγανάκτηση, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πρόσωπο, χειρονομία
🤦🏽‍♂	άντρας, άντρας αγανακτά, άντρας αγανακτά: μεσαίος τόνος δέρματος, αγανάκτηση, μεσαίος τόνος δέρματος, πρόσωπο, χειρονομία
🤦🏾‍♂	άντρας, άντρας αγανακτά, άντρας αγανακτά: μεσαίος-σκούρος τόνος δέρματος, αγανάκτηση, μεσαίος-σκούρος τόνος δέρματος, πρόσωπο, χειρονομία
🤦🏿‍♂	άντρας, άντρας αγανακτά, άντρας αγανακτά: σκούρος τόνος δέρματος, αγανάκτηση, πρόσωπο, σκούρος τόνος δέρματος, χειρονομία
🤦🏻‍♀	αγανάκτηση, ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα αγανακτά, γυναίκα αγανακτά: ανοιχτόχρωμος τόνος δέρματος, πρόσωπο, χειρονομία
🤦🏼‍♀	αγανάκτηση, γυναίκα, γυναίκα αγανακτά, γυναίκα αγανακτά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πρόσωπο, χειρονομία
🤦🏽‍♀	αγανάκτηση, γυναίκα, γυναίκα αγανακτά, γυναίκα αγανακτά: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, πρόσωπο, χειρονομία
🤦🏾‍♀	αγανάκτηση, γυναίκα, γυναίκα αγανακτά, γυναίκα αγανακτά: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, πρόσωπο, χειρονομία
🤦🏿‍♀	αγανάκτηση, γυναίκα, γυναίκα αγανακτά, γυναίκα αγανακτά: σκούρος τόνος δέρματος, πρόσωπο, σκούρος τόνος δέρματος, χειρονομία
🤷🏻	άγνοια, άτομο σηκώνει τους ώμους, άτομο σηκώνει τους ώμους: ανοιχτόχρωμος τόνος δέρματος, αδιαφορία, αμφιβολία, ανασήκωμα ώμων, ανοιχτόχρωμος τόνος δέρματος
🤷🏼	άγνοια, άτομο σηκώνει τους ώμους, άτομο σηκώνει τους ώμους: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, αδιαφορία, αμφιβολία, ανασήκωμα ώμων, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
🤷🏽	άγνοια, άτομο σηκώνει τους ώμους, άτομο σηκώνει τους ώμους: μεσαίος τόνος δέρματος, αδιαφορία, αμφιβολία, ανασήκωμα ώμων, μεσαίος τόνος δέρματος
🤷🏾	άγνοια, άτομο σηκώνει τους ώμους, άτομο σηκώνει τους ώμους: μεσαίος-σκούρος τόνος δέρματος, αδιαφορία, αμφιβολία, ανασήκωμα ώμων, μεσαίος-σκούρος τόνος δέρματος
🤷🏿	άγνοια, άτομο σηκώνει τους ώμους, άτομο σηκώνει τους ώμους: σκούρος τόνος δέρματος, αδιαφορία, αμφιβολία, ανασήκωμα ώμων, σκούρος τόνος δέρματος
🤷🏻‍♂	άγνοια, άντρας, άντρας σηκώνει τους ώμους, άντρας σηκώνει τους ώμους: ανοιχτόχρωμος τόνος δέρματος, αμφιβολία, ανοιχτόχρωμος τόνος δέρματος, ώμοι
🤷🏼‍♂	άγνοια, άντρας, άντρας σηκώνει τους ώμους, άντρας σηκώνει τους ώμους: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, αμφιβολία, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ώμοι
🤷🏽‍♂	άγνοια, άντρας, άντρας σηκώνει τους ώμους, άντρας σηκώνει τους ώμους: μεσαίος τόνος δέρματος, αμφιβολία, μεσαίος τόνος δέρματος, ώμοι
🤷🏾‍♂	άγνοια, άντρας, άντρας σηκώνει τους ώμους, άντρας σηκώνει τους ώμους: μεσαίος-σκούρος τόνος δέρματος, αμφιβολία, μεσαίος-σκούρος τόνος δέρματος, ώμοι
🤷🏿‍♂	άγνοια, άντρας, άντρας σηκώνει τους ώμους, άντρας σηκώνει τους ώμους: σκούρος τόνος δέρματος, αμφιβολία, σκούρος τόνος δέρματος, ώμοι
🤷🏻‍♀	άγνοια, αμφιβολία, ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα σηκώνει τους ώμους, γυναίκα σηκώνει τους ώμους: ανοιχτόχρωμος τόνος δέρματος, ώμοι
🤷🏼‍♀	άγνοια, αμφιβολία, γυναίκα, γυναίκα σηκώνει τους ώμους, γυναίκα σηκώνει τους ώμους: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ώμοι
🤷🏽‍♀	άγνοια, αμφιβολία, γυναίκα, γυναίκα σηκώνει τους ώμους, γυναίκα σηκώνει τους ώμους: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ώμοι
🤷🏾‍♀	άγνοια, αμφιβολία, γυναίκα, γυναίκα σηκώνει τους ώμους, γυναίκα σηκώνει τους ώμους: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ώμοι
🤷🏿‍♀	άγνοια, αμφιβολία, γυναίκα, γυναίκα σηκώνει τους ώμους, γυναίκα σηκώνει τους ώμους: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, ώμοι
💆🏻	ανοιχτόχρωμος τόνος δέρματος, κομμωτήριο, μασάζ, μασάζ στο κεφάλι, μασάζ στο κεφάλι: ανοιχτόχρωμος τόνος δέρματος
💆🏼	κομμωτήριο, μασάζ, μασάζ στο κεφάλι, μασάζ στο κεφάλι: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
💆🏽	κομμωτήριο, μασάζ, μασάζ στο κεφάλι, μασάζ στο κεφάλι: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
💆🏾	κομμωτήριο, μασάζ, μασάζ στο κεφάλι, μασάζ στο κεφάλι: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
💆🏿	κομμωτήριο, μασάζ, μασάζ στο κεφάλι, μασάζ στο κεφάλι: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
💆🏻‍♂	άντρας, ανοιχτόχρωμος τόνος δέρματος, κεφάλι, μαλλιά, μασάζ, μασάζ στο κεφάλι άντρα, μασάζ στο κεφάλι άντρα: ανοιχτόχρωμος τόνος δέρματος
💆🏼‍♂	άντρας, κεφάλι, μαλλιά, μασάζ, μασάζ στο κεφάλι άντρα, μασάζ στο κεφάλι άντρα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
💆🏽‍♂	άντρας, κεφάλι, μαλλιά, μασάζ, μασάζ στο κεφάλι άντρα, μασάζ στο κεφάλι άντρα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
💆🏾‍♂	άντρας, κεφάλι, μαλλιά, μασάζ, μασάζ στο κεφάλι άντρα, μασάζ στο κεφάλι άντρα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
💆🏿‍♂	άντρας, κεφάλι, μαλλιά, μασάζ, μασάζ στο κεφάλι άντρα, μασάζ στο κεφάλι άντρα: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
💆🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, κεφάλι, μαλλιά, μασάζ, μασάζ στο κεφάλι γυναίκας, μασάζ στο κεφάλι γυναίκας: ανοιχτόχρωμος τόνος δέρματος
💆🏼‍♀	γυναίκα, κεφάλι, μαλλιά, μασάζ, μασάζ στο κεφάλι γυναίκας, μασάζ στο κεφάλι γυναίκας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
💆🏽‍♀	γυναίκα, κεφάλι, μαλλιά, μασάζ, μασάζ στο κεφάλι γυναίκας, μασάζ στο κεφάλι γυναίκας: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος
💆🏾‍♀	γυναίκα, κεφάλι, μαλλιά, μασάζ, μασάζ στο κεφάλι γυναίκας, μασάζ στο κεφάλι γυναίκας: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος
💆🏿‍♀	γυναίκα, κεφάλι, μαλλιά, μασάζ, μασάζ στο κεφάλι γυναίκας, μασάζ στο κεφάλι γυναίκας: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος
💇🏻	ανοιχτόχρωμος τόνος δέρματος, ινστιτούτο αισθητικής, κομμωτής, κούρεμα, κούρεμα: ανοιχτόχρωμος τόνος δέρματος, ομορφιά
💇🏼	ινστιτούτο αισθητικής, κομμωτής, κούρεμα, κούρεμα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ομορφιά
💇🏽	ινστιτούτο αισθητικής, κομμωτής, κούρεμα, κούρεμα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, ομορφιά
💇🏾	ινστιτούτο αισθητικής, κομμωτής, κούρεμα, κούρεμα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, ομορφιά
💇🏿	ινστιτούτο αισθητικής, κομμωτής, κούρεμα, κούρεμα: σκούρος τόνος δέρματος, ομορφιά, σκούρος τόνος δέρματος
💇🏻‍♂	άντρας, άντρας κουρεύεται, άντρας κουρεύεται: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, κομμωτήριο, κούρεμα, μαλλιά
💇🏼‍♂	άντρας, άντρας κουρεύεται, άντρας κουρεύεται: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κομμωτήριο, κούρεμα, μαλλιά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
💇🏽‍♂	άντρας, άντρας κουρεύεται, άντρας κουρεύεται: μεσαίος τόνος δέρματος, κομμωτήριο, κούρεμα, μαλλιά, μεσαίος τόνος δέρματος
💇🏾‍♂	άντρας, άντρας κουρεύεται, άντρας κουρεύεται: μεσαίος-σκούρος τόνος δέρματος, κομμωτήριο, κούρεμα, μαλλιά, μεσαίος-σκούρος τόνος δέρματος
💇🏿‍♂	άντρας, άντρας κουρεύεται, άντρας κουρεύεται: σκούρος τόνος δέρματος, κομμωτήριο, κούρεμα, μαλλιά, σκούρος τόνος δέρματος
💇🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα κουρεύεται, γυναίκα κουρεύεται: ανοιχτόχρωμος τόνος δέρματος, κομμωτήριο, κούρεμα, μαλλιά
💇🏼‍♀	γυναίκα, γυναίκα κουρεύεται, γυναίκα κουρεύεται: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κομμωτήριο, κούρεμα, μαλλιά, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
💇🏽‍♀	γυναίκα, γυναίκα κουρεύεται, γυναίκα κουρεύεται: μεσαίος τόνος δέρματος, κομμωτήριο, κούρεμα, μαλλιά, μεσαίος τόνος δέρματος
💇🏾‍♀	γυναίκα, γυναίκα κουρεύεται, γυναίκα κουρεύεται: μεσαίος-σκούρος τόνος δέρματος, κομμωτήριο, κούρεμα, μαλλιά, μεσαίος-σκούρος τόνος δέρματος
💇🏿‍♀	γυναίκα, γυναίκα κουρεύεται, γυναίκα κουρεύεται: σκούρος τόνος δέρματος, κομμωτήριο, κούρεμα, μαλλιά, σκούρος τόνος δέρματος
🚶🏻	ανοιχτόχρωμος τόνος δέρματος, πεζοπορία, πεζός, πεζός: ανοιχτόχρωμος τόνος δέρματος, περπάτημα, περπατώ
🚶🏼	μεσαίος-ανοιχτόχρωμος τόνος δέρματος, πεζοπορία, πεζός, πεζός: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, περπάτημα, περπατώ
🚶🏽	μεσαίος τόνος δέρματος, πεζοπορία, πεζός, πεζός: μεσαίος τόνος δέρματος, περπάτημα, περπατώ
🚶🏾	μεσαίος-σκούρος τόνος δέρματος, πεζοπορία, πεζός, πεζός: μεσαίος-σκούρος τόνος δέρματος, περπάτημα, περπατώ
🚶🏿	πεζοπορία, πεζός, πεζός: σκούρος τόνος δέρματος, περπάτημα, περπατώ, σκούρος τόνος δέρματος
🚶🏻‍♂	άντρας, άντρας περπατά, άντρας περπατά: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, περπάτημα
🚶🏼‍♂	άντρας, άντρας περπατά, άντρας περπατά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, περπάτημα
🚶🏽‍♂	άντρας, άντρας περπατά, άντρας περπατά: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, περπάτημα
🚶🏾‍♂	άντρας, άντρας περπατά, άντρας περπατά: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, περπάτημα
🚶🏿‍♂	άντρας, άντρας περπατά, άντρας περπατά: σκούρος τόνος δέρματος, περπάτημα, σκούρος τόνος δέρματος
🚶🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα περπατά, γυναίκα περπατά: ανοιχτόχρωμος τόνος δέρματος, περπάτημα
🚶🏼‍♀	γυναίκα, γυναίκα περπατά, γυναίκα περπατά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, περπάτημα
🚶🏽‍♀	γυναίκα, γυναίκα περπατά, γυναίκα περπατά: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, περπάτημα
🚶🏾‍♀	γυναίκα, γυναίκα περπατά, γυναίκα περπατά: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, περπάτημα
🚶🏿‍♀	γυναίκα, γυναίκα περπατά, γυναίκα περπατά: σκούρος τόνος δέρματος, περπάτημα, σκούρος τόνος δέρματος
🏃🏻	άτομο τρέχει, άτομο τρέχει: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, μαραθώνιος, τρέξιμο
🏃🏼	άτομο τρέχει, άτομο τρέχει: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μαραθώνιος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τρέξιμο
🏃🏽	άτομο τρέχει, άτομο τρέχει: μεσαίος τόνος δέρματος, μαραθώνιος, μεσαίος τόνος δέρματος, τρέξιμο
🏃🏾	άτομο τρέχει, άτομο τρέχει: μεσαίος-σκούρος τόνος δέρματος, μαραθώνιος, μεσαίος-σκούρος τόνος δέρματος, τρέξιμο
🏃🏿	άτομο τρέχει, άτομο τρέχει: σκούρος τόνος δέρματος, μαραθώνιος, σκούρος τόνος δέρματος, τρέξιμο
🏃🏻‍♂	άντρας, άντρας τρέχει, άντρας τρέχει: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, τρέξιμο
🏃🏼‍♂	άντρας, άντρας τρέχει, άντρας τρέχει: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τρέξιμο
🏃🏽‍♂	άντρας, άντρας τρέχει, άντρας τρέχει: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, τρέξιμο
🏃🏾‍♂	άντρας, άντρας τρέχει, άντρας τρέχει: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, τρέξιμο
🏃🏿‍♂	άντρας, άντρας τρέχει, άντρας τρέχει: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, τρέξιμο
🏃🏻‍♀	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα τρέχει, γυναίκα τρέχει: ανοιχτόχρωμος τόνος δέρματος, τρέξιμο
🏃🏼‍♀	γυναίκα, γυναίκα τρέχει, γυναίκα τρέχει: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, τρέξιμο
🏃🏽‍♀	γυναίκα, γυναίκα τρέχει, γυναίκα τρέχει: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, τρέξιμο
🏃🏾‍♀	γυναίκα, γυναίκα τρέχει, γυναίκα τρέχει: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, τρέξιμο
🏃🏿‍♀	γυναίκα, γυναίκα τρέχει, γυναίκα τρέχει: σκούρος τόνος δέρματος, σκούρος τόνος δέρματος, τρέξιμο
💃🏻	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, χορεύτρια, χορεύτρια: ανοιχτόχρωμος τόνος δέρματος, χορός
💃🏼	γυναίκα, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χορεύτρια, χορεύτρια: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χορός
💃🏽	γυναίκα, μεσαίος τόνος δέρματος, χορεύτρια, χορεύτρια: μεσαίος τόνος δέρματος, χορός
💃🏾	γυναίκα, μεσαίος-σκούρος τόνος δέρματος, χορεύτρια, χορεύτρια: μεσαίος-σκούρος τόνος δέρματος, χορός
💃🏿	γυναίκα, σκούρος τόνος δέρματος, χορεύτρια, χορεύτρια: σκούρος τόνος δέρματος, χορός
🕺🏻	άντρας, ανοιχτόχρωμος τόνος δέρματος, χορευτής, χορευτής: ανοιχτόχρωμος τόνος δέρματος, χορός
🕺🏼	άντρας, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χορευτής, χορευτής: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, χορός
🕺🏽	άντρας, μεσαίος τόνος δέρματος, χορευτής, χορευτής: μεσαίος τόνος δέρματος, χορός
🕺🏾	άντρας, μεσαίος-σκούρος τόνος δέρματος, χορευτής, χορευτής: μεσαίος-σκούρος τόνος δέρματος, χορός
🕺🏿	άντρας, σκούρος τόνος δέρματος, χορευτής, χορευτής: σκούρος τόνος δέρματος, χορός
🧖🏻	άτομο σε σάουνα, άτομο σε σάουνα: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏼	άτομο σε σάουνα, άτομο σε σάουνα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σάουνα
🧖🏽	άτομο σε σάουνα, άτομο σε σάουνα: μεσαίος τόνος δέρματος, μεσαίος τόνος δέρματος, σάουνα
🧖🏾	άτομο σε σάουνα, άτομο σε σάουνα: μεσαίος-σκούρος τόνος δέρματος, μεσαίος-σκούρος τόνος δέρματος, σάουνα
