‾	اوور لائن
🧑🏿‍⚕	تھیراپسٹ, جلد کی سیاہ رنگت, نرس, ڈاکٹر, ہیلتھ ورکر, ہیلتھ ورکر: جلد کی سیاہ رنگت, ہیلتھ کیئر
👨‍⚕	صحت, مرد, مرد ہیلتھ ورکر, ڈاکٹر, کارکن
👨🏻‍⚕	جلد کی ہلکی رنگت, صحت, مرد, مرد ہیلتھ ورکر, مرد ہیلتھ ورکر: جلد کی ہلکی رنگت, ڈاکٹر, کارکن
👨🏼‍⚕	جلد کی درمیانی -ہلکی رنگت, صحت, مرد, مرد ہیلتھ ورکر, مرد ہیلتھ ورکر: جلد کی درمیانی -ہلکی رنگت, ڈاکٹر, کارکن
👨🏽‍⚕	جلد کی درمیانی رنگت, صحت, مرد, مرد ہیلتھ ورکر, مرد ہیلتھ ورکر: جلد کی درمیانی رنگت, ڈاکٹر, کارکن
👨🏾‍⚕	جلد کی درمیانی سیاہ رنگت, صحت, مرد, مرد ہیلتھ ورکر, مرد ہیلتھ ورکر: جلد کی درمیانی سیاہ رنگت, ڈاکٹر, کارکن
👨🏿‍⚕	جلد کی سیاہ رنگت, صحت, مرد, مرد ہیلتھ ورکر, مرد ہیلتھ ورکر: جلد کی سیاہ رنگت, ڈاکٹر, کارکن
👩‍⚕	صحت, عورت, عورت ہیلتھ ورکر, ڈاکٹر, کارکن
👩🏻‍⚕	جلد کی ہلکی رنگت, صحت, عورت, عورت ہیلتھ ورکر, عورت ہیلتھ ورکر: جلد کی ہلکی رنگت, ڈاکٹر, کارکن
👩🏼‍⚕	جلد کی درمیانی -ہلکی رنگت, صحت, عورت, عورت ہیلتھ ورکر, عورت ہیلتھ ورکر: جلد کی درمیانی -ہلکی رنگت, ڈاکٹر, کارکن
👩🏽‍⚕	جلد کی درمیانی رنگت, صحت, عورت, عورت ہیلتھ ورکر, عورت ہیلتھ ورکر: جلد کی درمیانی رنگت, ڈاکٹر, کارکن
👩🏾‍⚕	جلد کی درمیانی سیاہ رنگت, صحت, عورت, عورت ہیلتھ ورکر, عورت ہیلتھ ورکر: جلد کی درمیانی سیاہ رنگت, ڈاکٹر, کارکن
👩🏿‍⚕	جلد کی سیاہ رنگت, صحت, عورت, عورت ہیلتھ ورکر, عورت ہیلتھ ورکر: جلد کی سیاہ رنگت, ڈاکٹر, کارکن
🧑‍🎓	طالب علم, طالبعلم, گریجویٹ
🧑🏻‍🎓	جلد کی ہلکی رنگت, طالب علم, طالب علم: جلد کی ہلکی رنگت, طالبعلم, گریجویٹ
🧑🏼‍🎓	جلد کی درمیانی -ہلکی رنگت, طالب علم, طالب علم: جلد کی درمیانی -ہلکی رنگت, طالبعلم, گریجویٹ
🧑🏽‍🎓	جلد کی درمیانی رنگت, طالب علم, طالب علم: جلد کی درمیانی رنگت, طالبعلم, گریجویٹ
🧑🏾‍🎓	جلد کی درمیانی سیاہ رنگت, طالب علم, طالب علم: جلد کی درمیانی سیاہ رنگت, طالبعلم, گریجویٹ
🧑🏿‍🎓	جلد کی سیاہ رنگت, طالب علم, طالب علم: جلد کی سیاہ رنگت, طالبعلم, گریجویٹ
👨‍🎓	اسکول, طالب علم, مرد, مرد طالب علم, گریجوئیشن
👨🏻‍🎓	اسکول, جلد کی ہلکی رنگت, طالب علم, مرد, مرد طالب علم, مرد طالب علم: جلد کی ہلکی رنگت, گریجوئیشن
👨🏼‍🎓	اسکول, جلد کی درمیانی -ہلکی رنگت, طالب علم, مرد, مرد طالب علم, مرد طالب علم: جلد کی درمیانی -ہلکی رنگت, گریجوئیشن
👨🏽‍🎓	اسکول, جلد کی درمیانی رنگت, طالب علم, مرد, مرد طالب علم, مرد طالب علم: جلد کی درمیانی رنگت, گریجوئیشن
👨🏾‍🎓	اسکول, جلد کی درمیانی سیاہ رنگت, طالب علم, مرد, مرد طالب علم, مرد طالب علم: جلد کی درمیانی سیاہ رنگت, گریجوئیشن
👨🏿‍🎓	اسکول, جلد کی سیاہ رنگت, طالب علم, مرد, مرد طالب علم, مرد طالب علم: جلد کی سیاہ رنگت, گریجوئیشن
👩‍🎓	اسکول, طالب علم, عورت, عورت طالب علم, گریجوئیشن
👩🏻‍🎓	اسکول, جلد کی ہلکی رنگت, طالب علم, عورت, عورت طالب علم, عورت طالب علم: جلد کی ہلکی رنگت, گریجوئیشن
👩🏼‍🎓	اسکول, جلد کی درمیانی -ہلکی رنگت, طالب علم, عورت, عورت طالب علم, عورت طالب علم: جلد کی درمیانی -ہلکی رنگت, گریجوئیشن
👩🏽‍🎓	اسکول, جلد کی درمیانی رنگت, طالب علم, عورت, عورت طالب علم, عورت طالب علم: جلد کی درمیانی رنگت, گریجوئیشن
👩🏾‍🎓	اسکول, جلد کی درمیانی سیاہ رنگت, طالب علم, عورت, عورت طالب علم, عورت طالب علم: جلد کی درمیانی سیاہ رنگت, گریجوئیشن
👩🏿‍🎓	اسکول, جلد کی سیاہ رنگت, طالب علم, عورت, عورت طالب علم, عورت طالب علم: جلد کی سیاہ رنگت, گریجوئیشن
🧑‍🏫	استاد, معلم, پروفیسر
🧑🏻‍🏫	استاد, استاد: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, معلم, پروفیسر
🧑🏼‍🏫	استاد, استاد: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, معلم, پروفیسر
🧑🏽‍🏫	استاد, استاد: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, معلم, پروفیسر
🧑🏾‍🏫	استاد, استاد: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, معلم, پروفیسر
🧑🏿‍🏫	استاد, استاد: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, معلم, پروفیسر
👨‍🏫	استاد, اسکول, مرد استاد, پروفیسر
👨🏻‍🏫	استاد, اسکول, جلد کی ہلکی رنگت, مرد استاد, مرد استاد: جلد کی ہلکی رنگت, پروفیسر
👨🏼‍🏫	استاد, اسکول, جلد کی درمیانی -ہلکی رنگت, مرد استاد, مرد استاد: جلد کی درمیانی -ہلکی رنگت, پروفیسر
👨🏽‍🏫	استاد, اسکول, جلد کی درمیانی رنگت, مرد استاد, مرد استاد: جلد کی درمیانی رنگت, پروفیسر
👨🏾‍🏫	استاد, اسکول, جلد کی درمیانی سیاہ رنگت, مرد استاد, مرد استاد: جلد کی درمیانی سیاہ رنگت, پروفیسر
👨🏿‍🏫	استاد, اسکول, جلد کی سیاہ رنگت, مرد استاد, مرد استاد: جلد کی سیاہ رنگت, پروفیسر
👩‍🏫	استانی, اسکول, پروفیسر
👩🏻‍🏫	استانی, استانی: جلد کی ہلکی رنگت, اسکول, جلد کی ہلکی رنگت, پروفیسر
👩🏼‍🏫	استانی, استانی: جلد کی درمیانی -ہلکی رنگت, اسکول, جلد کی درمیانی -ہلکی رنگت, پروفیسر
👩🏽‍🏫	استانی, استانی: جلد کی درمیانی رنگت, اسکول, جلد کی درمیانی رنگت, پروفیسر
👩🏾‍🏫	استانی, استانی: جلد کی درمیانی سیاہ رنگت, اسکول, جلد کی درمیانی سیاہ رنگت, پروفیسر
👩🏿‍🏫	استانی, استانی: جلد کی سیاہ رنگت, اسکول, جلد کی سیاہ رنگت, پروفیسر
🧑‍⚖	جج, پیمانے
🧑🏻‍⚖	جج, جج: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, پیمانے
🧑🏼‍⚖	جج, جج: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, پیمانے
🧑🏽‍⚖	جج, جج: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, پیمانے
🧑🏾‍⚖	جج, جج: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, پیمانے
🧑🏿‍⚖	جج, جج: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, پیمانے
👨‍⚖	انصاف, عدالت, مرد, مرد جج, کورٹ
👨🏻‍⚖	انصاف, جلد کی ہلکی رنگت, عدالت, مرد, مرد جج, مرد جج: جلد کی ہلکی رنگت, کورٹ
👨🏼‍⚖	انصاف, جلد کی درمیانی -ہلکی رنگت, عدالت, مرد, مرد جج, مرد جج: جلد کی درمیانی -ہلکی رنگت, کورٹ
👨🏽‍⚖	انصاف, جلد کی درمیانی رنگت, عدالت, مرد, مرد جج, مرد جج: جلد کی درمیانی رنگت, کورٹ
👨🏾‍⚖	انصاف, جلد کی درمیانی سیاہ رنگت, عدالت, مرد, مرد جج, مرد جج: جلد کی درمیانی سیاہ رنگت, کورٹ
👨🏿‍⚖	انصاف, جلد کی سیاہ رنگت, عدالت, مرد, مرد جج, مرد جج: جلد کی سیاہ رنگت, کورٹ
👩‍⚖	انصاف, عدالت, عورت, عورت جج, کورٹ
👩🏻‍⚖	انصاف, جلد کی ہلکی رنگت, عدالت, عورت, عورت جج, عورت جج: جلد کی ہلکی رنگت, کورٹ
👩🏼‍⚖	انصاف, جلد کی درمیانی -ہلکی رنگت, عدالت, عورت, عورت جج, عورت جج: جلد کی درمیانی -ہلکی رنگت, کورٹ
👩🏽‍⚖	انصاف, جلد کی درمیانی رنگت, عدالت, عورت, عورت جج, عورت جج: جلد کی درمیانی رنگت, کورٹ
👩🏾‍⚖	انصاف, جلد کی درمیانی سیاہ رنگت, عدالت, عورت, عورت جج, عورت جج: جلد کی درمیانی سیاہ رنگت, کورٹ
👩🏿‍⚖	انصاف, جلد کی سیاہ رنگت, عدالت, عورت, عورت جج, عورت جج: جلد کی سیاہ رنگت, کورٹ
🧑‍🌾	مالی, کاشتکار, کسان
🧑🏻‍🌾	جلد کی ہلکی رنگت, مالی, کاشتکار, کسان, کسان: جلد کی ہلکی رنگت
🧑🏼‍🌾	جلد کی درمیانی -ہلکی رنگت, مالی, کاشتکار, کسان, کسان: جلد کی درمیانی -ہلکی رنگت
🧑🏽‍🌾	جلد کی درمیانی رنگت, مالی, کاشتکار, کسان, کسان: جلد کی درمیانی رنگت
🧑🏾‍🌾	جلد کی درمیانی سیاہ رنگت, مالی, کاشتکار, کسان, کسان: جلد کی درمیانی سیاہ رنگت
🧑🏿‍🌾	جلد کی سیاہ رنگت, مالی, کاشتکار, کسان, کسان: جلد کی سیاہ رنگت
👨‍🌾	باغبان, مرد, مرد کاشت کار, کاشت کار, کسان
👨🏻‍🌾	باغبان, جلد کی ہلکی رنگت, مرد, مرد کاشت کار, مرد کاشت کار: جلد کی ہلکی رنگت, کاشت کار, کسان
👨🏼‍🌾	باغبان, جلد کی درمیانی -ہلکی رنگت, مرد, مرد کاشت کار, مرد کاشت کار: جلد کی درمیانی -ہلکی رنگت, کاشت کار, کسان
👨🏽‍🌾	باغبان, جلد کی درمیانی رنگت, مرد, مرد کاشت کار, مرد کاشت کار: جلد کی درمیانی رنگت, کاشت کار, کسان
👨🏾‍🌾	باغبان, جلد کی درمیانی سیاہ رنگت, مرد, مرد کاشت کار, مرد کاشت کار: جلد کی درمیانی سیاہ رنگت, کاشت کار, کسان
👨🏿‍🌾	باغبان, جلد کی سیاہ رنگت, مرد, مرد کاشت کار, مرد کاشت کار: جلد کی سیاہ رنگت, کاشت کار, کسان
👩‍🌾	باغبان, عورت, عورت کاشت کار, کاشت کار, کسان
👩🏻‍🌾	باغبان, جلد کی ہلکی رنگت, عورت, عورت کاشت کار, عورت کاشت کار: جلد کی ہلکی رنگت, کاشت کار, کسان
👩🏼‍🌾	باغبان, جلد کی درمیانی -ہلکی رنگت, عورت, عورت کاشت کار, عورت کاشت کار: جلد کی درمیانی -ہلکی رنگت, کاشت کار, کسان
👩🏽‍🌾	باغبان, جلد کی درمیانی رنگت, عورت, عورت کاشت کار, عورت کاشت کار: جلد کی درمیانی رنگت, کاشت کار, کسان
👩🏾‍🌾	باغبان, جلد کی درمیانی سیاہ رنگت, عورت, عورت کاشت کار, عورت کاشت کار: جلد کی درمیانی سیاہ رنگت, کاشت کار, کسان
👩🏿‍🌾	باغبان, جلد کی سیاہ رنگت, عورت, عورت کاشت کار, عورت کاشت کار: جلد کی سیاہ رنگت, کاشت کار, کسان
🧑‍🍳	باورچی, شیف
🧑🏻‍🍳	باورچی, باورچی: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, شیف
🧑🏼‍🍳	باورچی, باورچی: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, شیف
🧑🏽‍🍳	باورچی, باورچی: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, شیف
🧑🏾‍🍳	باورچی, باورچی: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, شیف
🧑🏿‍🍳	باورچی, باورچی: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, شیف
👨‍🍳	باورچی, شیف, مرد, مرد باورچی
👨🏻‍🍳	باورچی, جلد کی ہلکی رنگت, شیف, مرد, مرد باورچی: جلد کی ہلکی رنگت
👨🏼‍🍳	باورچی, جلد کی درمیانی -ہلکی رنگت, شیف, مرد, مرد باورچی: جلد کی درمیانی -ہلکی رنگت
👨🏽‍🍳	باورچی, جلد کی درمیانی رنگت, شیف, مرد, مرد باورچی: جلد کی درمیانی رنگت
👨🏾‍🍳	باورچی, جلد کی درمیانی سیاہ رنگت, شیف, مرد, مرد باورچی: جلد کی درمیانی سیاہ رنگت
👨🏿‍🍳	باورچی, جلد کی سیاہ رنگت, شیف, مرد, مرد باورچی: جلد کی سیاہ رنگت
👩‍🍳	باورچی, شیف, عورت, عورت باورچی
👩🏻‍🍳	باورچی, جلد کی ہلکی رنگت, شیف, عورت, عورت باورچی: جلد کی ہلکی رنگت
👩🏼‍🍳	باورچی, جلد کی درمیانی -ہلکی رنگت, شیف, عورت, عورت باورچی: جلد کی درمیانی -ہلکی رنگت
👩🏽‍🍳	باورچی, جلد کی درمیانی رنگت, شیف, عورت, عورت باورچی: جلد کی درمیانی رنگت
👩🏾‍🍳	باورچی, جلد کی درمیانی سیاہ رنگت, شیف, عورت, عورت باورچی: جلد کی درمیانی سیاہ رنگت
👩🏿‍🍳	باورچی, جلد کی سیاہ رنگت, شیف, عورت, عورت باورچی: جلد کی سیاہ رنگت
🧑‍🔧	الیکٹریشن, مکینک, پلمبر, کاریگر
🧑🏻‍🔧	الیکٹریشن, جلد کی ہلکی رنگت, مکینک, مکینک: جلد کی ہلکی رنگت, پلمبر, کاریگر
🧑🏼‍🔧	الیکٹریشن, جلد کی درمیانی -ہلکی رنگت, مکینک, مکینک: جلد کی درمیانی -ہلکی رنگت, پلمبر, کاریگر
🧑🏽‍🔧	الیکٹریشن, جلد کی درمیانی رنگت, مکینک, مکینک: جلد کی درمیانی رنگت, پلمبر, کاریگر
🧑🏾‍🔧	الیکٹریشن, جلد کی درمیانی سیاہ رنگت, مکینک, مکینک: جلد کی درمیانی سیاہ رنگت, پلمبر, کاریگر
🧑🏿‍🔧	الیکٹریشن, جلد کی سیاہ رنگت, مکینک, مکینک: جلد کی سیاہ رنگت, پلمبر, کاریگر
👨‍🔧	الیکٹریشن, مرد, مرد مکینک, مکینک, کاریگر
👨🏻‍🔧	الیکٹریشن, جلد کی ہلکی رنگت, مرد, مرد مکینک: جلد کی ہلکی رنگت, مکینک, کاریگر
👨🏼‍🔧	الیکٹریشن, جلد کی درمیانی -ہلکی رنگت, مرد, مرد مکینک: جلد کی درمیانی -ہلکی رنگت, مکینک, کاریگر
👨🏽‍🔧	الیکٹریشن, جلد کی درمیانی رنگت, مرد, مرد مکینک: جلد کی درمیانی رنگت, مکینک, کاریگر
👨🏾‍🔧	الیکٹریشن, جلد کی درمیانی سیاہ رنگت, مرد, مرد مکینک: جلد کی درمیانی سیاہ رنگت, مکینک, کاریگر
👨🏿‍🔧	الیکٹریشن, جلد کی سیاہ رنگت, مرد, مرد مکینک: جلد کی سیاہ رنگت, مکینک, کاریگر
👩‍🔧	الیکٹریشن, عورت مکینک, مرد, مکینک, کاریگر
👩🏻‍🔧	الیکٹریشن, جلد کی ہلکی رنگت, عورت مکینک, عورت مکینک: جلد کی ہلکی رنگت, مرد, مکینک, کاریگر
👩🏼‍🔧	الیکٹریشن, جلد کی درمیانی -ہلکی رنگت, عورت مکینک, عورت مکینک: جلد کی درمیانی -ہلکی رنگت, مرد, مکینک, کاریگر
👩🏽‍🔧	الیکٹریشن, جلد کی درمیانی رنگت, عورت مکینک, عورت مکینک: جلد کی درمیانی رنگت, مرد, مکینک, کاریگر
👩🏾‍🔧	الیکٹریشن, جلد کی درمیانی سیاہ رنگت, عورت مکینک, عورت مکینک: جلد کی درمیانی سیاہ رنگت, مرد, مکینک, کاریگر
👩🏿‍🔧	الیکٹریشن, جلد کی سیاہ رنگت, عورت مکینک, عورت مکینک: جلد کی سیاہ رنگت, مرد, مکینک, کاریگر
🧑‍🏭	اسمبلی, صنعتی, فیکٹری, فیکٹری ورکر, کارکن
🧑🏻‍🏭	اسمبلی, جلد کی ہلکی رنگت, صنعتی, فیکٹری, فیکٹری ورکر, فیکٹری ورکر: جلد کی ہلکی رنگت, کارکن
🧑🏼‍🏭	اسمبلی, جلد کی درمیانی -ہلکی رنگت, صنعتی, فیکٹری, فیکٹری ورکر, فیکٹری ورکر: جلد کی درمیانی -ہلکی رنگت, کارکن
🧑🏽‍🏭	اسمبلی, جلد کی درمیانی رنگت, صنعتی, فیکٹری, فیکٹری ورکر, فیکٹری ورکر: جلد کی درمیانی رنگت, کارکن
🧑🏾‍🏭	اسمبلی, جلد کی درمیانی سیاہ رنگت, صنعتی, فیکٹری, فیکٹری ورکر, فیکٹری ورکر: جلد کی درمیانی سیاہ رنگت, کارکن
🧑🏿‍🏭	اسمبلی, جلد کی سیاہ رنگت, صنعتی, فیکٹری, فیکٹری ورکر, فیکٹری ورکر: جلد کی سیاہ رنگت, کارکن
👨‍🏭	فیکٹری, مرد, مرد فیکٹری کارکن, کارکن, کاریگر
👨🏻‍🏭	جلد کی ہلکی رنگت, فیکٹری, مرد, مرد فیکٹری کارکن: جلد کی ہلکی رنگت, کارکن, کاریگر
👨🏼‍🏭	جلد کی درمیانی -ہلکی رنگت, فیکٹری, مرد, مرد فیکٹری کارکن: جلد کی درمیانی -ہلکی رنگت, کارکن, کاریگر
👨🏽‍🏭	جلد کی درمیانی رنگت, فیکٹری, مرد, مرد فیکٹری کارکن: جلد کی درمیانی رنگت, کارکن, کاریگر
👨🏾‍🏭	جلد کی درمیانی سیاہ رنگت, فیکٹری, مرد, مرد فیکٹری کارکن: جلد کی درمیانی سیاہ رنگت, کارکن, کاریگر
👨🏿‍🏭	جلد کی سیاہ رنگت, فیکٹری, مرد, مرد فیکٹری کارکن: جلد کی سیاہ رنگت, کارکن, کاریگر
👩‍🏭	عورت, عورت فیکٹری کارکن, فیکٹری, کارکن, کاریگر
👩🏻‍🏭	جلد کی ہلکی رنگت, عورت, عورت فیکٹری کارکن: جلد کی ہلکی رنگت, فیکٹری, کارکن, کاریگر
👩🏼‍🏭	جلد کی درمیانی -ہلکی رنگت, عورت, عورت فیکٹری کارکن: جلد کی درمیانی -ہلکی رنگت, فیکٹری, کارکن, کاریگر
👩🏽‍🏭	جلد کی درمیانی رنگت, عورت, عورت فیکٹری کارکن: جلد کی درمیانی رنگت, فیکٹری, کارکن, کاریگر
👩🏾‍🏭	جلد کی درمیانی سیاہ رنگت, عورت, عورت فیکٹری کارکن: جلد کی درمیانی سیاہ رنگت, فیکٹری, کارکن, کاریگر
👩🏿‍🏭	جلد کی سیاہ رنگت, عورت, عورت فیکٹری کارکن: جلد کی سیاہ رنگت, فیکٹری, کارکن, کاریگر
🧑‍💼	آفس ورکر, ماہر تعمیرات, مینیجر, وائٹ کالر, کاروبار
🧑🏻‍💼	آفس ورکر, آفس ورکر: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, ماہر تعمیرات, مینیجر, وائٹ کالر, کاروبار
🧑🏼‍💼	آفس ورکر, آفس ورکر: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, ماہر تعمیرات, مینیجر, وائٹ کالر, کاروبار
🧑🏽‍💼	آفس ورکر, آفس ورکر: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, ماہر تعمیرات, مینیجر, وائٹ کالر, کاروبار
🧑🏾‍💼	آفس ورکر, آفس ورکر: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, ماہر تعمیرات, مینیجر, وائٹ کالر, کاروبار
🧑🏿‍💼	آفس ورکر, آفس ورکر: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, ماہر تعمیرات, مینیجر, وائٹ کالر, کاروبار
👨‍💼	دفتر, مرد, مرد دفتر کارکن, ملازم, کارکن
👨🏻‍💼	جلد کی ہلکی رنگت, دفتر, مرد, مرد دفتر کارکن: جلد کی ہلکی رنگت, ملازم, کارکن
👨🏼‍💼	جلد کی درمیانی -ہلکی رنگت, دفتر, مرد, مرد دفتر کارکن: جلد کی درمیانی -ہلکی رنگت, ملازم, کارکن
👨🏽‍💼	جلد کی درمیانی رنگت, دفتر, مرد, مرد دفتر کارکن: جلد کی درمیانی رنگت, ملازم, کارکن
👨🏾‍💼	جلد کی درمیانی سیاہ رنگت, دفتر, مرد, مرد دفتر کارکن: جلد کی درمیانی سیاہ رنگت, ملازم, کارکن
👨🏿‍💼	جلد کی سیاہ رنگت, دفتر, مرد, مرد دفتر کارکن: جلد کی سیاہ رنگت, ملازم, کارکن
👩‍💼	دفتر, عورت, عورت دفتر کارکن, ملازم, کارکن
👩🏻‍💼	جلد کی ہلکی رنگت, دفتر, عورت, عورت دفتر کارکن: جلد کی ہلکی رنگت, ملازم, کارکن
👩🏼‍💼	جلد کی درمیانی -ہلکی رنگت, دفتر, عورت, عورت دفتر کارکن: جلد کی درمیانی -ہلکی رنگت, ملازم, کارکن
👩🏽‍💼	جلد کی درمیانی رنگت, دفتر, عورت, عورت دفتر کارکن: جلد کی درمیانی رنگت, ملازم, کارکن
👩🏾‍💼	جلد کی درمیانی سیاہ رنگت, دفتر, عورت, عورت دفتر کارکن: جلد کی درمیانی سیاہ رنگت, ملازم, کارکن
👩🏿‍💼	جلد کی سیاہ رنگت, دفتر, عورت, عورت دفتر کارکن: جلد کی سیاہ رنگت, ملازم, کارکن
🧑‍🔬	انجینیئر, سائنسدان, ماہر حیاتیات, ماہر طبیعات, کیمسٹ
🧑🏻‍🔬	انجینیئر, جلد کی ہلکی رنگت, سائنسدان, سائنسدان: جلد کی ہلکی رنگت, ماہر حیاتیات, ماہر طبیعات, کیمسٹ
🧑🏼‍🔬	انجینیئر, جلد کی درمیانی -ہلکی رنگت, سائنسدان, سائنسدان: جلد کی درمیانی -ہلکی رنگت, ماہر حیاتیات, ماہر طبیعات, کیمسٹ
🧑🏽‍🔬	انجینیئر, جلد کی درمیانی رنگت, سائنسدان, سائنسدان: جلد کی درمیانی رنگت, ماہر حیاتیات, ماہر طبیعات, کیمسٹ
🧑🏾‍🔬	انجینیئر, جلد کی درمیانی سیاہ رنگت, سائنسدان, سائنسدان: جلد کی درمیانی سیاہ رنگت, ماہر حیاتیات, ماہر طبیعات, کیمسٹ
🧑🏿‍🔬	انجینیئر, جلد کی سیاہ رنگت, سائنسدان, سائنسدان: جلد کی سیاہ رنگت, ماہر حیاتیات, ماہر طبیعات, کیمسٹ
👨‍🔬	بیالوجسٹ, سائنسدان, مرد, مرد سائنسدان, کیمسٹ
👨🏻‍🔬	بیالوجسٹ, جلد کی ہلکی رنگت, سائنسدان, مرد, مرد سائنسدان: جلد کی ہلکی رنگت, کیمسٹ
👨🏼‍🔬	بیالوجسٹ, جلد کی درمیانی -ہلکی رنگت, سائنسدان, مرد, مرد سائنسدان: جلد کی درمیانی -ہلکی رنگت, کیمسٹ
👨🏽‍🔬	بیالوجسٹ, جلد کی درمیانی رنگت, سائنسدان, مرد, مرد سائنسدان: جلد کی درمیانی رنگت, کیمسٹ
👨🏾‍🔬	بیالوجسٹ, جلد کی درمیانی سیاہ رنگت, سائنسدان, مرد, مرد سائنسدان: جلد کی درمیانی سیاہ رنگت, کیمسٹ
👨🏿‍🔬	بیالوجسٹ, جلد کی سیاہ رنگت, سائنسدان, مرد, مرد سائنسدان: جلد کی سیاہ رنگت, کیمسٹ
👩‍🔬	بیالوجسٹ, سائنسدان, عورت, عورت سائنسدان, کیمسٹ
👩🏻‍🔬	بیالوجسٹ, جلد کی ہلکی رنگت, سائنسدان, عورت, عورت سائنسدان: جلد کی ہلکی رنگت, کیمسٹ
👩🏼‍🔬	بیالوجسٹ, جلد کی درمیانی -ہلکی رنگت, سائنسدان, عورت, عورت سائنسدان: جلد کی درمیانی -ہلکی رنگت, کیمسٹ
👩🏽‍🔬	بیالوجسٹ, جلد کی درمیانی رنگت, سائنسدان, عورت, عورت سائنسدان: جلد کی درمیانی رنگت, کیمسٹ
👩🏾‍🔬	بیالوجسٹ, جلد کی درمیانی سیاہ رنگت, سائنسدان, عورت, عورت سائنسدان: جلد کی درمیانی سیاہ رنگت, کیمسٹ
👩🏿‍🔬	بیالوجسٹ, جلد کی سیاہ رنگت, سائنسدان, عورت, عورت سائنسدان: جلد کی سیاہ رنگت, کیمسٹ
🧑‍💻	،موجد, سافٹ ویئر, ٹیکنالوجسٹ, ڈویلپر, کوڈر
🧑🏻‍💻	،موجد, جلد کی ہلکی رنگت, سافٹ ویئر, ٹیکنالوجسٹ, ٹیکنالوجسٹ: جلد کی ہلکی رنگت, ڈویلپر, کوڈر
🧑🏼‍💻	،موجد, جلد کی درمیانی -ہلکی رنگت, سافٹ ویئر, ٹیکنالوجسٹ, ٹیکنالوجسٹ: جلد کی درمیانی -ہلکی رنگت, ڈویلپر, کوڈر
🧑🏽‍💻	،موجد, جلد کی درمیانی رنگت, سافٹ ویئر, ٹیکنالوجسٹ, ٹیکنالوجسٹ: جلد کی درمیانی رنگت, ڈویلپر, کوڈر
🧑🏾‍💻	،موجد, جلد کی درمیانی سیاہ رنگت, سافٹ ویئر, ٹیکنالوجسٹ, ٹیکنالوجسٹ: جلد کی درمیانی سیاہ رنگت, ڈویلپر, کوڈر
🧑🏿‍💻	،موجد, جلد کی سیاہ رنگت, سافٹ ویئر, ٹیکنالوجسٹ, ٹیکنالوجسٹ: جلد کی سیاہ رنگت, ڈویلپر, کوڈر
👨‍💻	لیپ ٹاپ, مرد, مرد ٹیکنولاجسٹ, کمپیوٹر, کوڈر
👨🏻‍💻	جلد کی ہلکی رنگت, لیپ ٹاپ, مرد, مرد ٹیکنولاجسٹ, مرد ٹیکنولاجسٹ: جلد کی ہلکی رنگت, کمپیوٹر, کوڈر
👨🏼‍💻	جلد کی درمیانی -ہلکی رنگت, لیپ ٹاپ, مرد, مرد ٹیکنولاجسٹ, مرد ٹیکنولاجسٹ: جلد کی درمیانی -ہلکی رنگت, کمپیوٹر, کوڈر
👨🏽‍💻	جلد کی درمیانی رنگت, لیپ ٹاپ, مرد, مرد ٹیکنولاجسٹ, مرد ٹیکنولاجسٹ: جلد کی درمیانی رنگت, کمپیوٹر, کوڈر
👨🏾‍💻	جلد کی درمیانی سیاہ رنگت, لیپ ٹاپ, مرد, مرد ٹیکنولاجسٹ, مرد ٹیکنولاجسٹ: جلد کی درمیانی سیاہ رنگت, کمپیوٹر, کوڈر
👨🏿‍💻	جلد کی سیاہ رنگت, لیپ ٹاپ, مرد, مرد ٹیکنولاجسٹ, مرد ٹیکنولاجسٹ: جلد کی سیاہ رنگت, کمپیوٹر, کوڈر
👩‍💻	عورت, عورت ٹیکنولاجسٹ, لیپ ٹاپ, کمپیوٹر, کوڈر
👩🏻‍💻	جلد کی ہلکی رنگت, عورت, عورت ٹیکنولاجسٹ, عورت ٹیکنولاجسٹ: جلد کی ہلکی رنگت, لیپ ٹاپ, کمپیوٹر, کوڈر
