🦵🏻	končetina, kopanec, kopnutí, noha, noha: světlý odstín pleti, světlý odstín pleti
🧚🏼	duch, oberon, puk, skřítek, středně světlý odstín pleti, titánie, víla, víla: středně světlý odstín pleti
🧚🏽	duch, oberon, puk, skřítek, střední odstín pleti, titánie, víla, víla: střední odstín pleti
🧚🏾	duch, oberon, puk, skřítek, středně tmavý odstín pleti, titánie, víla, víla: středně tmavý odstín pleti
🧚🏿	duch, oberon, puk, skřítek, titánie, tmavý odstín pleti, víla, víla: tmavý odstín pleti
🧚🏻‍♀	divoženka, elfka, okřídlená víla, okřídlená víla: světlý odstín pleti, rusalka, světlý odstín pleti, titánie
🧚🏼‍♀	divoženka, elfka, okřídlená víla, okřídlená víla: středně světlý odstín pleti, rusalka, středně světlý odstín pleti, titánie
🧚🏽‍♀	divoženka, elfka, okřídlená víla, okřídlená víla: střední odstín pleti, rusalka, střední odstín pleti, titánie
🧚🏾‍♀	divoženka, elfka, okřídlená víla, okřídlená víla: středně tmavý odstín pleti, rusalka, středně tmavý odstín pleti, titánie
🧚🏿‍♀	divoženka, elfka, okřídlená víla, okřídlená víla: tmavý odstín pleti, rusalka, titánie, tmavý odstín pleti
🧚🏻‍♂	oberon, okřídlený skřítek, okřídlený skřítek: světlý odstín pleti, puk, světlý odstín pleti, vílák
🧚🏼‍♂	oberon, okřídlený skřítek, okřídlený skřítek: středně světlý odstín pleti, puk, středně světlý odstín pleti, vílák
🧚🏽‍♂	oberon, okřídlený skřítek, okřídlený skřítek: střední odstín pleti, puk, střední odstín pleti, vílák
🧚🏾‍♂	oberon, okřídlený skřítek, okřídlený skřítek: středně tmavý odstín pleti, puk, středně tmavý odstín pleti, vílák
🧚🏿‍♂	oberon, okřídlený skřítek, okřídlený skřítek: tmavý odstín pleti, puk, tmavý odstín pleti, vílák
🧛🏻	drákula, nemrtvý, obličej upíra, obličej upíra: světlý odstín pleti, světlý odstín pleti, vampýr
🧛🏼	drákula, nemrtvý, obličej upíra, obličej upíra: středně světlý odstín pleti, středně světlý odstín pleti, vampýr
🧛🏽	drákula, nemrtvý, obličej upíra, obličej upíra: střední odstín pleti, střední odstín pleti, vampýr
🧛🏾	drákula, nemrtvý, obličej upíra, obličej upíra: středně tmavý odstín pleti, středně tmavý odstín pleti, vampýr
🧛🏿	drákula, nemrtvý, obličej upíra, obličej upíra: tmavý odstín pleti, tmavý odstín pleti, vampýr
🧛🏻‍♀	nemrtvá, světlý odstín pleti, upírka, upírka: světlý odstín pleti, vampýrka
🧛🏼‍♀	nemrtvá, středně světlý odstín pleti, upírka, upírka: středně světlý odstín pleti, vampýrka
🧛🏽‍♀	nemrtvá, střední odstín pleti, upírka, upírka: střední odstín pleti, vampýrka
🧛🏾‍♀	nemrtvá, středně tmavý odstín pleti, upírka, upírka: středně tmavý odstín pleti, vampýrka
🧛🏿‍♀	nemrtvá, tmavý odstín pleti, upírka, upírka: tmavý odstín pleti, vampýrka
🧛🏻‍♂	drákula, nemrtvý, světlý odstín pleti, upír, upír: světlý odstín pleti, vampýr
🧛🏼‍♂	drákula, nemrtvý, středně světlý odstín pleti, upír, upír: středně světlý odstín pleti, vampýr
🧛🏽‍♂	drákula, nemrtvý, střední odstín pleti, upír, upír: střední odstín pleti, vampýr
🧛🏾‍♂	drákula, nemrtvý, středně tmavý odstín pleti, upír, upír: středně tmavý odstín pleti, vampýr
🧛🏿‍♂	drákula, nemrtvý, tmavý odstín pleti, upír, upír: tmavý odstín pleti, vampýr
🧜🏻	moře, mořská, mořská bytost, mořská bytost: světlý odstín pleti, mořský, muž, nymfa, panic, panna, postava, světlý odstín pleti
🧜🏼	moře, mořská, mořská bytost, mořská bytost: středně světlý odstín pleti, mořský, muž, nymfa, panic, panna, postava, středně světlý odstín pleti
🧜🏽	moře, mořská, mořská bytost, mořská bytost: střední odstín pleti, mořský, muž, nymfa, panic, panna, postava, střední odstín pleti
🧜🏾	moře, mořská, mořská bytost, mořská bytost: středně tmavý odstín pleti, mořský, muž, nymfa, panic, panna, postava, středně tmavý odstín pleti
🧜🏿	moře, mořská, mořská bytost, mořská bytost: tmavý odstín pleti, mořský, muž, nymfa, panic, panna, postava, tmavý odstín pleti
🧜🏻‍♀	mořská, mořská panna, mořská panna: světlý odstín pleti, nymfa, světlý odstín pleti, víla, žena
🧜🏼‍♀	mořská, mořská panna, mořská panna: středně světlý odstín pleti, nymfa, středně světlý odstín pleti, víla, žena
🧜🏽‍♀	mořská, mořská panna, mořská panna: střední odstín pleti, nymfa, střední odstín pleti, víla, žena
🧜🏾‍♀	mořská, mořská panna, mořská panna: středně tmavý odstín pleti, nymfa, středně tmavý odstín pleti, víla, žena
🧜🏿‍♀	mořská, mořská panna, mořská panna: tmavý odstín pleti, nymfa, tmavý odstín pleti, víla, žena
🧜🏻‍♂	mořský, mořský muž, mořský muž: světlý odstín pleti, nymfa, panic, poseidón, světlý odstín pleti, tritón
🧜🏼‍♂	mořský, mořský muž, mořský muž: středně světlý odstín pleti, nymfa, panic, poseidón, středně světlý odstín pleti, tritón
🧜🏽‍♂	mořský, mořský muž, mořský muž: střední odstín pleti, nymfa, panic, poseidón, střední odstín pleti, tritón
🧜🏾‍♂	mořský, mořský muž, mořský muž: středně tmavý odstín pleti, nymfa, panic, poseidón, středně tmavý odstín pleti, tritón
🧜🏿‍♂	mořský, mořský muž, mořský muž: tmavý odstín pleti, nymfa, panic, poseidón, tmavý odstín pleti, tritón
🧝🏻	elf, kouzelná, les, magie, obličej elfa, obličej elfa: světlý odstín pleti, postava, světlý odstín pleti
🧝🏼	elf, kouzelná, les, magie, obličej elfa, obličej elfa: středně světlý odstín pleti, postava, středně světlý odstín pleti
🧝🏽	elf, kouzelná, les, magie, obličej elfa, obličej elfa: střední odstín pleti, postava, střední odstín pleti
🧝🏾	elf, kouzelná, les, magie, obličej elfa, obličej elfa: středně tmavý odstín pleti, postava, středně tmavý odstín pleti
🧝🏿	elf, kouzelná, les, magie, obličej elfa, obličej elfa: tmavý odstín pleti, postava, tmavý odstín pleti
🧝🏻‍♀	divoženka, elfka, elfka: světlý odstín pleti, kouzelná, les, magie, postava, světlý odstín pleti
🧝🏼‍♀	divoženka, elfka, elfka: středně světlý odstín pleti, kouzelná, les, magie, postava, středně světlý odstín pleti
🧝🏽‍♀	divoženka, elfka, elfka: střední odstín pleti, kouzelná, les, magie, postava, střední odstín pleti
🧝🏾‍♀	divoženka, elfka, elfka: středně tmavý odstín pleti, kouzelná, les, magie, postava, středně tmavý odstín pleti
🧝🏿‍♀	divoženka, elfka, elfka: tmavý odstín pleti, kouzelná, les, magie, postava, tmavý odstín pleti
🧝🏻‍♂	elf, elf: světlý odstín pleti, kouzelná, les, lesní, magie, muž, postava, světlý odstín pleti
🧝🏼‍♂	elf, elf: středně světlý odstín pleti, kouzelná, les, lesní, magie, muž, postava, středně světlý odstín pleti
🧝🏽‍♂	elf, elf: střední odstín pleti, kouzelná, les, lesní, magie, muž, postava, střední odstín pleti
🧝🏾‍♂	elf, elf: středně tmavý odstín pleti, kouzelná, les, lesní, magie, muž, postava, středně tmavý odstín pleti
🧝🏿‍♂	elf, elf: tmavý odstín pleti, kouzelná, les, lesní, magie, muž, postava, tmavý odstín pleti
🙍🏻	světlý odstín pleti, výraz, zamračená osoba, zamračená osoba: světlý odstín pleti, zamračení
🙍🏼	středně světlý odstín pleti, výraz, zamračená osoba, zamračená osoba: středně světlý odstín pleti, zamračení
🙍🏽	střední odstín pleti, výraz, zamračená osoba, zamračená osoba: střední odstín pleti, zamračení
🙍🏾	středně tmavý odstín pleti, výraz, zamračená osoba, zamračená osoba: středně tmavý odstín pleti, zamračení
🙍🏿	tmavý odstín pleti, výraz, zamračená osoba, zamračená osoba: tmavý odstín pleti, zamračení
🙍🏻‍♂	muž, světlý odstín pleti, výraz, zamračený, zamračený muž: světlý odstín pleti
🙍🏼‍♂	muž, středně světlý odstín pleti, výraz, zamračený, zamračený muž: středně světlý odstín pleti
🙍🏽‍♂	muž, střední odstín pleti, výraz, zamračený, zamračený muž: střední odstín pleti
🙍🏾‍♂	muž, středně tmavý odstín pleti, výraz, zamračený, zamračený muž: středně tmavý odstín pleti
🙍🏿‍♂	muž, tmavý odstín pleti, výraz, zamračený, zamračený muž: tmavý odstín pleti
🙍🏻‍♀	světlý odstín pleti, výraz, zamračená žena, zamračená žena: světlý odstín pleti, zamračený, žena
🙍🏼‍♀	středně světlý odstín pleti, výraz, zamračená žena, zamračená žena: středně světlý odstín pleti, zamračený, žena
🙍🏽‍♀	střední odstín pleti, výraz, zamračená žena, zamračená žena: střední odstín pleti, zamračený, žena
🙍🏾‍♀	středně tmavý odstín pleti, výraz, zamračená žena, zamračená žena: středně tmavý odstín pleti, zamračený, žena
🙍🏿‍♀	tmavý odstín pleti, výraz, zamračená žena, zamračená žena: tmavý odstín pleti, zamračený, žena
🙎🏻	podrážděná osoba, podrážděná osoba: světlý odstín pleti, podráždění, světlý odstín pleti, výraz
🙎🏼	podrážděná osoba, podrážděná osoba: středně světlý odstín pleti, podráždění, středně světlý odstín pleti, výraz
🙎🏽	podrážděná osoba, podrážděná osoba: střední odstín pleti, podráždění, střední odstín pleti, výraz
🙎🏾	podrážděná osoba, podrážděná osoba: středně tmavý odstín pleti, podráždění, středně tmavý odstín pleti, výraz
🙎🏿	podrážděná osoba, podrážděná osoba: tmavý odstín pleti, podráždění, tmavý odstín pleti, výraz
🙎🏻‍♂	muž, podrážděný, podrážděný muž: světlý odstín pleti, světlý odstín pleti, výraz
🙎🏼‍♂	muž, podrážděný, podrážděný muž: středně světlý odstín pleti, středně světlý odstín pleti, výraz
🙎🏽‍♂	muž, podrážděný, podrážděný muž: střední odstín pleti, střední odstín pleti, výraz
🙎🏾‍♂	muž, podrážděný, podrážděný muž: středně tmavý odstín pleti, středně tmavý odstín pleti, výraz
🙎🏿‍♂	muž, podrážděný, podrážděný muž: tmavý odstín pleti, tmavý odstín pleti, výraz
🙎🏻‍♀	podrážděná žena, podrážděná žena: světlý odstín pleti, podrážděný, světlý odstín pleti, výraz, žena
🙎🏼‍♀	podrážděná žena, podrážděná žena: středně světlý odstín pleti, podrážděný, středně světlý odstín pleti, výraz, žena
🙎🏽‍♀	podrážděná žena, podrážděná žena: střední odstín pleti, podrážděný, střední odstín pleti, výraz, žena
🙎🏾‍♀	podrážděná žena, podrážděná žena: středně tmavý odstín pleti, podrážděný, středně tmavý odstín pleti, výraz, žena
🙎🏿‍♀	podrážděná žena, podrážděná žena: tmavý odstín pleti, podrážděný, tmavý odstín pleti, výraz, žena
🙅🏻	gesto, gesto nesouhlasu, gesto nesouhlasu: světlý odstín pleti, ne, ruka, světlý odstín pleti, zakázáno, zákaz
🙅🏼	gesto, gesto nesouhlasu, gesto nesouhlasu: středně světlý odstín pleti, ne, ruka, středně světlý odstín pleti, zakázáno, zákaz
🙅🏽	gesto, gesto nesouhlasu, gesto nesouhlasu: střední odstín pleti, ne, ruka, střední odstín pleti, zakázáno, zákaz
🙅🏾	gesto, gesto nesouhlasu, gesto nesouhlasu: středně tmavý odstín pleti, ne, ruka, středně tmavý odstín pleti, zakázáno, zákaz
🙅🏿	gesto, gesto nesouhlasu, gesto nesouhlasu: tmavý odstín pleti, ne, ruka, tmavý odstín pleti, zakázáno, zákaz
🙅🏻‍♂	muž, muž s gestem nesouhlasu, muž s gestem nesouhlasu: světlý odstín pleti, ne, nesouhlas, světlý odstín pleti, zákaz
🙅🏼‍♂	muž, muž s gestem nesouhlasu, muž s gestem nesouhlasu: středně světlý odstín pleti, ne, nesouhlas, středně světlý odstín pleti, zákaz
🙅🏽‍♂	muž, muž s gestem nesouhlasu, muž s gestem nesouhlasu: střední odstín pleti, ne, nesouhlas, střední odstín pleti, zákaz
🙅🏾‍♂	muž, muž s gestem nesouhlasu, muž s gestem nesouhlasu: středně tmavý odstín pleti, ne, nesouhlas, středně tmavý odstín pleti, zákaz
🙅🏿‍♂	muž, muž s gestem nesouhlasu, muž s gestem nesouhlasu: tmavý odstín pleti, ne, nesouhlas, tmavý odstín pleti, zákaz
🙅🏻‍♀	ne, nesouhlas, světlý odstín pleti, zákaz, žena, žena s gestem nesouhlasu, žena s gestem nesouhlasu: světlý odstín pleti
🙅🏼‍♀	ne, nesouhlas, středně světlý odstín pleti, zákaz, žena, žena s gestem nesouhlasu, žena s gestem nesouhlasu: středně světlý odstín pleti
🙅🏽‍♀	ne, nesouhlas, střední odstín pleti, zákaz, žena, žena s gestem nesouhlasu, žena s gestem nesouhlasu: střední odstín pleti
🙅🏾‍♀	ne, nesouhlas, středně tmavý odstín pleti, zákaz, žena, žena s gestem nesouhlasu, žena s gestem nesouhlasu: středně tmavý odstín pleti
🙅🏿‍♀	ne, nesouhlas, tmavý odstín pleti, zákaz, žena, žena s gestem nesouhlasu, žena s gestem nesouhlasu: tmavý odstín pleti
🙆🏻	gesto, gesto souhlasu, gesto souhlasu: světlý odstín pleti, ok, ruka, světlý odstín pleti
🙆🏼	gesto, gesto souhlasu, gesto souhlasu: středně světlý odstín pleti, ok, ruka, středně světlý odstín pleti
🙆🏽	gesto, gesto souhlasu, gesto souhlasu: střední odstín pleti, ok, ruka, střední odstín pleti
🙆🏾	gesto, gesto souhlasu, gesto souhlasu: středně tmavý odstín pleti, ok, ruka, středně tmavý odstín pleti
🙆🏿	gesto, gesto souhlasu, gesto souhlasu: tmavý odstín pleti, ok, ruka, tmavý odstín pleti
🙆🏻‍♂	ano, muž, muž s gestem souhlasu, muž s gestem souhlasu: světlý odstín pleti, ok, souhlas, světlý odstín pleti
🙆🏼‍♂	ano, muž, muž s gestem souhlasu, muž s gestem souhlasu: středně světlý odstín pleti, ok, souhlas, středně světlý odstín pleti
🙆🏽‍♂	ano, muž, muž s gestem souhlasu, muž s gestem souhlasu: střední odstín pleti, ok, souhlas, střední odstín pleti
🙆🏾‍♂	ano, muž, muž s gestem souhlasu, muž s gestem souhlasu: středně tmavý odstín pleti, ok, souhlas, středně tmavý odstín pleti
🙆🏿‍♂	ano, muž, muž s gestem souhlasu, muž s gestem souhlasu: tmavý odstín pleti, ok, souhlas, tmavý odstín pleti
🙆🏻‍♀	ano, ok, souhlas, světlý odstín pleti, žena, žena s gestem souhlasu, žena s gestem souhlasu: světlý odstín pleti
🙆🏼‍♀	ano, ok, souhlas, středně světlý odstín pleti, žena, žena s gestem souhlasu, žena s gestem souhlasu: středně světlý odstín pleti
🙆🏽‍♀	ano, ok, souhlas, střední odstín pleti, žena, žena s gestem souhlasu, žena s gestem souhlasu: střední odstín pleti
🙆🏾‍♀	ano, ok, souhlas, středně tmavý odstín pleti, žena, žena s gestem souhlasu, žena s gestem souhlasu: středně tmavý odstín pleti
🙆🏿‍♀	ano, ok, souhlas, tmavý odstín pleti, žena, žena s gestem souhlasu, žena s gestem souhlasu: tmavý odstín pleti
💁🏻	concierge, drzost, informace, ironie, osoba s dlaní vzhůru, osoba s dlaní vzhůru: světlý odstín pleti, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, světlý odstín pleti
💁🏼	concierge, drzost, informace, ironie, osoba s dlaní vzhůru, osoba s dlaní vzhůru: středně světlý odstín pleti, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, středně světlý odstín pleti
💁🏽	concierge, drzost, informace, ironie, osoba s dlaní vzhůru, osoba s dlaní vzhůru: střední odstín pleti, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, střední odstín pleti
💁🏾	concierge, drzost, informace, ironie, osoba s dlaní vzhůru, osoba s dlaní vzhůru: středně tmavý odstín pleti, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, středně tmavý odstín pleti
💁🏿	concierge, drzost, informace, ironie, osoba s dlaní vzhůru, osoba s dlaní vzhůru: tmavý odstín pleti, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, tmavý odstín pleti
💁🏻‍♂	concierge, drzost, informace, ironie, muž, muž s dlaní vzhůru, muž s dlaní vzhůru: světlý odstín pleti, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, světlý odstín pleti
💁🏼‍♂	concierge, drzost, informace, ironie, muž, muž s dlaní vzhůru, muž s dlaní vzhůru: středně světlý odstín pleti, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, středně světlý odstín pleti
💁🏽‍♂	concierge, drzost, informace, ironie, muž, muž s dlaní vzhůru, muž s dlaní vzhůru: střední odstín pleti, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, střední odstín pleti
💁🏾‍♂	concierge, drzost, informace, ironie, muž, muž s dlaní vzhůru, muž s dlaní vzhůru: středně tmavý odstín pleti, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, středně tmavý odstín pleti
💁🏿‍♂	concierge, drzost, informace, ironie, muž, muž s dlaní vzhůru, muž s dlaní vzhůru: tmavý odstín pleti, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, tmavý odstín pleti
💁🏻‍♀	concierge, drzost, informace, ironie, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, světlý odstín pleti, žena, žena s dlaní vzhůru, žena s dlaní vzhůru: světlý odstín pleti
💁🏼‍♀	concierge, drzost, informace, ironie, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, středně světlý odstín pleti, žena, žena s dlaní vzhůru, žena s dlaní vzhůru: středně světlý odstín pleti
💁🏽‍♀	concierge, drzost, informace, ironie, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, střední odstín pleti, žena, žena s dlaní vzhůru, žena s dlaní vzhůru: střední odstín pleti
💁🏾‍♀	concierge, drzost, informace, ironie, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, středně tmavý odstín pleti, žena, žena s dlaní vzhůru, žena s dlaní vzhůru: středně tmavý odstín pleti
💁🏿‍♀	concierge, drzost, informace, ironie, pomoc, poslíček, recepce, recepční, ruka, sarkasmus, tmavý odstín pleti, žena, žena s dlaní vzhůru, žena s dlaní vzhůru: tmavý odstín pleti
🙋🏻	gesto, osoba se zvednutou rukou, osoba se zvednutou rukou: světlý odstín pleti, ruka, světlý odstín pleti, zvednutá, šťastný
🙋🏼	gesto, osoba se zvednutou rukou, osoba se zvednutou rukou: středně světlý odstín pleti, ruka, středně světlý odstín pleti, zvednutá, šťastný
🙋🏽	gesto, osoba se zvednutou rukou, osoba se zvednutou rukou: střední odstín pleti, ruka, střední odstín pleti, zvednutá, šťastný
🙋🏾	gesto, osoba se zvednutou rukou, osoba se zvednutou rukou: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, zvednutá, šťastný
🙋🏿	gesto, osoba se zvednutou rukou, osoba se zvednutou rukou: tmavý odstín pleti, ruka, tmavý odstín pleti, zvednutá, šťastný
🙋🏻‍♂	muž, muž se zvednutou rukou, muž se zvednutou rukou: světlý odstín pleti, přihlášení, ruka, světlý odstín pleti, zvednutí
🙋🏼‍♂	muž, muž se zvednutou rukou, muž se zvednutou rukou: středně světlý odstín pleti, přihlášení, ruka, středně světlý odstín pleti, zvednutí
🙋🏽‍♂	muž, muž se zvednutou rukou, muž se zvednutou rukou: střední odstín pleti, přihlášení, ruka, střední odstín pleti, zvednutí
🙋🏾‍♂	muž, muž se zvednutou rukou, muž se zvednutou rukou: středně tmavý odstín pleti, přihlášení, ruka, středně tmavý odstín pleti, zvednutí
🙋🏿‍♂	muž, muž se zvednutou rukou, muž se zvednutou rukou: tmavý odstín pleti, přihlášení, ruka, tmavý odstín pleti, zvednutí
🙋🏻‍♀	přihlášení, ruka, světlý odstín pleti, zvednutí, žena, žena se zvednutou rukou, žena se zvednutou rukou: světlý odstín pleti
🙋🏼‍♀	přihlášení, ruka, středně světlý odstín pleti, zvednutí, žena, žena se zvednutou rukou, žena se zvednutou rukou: středně světlý odstín pleti
🙋🏽‍♀	přihlášení, ruka, střední odstín pleti, zvednutí, žena, žena se zvednutou rukou, žena se zvednutou rukou: střední odstín pleti
🙋🏾‍♀	přihlášení, ruka, středně tmavý odstín pleti, zvednutí, žena, žena se zvednutou rukou, žena se zvednutou rukou: středně tmavý odstín pleti
🙋🏿‍♀	přihlášení, ruka, tmavý odstín pleti, zvednutí, žena, žena se zvednutou rukou, žena se zvednutou rukou: tmavý odstín pleti
🙇🏻	gesto, lítost, omluva, poklona, prosba, světlý odstín pleti, uklánějící se osoba, uklánějící se osoba: světlý odstín pleti, úcta, úklona
🙇🏼	gesto, lítost, omluva, poklona, prosba, středně světlý odstín pleti, uklánějící se osoba, uklánějící se osoba: středně světlý odstín pleti, úcta, úklona
🙇🏽	gesto, lítost, omluva, poklona, prosba, střední odstín pleti, uklánějící se osoba, uklánějící se osoba: střední odstín pleti, úcta, úklona
🙇🏾	gesto, lítost, omluva, poklona, prosba, středně tmavý odstín pleti, uklánějící se osoba, uklánějící se osoba: středně tmavý odstín pleti, úcta, úklona
🙇🏿	gesto, lítost, omluva, poklona, prosba, tmavý odstín pleti, uklánějící se osoba, uklánějící se osoba: tmavý odstín pleti, úcta, úklona
🙇🏻‍♂	gesto, lítost, muž, omluva, poklona, prosba, světlý odstín pleti, uklánějící se muž, uklánějící se muž: světlý odstín pleti, úcta, úklona
🙇🏼‍♂	gesto, lítost, muž, omluva, poklona, prosba, středně světlý odstín pleti, uklánějící se muž, uklánějící se muž: středně světlý odstín pleti, úcta, úklona
🙇🏽‍♂	gesto, lítost, muž, omluva, poklona, prosba, střední odstín pleti, uklánějící se muž, uklánějící se muž: střední odstín pleti, úcta, úklona
🙇🏾‍♂	gesto, lítost, muž, omluva, poklona, prosba, středně tmavý odstín pleti, uklánějící se muž, uklánějící se muž: středně tmavý odstín pleti, úcta, úklona
🙇🏿‍♂	gesto, lítost, muž, omluva, poklona, prosba, tmavý odstín pleti, uklánějící se muž, uklánějící se muž: tmavý odstín pleti, úcta, úklona
🙇🏻‍♀	gesto, lítost, omluva, poklona, prosba, světlý odstín pleti, uklánějící se žena, uklánějící se žena: světlý odstín pleti, úcta, úklona, žena
🙇🏼‍♀	gesto, lítost, omluva, poklona, prosba, středně světlý odstín pleti, uklánějící se žena, uklánějící se žena: středně světlý odstín pleti, úcta, úklona, žena
🙇🏽‍♀	gesto, lítost, omluva, poklona, prosba, střední odstín pleti, uklánějící se žena, uklánějící se žena: střední odstín pleti, úcta, úklona, žena
🙇🏾‍♀	gesto, lítost, omluva, poklona, prosba, středně tmavý odstín pleti, uklánějící se žena, uklánějící se žena: středně tmavý odstín pleti, úcta, úklona, žena
🙇🏿‍♀	gesto, lítost, omluva, poklona, prosba, tmavý odstín pleti, uklánějící se žena, uklánějící se žena: tmavý odstín pleti, úcta, úklona, žena
🤦🏻	chycení, dlaň, facepalm, hlava, nevíra, osoba chytající se za hlavu, osoba chytající se za hlavu: světlý odstín pleti, rozhořčení, smajlík, světlý odstín pleti, tvář, výraz, zoufalství, čelo
🤦🏼	chycení, dlaň, facepalm, hlava, nevíra, osoba chytající se za hlavu, osoba chytající se za hlavu: středně světlý odstín pleti, rozhořčení, smajlík, středně světlý odstín pleti, tvář, výraz, zoufalství, čelo
🤦🏽	chycení, dlaň, facepalm, hlava, nevíra, osoba chytající se za hlavu, osoba chytající se za hlavu: střední odstín pleti, rozhořčení, smajlík, střední odstín pleti, tvář, výraz, zoufalství, čelo
🤦🏾	chycení, dlaň, facepalm, hlava, nevíra, osoba chytající se za hlavu, osoba chytající se za hlavu: středně tmavý odstín pleti, rozhořčení, smajlík, středně tmavý odstín pleti, tvář, výraz, zoufalství, čelo
🤦🏿	chycení, dlaň, facepalm, hlava, nevíra, osoba chytající se za hlavu, osoba chytající se za hlavu: tmavý odstín pleti, rozhořčení, smajlík, tmavý odstín pleti, tvář, výraz, zoufalství, čelo
🤦🏻‍♂	chycení, dlaň, facepalm, hlava, muž, muž chytající se za hlavu, muž chytající se za hlavu: světlý odstín pleti, nevíra, rozhořčení, smajlík, světlý odstín pleti, tvář, výraz, zoufalství, čelo
🤦🏼‍♂	chycení, dlaň, facepalm, hlava, muž, muž chytající se za hlavu, muž chytající se za hlavu: středně světlý odstín pleti, nevíra, rozhořčení, smajlík, středně světlý odstín pleti, tvář, výraz, zoufalství, čelo
🤦🏽‍♂	chycení, dlaň, facepalm, hlava, muž, muž chytající se za hlavu, muž chytající se za hlavu: střední odstín pleti, nevíra, rozhořčení, smajlík, střední odstín pleti, tvář, výraz, zoufalství, čelo
🤦🏾‍♂	chycení, dlaň, facepalm, hlava, muž, muž chytající se za hlavu, muž chytající se za hlavu: středně tmavý odstín pleti, nevíra, rozhořčení, smajlík, středně tmavý odstín pleti, tvář, výraz, zoufalství, čelo
🤦🏿‍♂	chycení, dlaň, facepalm, hlava, muž, muž chytající se za hlavu, muž chytající se za hlavu: tmavý odstín pleti, nevíra, rozhořčení, smajlík, tmavý odstín pleti, tvář, výraz, zoufalství, čelo
🤦🏻‍♀	chycení, dlaň, facepalm, hlava, nevíra, rozhořčení, smajlík, světlý odstín pleti, tvář, výraz, zoufalství, čelo, žena, žena chytající se za hlavu, žena chytající se za hlavu: světlý odstín pleti
🤦🏼‍♀	chycení, dlaň, facepalm, hlava, nevíra, rozhořčení, smajlík, středně světlý odstín pleti, tvář, výraz, zoufalství, čelo, žena, žena chytající se za hlavu, žena chytající se za hlavu: středně světlý odstín pleti
🤦🏽‍♀	chycení, dlaň, facepalm, hlava, nevíra, rozhořčení, smajlík, střední odstín pleti, tvář, výraz, zoufalství, čelo, žena, žena chytající se za hlavu, žena chytající se za hlavu: střední odstín pleti
🤦🏾‍♀	chycení, dlaň, facepalm, hlava, nevíra, rozhořčení, smajlík, středně tmavý odstín pleti, tvář, výraz, zoufalství, čelo, žena, žena chytající se za hlavu, žena chytající se za hlavu: středně tmavý odstín pleti
🤦🏿‍♀	chycení, dlaň, facepalm, hlava, nevíra, rozhořčení, smajlík, tmavý odstín pleti, tvář, výraz, zoufalství, čelo, žena, žena chytající se za hlavu, žena chytající se za hlavu: tmavý odstín pleti
🤷🏻	nejistota, nerozhodnost, nevím, nevědomost, nezájem, osoba krčící rameny, osoba krčící rameny: světlý odstín pleti, pochybnost, pochyby, pokrčení, pokrčit, ramena, světlý odstín pleti
🤷🏼	nejistota, nerozhodnost, nevím, nevědomost, nezájem, osoba krčící rameny, osoba krčící rameny: středně světlý odstín pleti, pochybnost, pochyby, pokrčení, pokrčit, ramena, středně světlý odstín pleti
🤷🏽	nejistota, nerozhodnost, nevím, nevědomost, nezájem, osoba krčící rameny, osoba krčící rameny: střední odstín pleti, pochybnost, pochyby, pokrčení, pokrčit, ramena, střední odstín pleti
🤷🏾	nejistota, nerozhodnost, nevím, nevědomost, nezájem, osoba krčící rameny, osoba krčící rameny: středně tmavý odstín pleti, pochybnost, pochyby, pokrčení, pokrčit, ramena, středně tmavý odstín pleti
🤷🏿	nejistota, nerozhodnost, nevím, nevědomost, nezájem, osoba krčící rameny, osoba krčící rameny: tmavý odstín pleti, pochybnost, pochyby, pokrčení, pokrčit, ramena, tmavý odstín pleti
🤷🏻‍♂	muž, muž krčící rameny, muž krčící rameny: světlý odstín pleti, nejistota, nerozhodnost, nevím, nevědomost, nezájem, pochybnost, pochyby, pokrčení, pokrčit, ramena, světlý odstín pleti
🤷🏼‍♂	muž, muž krčící rameny, muž krčící rameny: středně světlý odstín pleti, nejistota, nerozhodnost, nevím, nevědomost, nezájem, pochybnost, pochyby, pokrčení, pokrčit, ramena, středně světlý odstín pleti
🤷🏽‍♂	muž, muž krčící rameny, muž krčící rameny: střední odstín pleti, nejistota, nerozhodnost, nevím, nevědomost, nezájem, pochybnost, pochyby, pokrčení, pokrčit, ramena, střední odstín pleti
🤷🏾‍♂	muž, muž krčící rameny, muž krčící rameny: středně tmavý odstín pleti, nejistota, nerozhodnost, nevím, nevědomost, nezájem, pochybnost, pochyby, pokrčení, pokrčit, ramena, středně tmavý odstín pleti
