‾	надцрта
🤵🏼	младожења, смокинг, средње светла кожа, човек, човек у смокингу, човек у смокингу: средње светла кожа
🤵🏽	младожења, ни светла ни тамна кожа, смокинг, човек, човек у смокингу, човек у смокингу: ни светла ни тамна кожа
🤵🏾	младожења, смокинг, средње тамна кожа, човек, човек у смокингу, човек у смокингу: средње тамна кожа
🤵🏿	младожења, смокинг, тамна кожа, човек, човек у смокингу, човек у смокингу: тамна кожа
🤵‍♂	мушкарац, мушкарац у смокингу, смокинг
🤵🏻‍♂	мушкарац, мушкарац у смокингу, мушкарац у смокингу: светла кожа, светла кожа, смокинг
🤵🏼‍♂	мушкарац, мушкарац у смокингу, мушкарац у смокингу: средње светла кожа, смокинг, средње светла кожа
🤵🏽‍♂	мушкарац, мушкарац у смокингу, мушкарац у смокингу: ни светла ни тамна кожа, ни светла ни тамна кожа, смокинг
🤵🏾‍♂	мушкарац, мушкарац у смокингу, мушкарац у смокингу: средње тамна кожа, смокинг, средње тамна кожа
🤵🏿‍♂	мушкарац, мушкарац у смокингу, мушкарац у смокингу: тамна кожа, смокинг, тамна кожа
🤵‍♀	жена, жена у смокингу, смокинг
🤵🏻‍♀	жена, жена у смокингу, жена у смокингу: светла кожа, светла кожа, смокинг
🤵🏼‍♀	жена, жена у смокингу, жена у смокингу: средње светла кожа, смокинг, средње светла кожа
🤵🏽‍♀	жена, жена у смокингу, жена у смокингу: ни светла ни тамна кожа, ни светла ни тамна кожа, смокинг
🤵🏾‍♀	жена, жена у смокингу, жена у смокингу: средње тамна кожа, смокинг, средње тамна кожа
🤵🏿‍♀	жена, жена у смокингу, жена у смокингу: тамна кожа, смокинг, тамна кожа
👰	венчање, вео, невеста, невеста са велом
👰🏻	венчање, вео, невеста, невеста са велом, невеста са велом: светла кожа, светла кожа
👰🏼	венчање, вео, невеста, невеста са велом, невеста са велом: средње светла кожа, средње светла кожа
👰🏽	венчање, вео, невеста, невеста са велом, невеста са велом: ни светла ни тамна кожа, ни светла ни тамна кожа
👰🏾	венчање, вео, невеста, невеста са велом, невеста са велом: средње тамна кожа, средње тамна кожа
👰🏿	венчање, вео, невеста, невеста са велом, невеста са велом: тамна кожа, тамна кожа
👰‍♂	вео, мушкарац, мушкарац са велом
👰🏻‍♂	вео, мушкарац, мушкарац са велом, мушкарац са велом: светла кожа, светла кожа
👰🏼‍♂	вео, мушкарац, мушкарац са велом, мушкарац са велом: средње светла кожа, средње светла кожа
👰🏽‍♂	вео, мушкарац, мушкарац са велом, мушкарац са велом: ни светла ни тамна кожа, ни светла ни тамна кожа
👰🏾‍♂	вео, мушкарац, мушкарац са велом, мушкарац са велом: средње тамна кожа, средње тамна кожа
👰🏿‍♂	вео, мушкарац, мушкарац са велом, мушкарац са велом: тамна кожа, тамна кожа
👰‍♀	вео, жена, жена са велом
👰🏻‍♀	вео, жена, жена са велом, жена са велом: светла кожа, светла кожа
👰🏼‍♀	вео, жена, жена са велом, жена са велом: средње светла кожа, средње светла кожа
👰🏽‍♀	вео, жена, жена са велом, жена са велом: ни светла ни тамна кожа, ни светла ни тамна кожа
👰🏾‍♀	вео, жена, жена са велом, жена са велом: средње тамна кожа, средње тамна кожа
👰🏿‍♀	вео, жена, жена са велом, жена са велом: тамна кожа, тамна кожа
🤰	жена, трудница
🤰🏻	жена, светла кожа, трудница, трудница: светла кожа
🤰🏼	жена, средње светла кожа, трудница, трудница: средње светла кожа
🤰🏽	жена, ни светла ни тамна кожа, трудница, трудница: ни светла ни тамна кожа
🤰🏾	жена, средње тамна кожа, трудница, трудница: средње тамна кожа
🤰🏿	жена, тамна кожа, трудница, трудница: тамна кожа
🫃	надут, пун, стомак, трудан, трудни мушкарац
🫃🏻	надут, пун, светла кожа, стомак, трудан, трудни мушкарац, трудни мушкарац: светла кожа
🫃🏼	надут, пун, средње светла кожа, стомак, трудан, трудни мушкарац, трудни мушкарац: средње светла кожа
🫃🏽	надут, ни светла ни тамна кожа, пун, стомак, трудан, трудни мушкарац, трудни мушкарац: ни светла ни тамна кожа
🫃🏾	надут, пун, средње тамна кожа, стомак, трудан, трудни мушкарац, трудни мушкарац: средње тамна кожа
🫃🏿	надут, пун, стомак, тамна кожа, трудан, трудни мушкарац, трудни мушкарац: тамна кожа
🫄	надут, пун, стомак, трудан, трудна особа
🫄🏻	надут, пун, светла кожа, стомак, трудан, трудна особа, трудна особа: светла кожа
🫄🏼	надут, пун, средње светла кожа, стомак, трудан, трудна особа, трудна особа: средње светла кожа
🫄🏽	надут, ни светла ни тамна кожа, пун, стомак, трудан, трудна особа, трудна особа: ни светла ни тамна кожа
🫄🏾	надут, пун, средње тамна кожа, стомак, трудан, трудна особа, трудна особа: средње тамна кожа
🫄🏿	надут, пун, стомак, тамна кожа, трудан, трудна особа, трудна особа: тамна кожа
🤱	беба, груди, дојење, храњење
🤱🏻	беба, груди, дојење, дојење: светла кожа, светла кожа, храњење
🤱🏼	беба, груди, дојење, дојење: средње светла кожа, средње светла кожа, храњење
🤱🏽	беба, груди, дојење, дојење: ни светла ни тамна кожа, ни светла ни тамна кожа, храњење
🤱🏾	беба, груди, дојење, дојење: средње тамна кожа, средње тамна кожа, храњење
🤱🏿	беба, груди, дојење, дојење: тамна кожа, тамна кожа, храњење
👩‍🍼	беба, дојење, жена, жена храни бебу, храњење
👩🏻‍🍼	беба, дојење, жена, жена храни бебу, жена храни бебу: светла кожа, светла кожа, храњење
👩🏼‍🍼	беба, дојење, жена, жена храни бебу, жена храни бебу: средње светла кожа, средње светла кожа, храњење
👩🏽‍🍼	беба, дојење, жена, жена храни бебу, жена храни бебу: ни светла ни тамна кожа, ни светла ни тамна кожа, храњење
👩🏾‍🍼	беба, дојење, жена, жена храни бебу, жена храни бебу: средње тамна кожа, средње тамна кожа, храњење
👩🏿‍🍼	беба, дојење, жена, жена храни бебу, жена храни бебу: тамна кожа, тамна кожа, храњење
👨‍🍼	беба, дојење, мушкарац, мушкарац храни бебу, храњење
👨🏻‍🍼	беба, дојење, мушкарац, мушкарац храни бебу, мушкарац храни бебу: светла кожа, светла кожа, храњење
👨🏼‍🍼	беба, дојење, мушкарац, мушкарац храни бебу, мушкарац храни бебу: средње светла кожа, средње светла кожа, храњење
👨🏽‍🍼	беба, дојење, мушкарац, мушкарац храни бебу, мушкарац храни бебу: ни светла ни тамна кожа, ни светла ни тамна кожа, храњење
👨🏾‍🍼	беба, дојење, мушкарац, мушкарац храни бебу, мушкарац храни бебу: средње тамна кожа, средње тамна кожа, храњење
👨🏿‍🍼	беба, дојење, мушкарац, мушкарац храни бебу, мушкарац храни бебу: тамна кожа, тамна кожа, храњење
🧑‍🍼	беба, дојење, особа, особа храни бебу, храњење
🧑🏻‍🍼	беба, дојење, особа, особа храни бебу, особа храни бебу: светла кожа, светла кожа, храњење
🧑🏼‍🍼	беба, дојење, особа, особа храни бебу, особа храни бебу: средње светла кожа, средње светла кожа, храњење
🧑🏽‍🍼	беба, дојење, ни светла ни тамна кожа, особа, особа храни бебу, особа храни бебу: ни светла ни тамна кожа, храњење
🧑🏾‍🍼	беба, дојење, особа, особа храни бебу, особа храни бебу: средње тамна кожа, средње тамна кожа, храњење
🧑🏿‍🍼	беба, дојење, особа, особа храни бебу, особа храни бебу: тамна кожа, тамна кожа, храњење
👼	aнђeo, бajкa, бeбa, беба анђео, лице, мaштa
👼🏻	aнђeo, бajкa, бeбa, беба анђео, беба анђео: светла кожа, лице, мaштa, светла кожа
👼🏼	aнђeo, бajкa, бeбa, беба анђео, беба анђео: средње светла кожа, лице, мaштa, средње светла кожа
👼🏽	aнђeo, бajкa, бeбa, беба анђео, беба анђео: ни светла ни тамна кожа, лице, мaштa, ни светла ни тамна кожа
👼🏾	aнђeo, бajкa, бeбa, беба анђео, беба анђео: средње тамна кожа, лице, мaштa, средње тамна кожа
👼🏿	aнђeo, бajкa, бeбa, беба анђео, беба анђео: тамна кожа, лице, мaштa, тамна кожа
🎅	Деда Мраз, бajкa, бoжић, бoжић бата, дeда мрaз, прослава
🎅🏻	Деда Мраз, Деда Мраз: светла кожа, бajкa, бoжић, бoжић бата, дeда мрaз, прослава, светла кожа
🎅🏼	Деда Мраз, Деда Мраз: средње светла кожа, бajкa, бoжић, бoжић бата, дeда мрaз, прослава, средње светла кожа
🎅🏽	Деда Мраз, Деда Мраз: ни светла ни тамна кожа, бajкa, бoжић, бoжић бата, дeда мрaз, ни светла ни тамна кожа, прослава
🎅🏾	Деда Мраз, Деда Мраз: средње тамна кожа, бajкa, бoжић, бoжић бата, дeда мрaз, прослава, средње тамна кожа
🎅🏿	Деда Мраз, Деда Мраз: тамна кожа, бajкa, бoжић, бoжић бата, дeда мрaз, прослава, тамна кожа
🤶	бака, бака Мраз, божић, мраз
🤶🏻	бака, бака Мраз, бака Мраз: светла кожа, божић, мраз, светла кожа
🤶🏼	бака, бака Мраз, бака Мраз: средње светла кожа, божић, мраз, средње светла кожа
🤶🏽	бака, бака Мраз, бака Мраз: ни светла ни тамна кожа, божић, мраз, ни светла ни тамна кожа
🤶🏾	бака, бака Мраз, бака Мраз: средње тамна кожа, божић, мраз, средње тамна кожа
🤶🏿	бака, бака Мраз, бака Мраз: тамна кожа, божић, мраз, тамна кожа
🧑‍🎄	Мраз, Божић, особа Мраз
🧑🏻‍🎄	Мраз, Божић, особа Мраз, особа Мраз: светла кожа, светла кожа
🧑🏼‍🎄	Мраз, Божић, особа Мраз, особа Мраз: средње светла кожа, средње светла кожа
🧑🏽‍🎄	Мраз, Божић, ни светла ни тамна кожа, особа Мраз, особа Мраз: ни светла ни тамна кожа
🧑🏾‍🎄	Мраз, Божић, особа Мраз, особа Мраз: средње тамна кожа, средње тамна кожа
🧑🏿‍🎄	Мраз, Божић, особа Мраз, особа Мраз: тамна кожа, тамна кожа
🦸	добро, супер моћ, супер херој, херој
🦸🏻	добро, светла кожа, супер моћ, супер херој, супер херој: светла кожа, херој
🦸🏼	добро, средње светла кожа, супер моћ, супер херој, супер херој: средње светла кожа, херој
🦸🏽	добро, ни светла ни тамна кожа, супер моћ, супер херој, супер херој: ни светла ни тамна кожа, херој
🦸🏾	добро, средње тамна кожа, супер моћ, супер херој, супер херој: средње тамна кожа, херој
🦸🏿	добро, супер моћ, супер херој, супер херој: тамна кожа, тамна кожа, херој
🦸‍♂	добро, мушкарац, мушкарац супер херој, супер моћ, херој
🦸🏻‍♂	добро, мушкарац, мушкарац супер херој, мушкарац супер херој: светла кожа, светла кожа, супер моћ, херој
🦸🏼‍♂	добро, мушкарац, мушкарац супер херој, мушкарац супер херој: средње светла кожа, средње светла кожа, супер моћ, херој
🦸🏽‍♂	добро, мушкарац, мушкарац супер херој, мушкарац супер херој: ни светла ни тамна кожа, ни светла ни тамна кожа, супер моћ, херој
🦸🏾‍♂	добро, мушкарац, мушкарац супер херој, мушкарац супер херој: средње тамна кожа, средње тамна кожа, супер моћ, херој
🦸🏿‍♂	добро, мушкарац, мушкарац супер херој, мушкарац супер херој: тамна кожа, супер моћ, тамна кожа, херој
🦸‍♀	добро, жена, жена супер херој, супер моћ, хероина
🦸🏻‍♀	добро, жена, жена супер херој, жена супер херој: светла кожа, светла кожа, супер моћ, хероина
🦸🏼‍♀	добро, жена, жена супер херој, жена супер херој: средње светла кожа, средње светла кожа, супер моћ, хероина
🦸🏽‍♀	добро, жена, жена супер херој, жена супер херој: ни светла ни тамна кожа, ни светла ни тамна кожа, супер моћ, хероина
🦸🏾‍♀	добро, жена, жена супер херој, жена супер херој: средње тамна кожа, средње тамна кожа, супер моћ, хероина
🦸🏿‍♀	добро, жена, жена супер херој, жена супер херој: тамна кожа, супер моћ, тамна кожа, хероина
🦹	зло, злочинац, криминал, негативац, супер моћ
🦹🏻	зло, злочинац, криминал, негативац, негативац: светла кожа, светла кожа, супер моћ
🦹🏼	зло, злочинац, криминал, негативац, негативац: средње светла кожа, средње светла кожа, супер моћ
🦹🏽	зло, злочинац, криминал, негативац, негативац: ни светла ни тамна кожа, ни светла ни тамна кожа, супер моћ
🦹🏾	зло, злочинац, криминал, негативац, негативац: средње тамна кожа, средње тамна кожа, супер моћ
🦹🏿	зло, злочинац, криминал, негативац, негативац: тамна кожа, супер моћ, тамна кожа
🦹‍♂	зло, криминал, мушкарац, мушкарац негативац, негативац, супер моћ
🦹🏻‍♂	зло, криминал, мушкарац, мушкарац негативац: светла кожа, негативац, светла кожа, супер моћ
🦹🏼‍♂	зло, криминал, мушкарац, мушкарац негативац: средње светла кожа, негативац, средње светла кожа, супер моћ
🦹🏽‍♂	зло, криминал, мушкарац, мушкарац негативац: ни светла ни тамна кожа, негативац, ни светла ни тамна кожа, супер моћ
🦹🏾‍♂	зло, криминал, мушкарац, мушкарац негативац: средње тамна кожа, негативац, средње тамна кожа, супер моћ
🦹🏿‍♂	зло, криминал, мушкарац, мушкарац негативац: тамна кожа, негативац, супер моћ, тамна кожа
🦹‍♀	жена, жена негативац, зло, злочинац, криминал, супер моћ
🦹🏻‍♀	жена, жена негативац, жена негативац: светла кожа, зло, злочинац, криминал, светла кожа, супер моћ
🦹🏼‍♀	жена, жена негативац, жена негативац: средње светла кожа, зло, злочинац, криминал, средње светла кожа, супер моћ
🦹🏽‍♀	жена, жена негативац, жена негативац: ни светла ни тамна кожа, зло, злочинац, криминал, ни светла ни тамна кожа, супер моћ
🦹🏾‍♀	жена, жена негативац, жена негативац: средње тамна кожа, зло, злочинац, криминал, средње тамна кожа, супер моћ
🦹🏿‍♀	жена, жена негативац, жена негативац: тамна кожа, зло, злочинац, криминал, супер моћ, тамна кожа
🧙	вештица, маг, чаробњак
🧙🏻	вештица, маг, маг: светла кожа, светла кожа, чаробњак
🧙🏼	вештица, маг, маг: средње светла кожа, средње светла кожа, чаробњак
🧙🏽	вештица, маг, маг: ни светла ни тамна кожа, ни светла ни тамна кожа, чаробњак
🧙🏾	вештица, маг, маг: средње тамна кожа, средње тамна кожа, чаробњак
🧙🏿	вештица, маг, маг: тамна кожа, тамна кожа, чаробњак
🧙‍♂	вештац, чаробњак
🧙🏻‍♂	вештац, светла кожа, чаробњак, чаробњак: светла кожа
🧙🏼‍♂	вештац, средње светла кожа, чаробњак, чаробњак: средње светла кожа
🧙🏽‍♂	вештац, ни светла ни тамна кожа, чаробњак, чаробњак: ни светла ни тамна кожа
🧙🏾‍♂	вештац, средње тамна кожа, чаробњак, чаробњак: средње тамна кожа
🧙🏿‍♂	вештац, тамна кожа, чаробњак, чаробњак: тамна кожа
🧙‍♀	вештица, чаробница
🧙🏻‍♀	вештица, светла кожа, чаробница, чаробница: светла кожа
🧙🏼‍♀	вештица, средње светла кожа, чаробница, чаробница: средње светла кожа
🧙🏽‍♀	вештица, ни светла ни тамна кожа, чаробница, чаробница: ни светла ни тамна кожа
🧙🏾‍♀	вештица, средње тамна кожа, чаробница, чаробница: средње тамна кожа
🧙🏿‍♀	вештица, тамна кожа, чаробница, чаробница: тамна кожа
🧚	Оберон, Пак, Титанија, вила
🧚🏻	Оберон, Пак, Титанија, вила, вила: светла кожа, светла кожа
🧚🏼	Оберон, Пак, Титанија, вила, вила: средње светла кожа, средње светла кожа
🧚🏽	Оберон, Пак, Титанија, вила, вила: ни светла ни тамна кожа, ни светла ни тамна кожа
🧚🏾	Оберон, Пак, Титанија, вила, вила: средње тамна кожа, средње тамна кожа
🧚🏿	Оберон, Пак, Титанија, вила, вила: тамна кожа, тамна кожа
🧚‍♂	Оберон, Пак, вилењак
🧚🏻‍♂	Оберон, Пак, вилењак, вилењак: светла кожа, светла кожа
🧚🏼‍♂	Оберон, Пак, вилењак, вилењак: средње светла кожа, средње светла кожа
🧚🏽‍♂	Оберон, Пак, вилењак, вилењак: ни светла ни тамна кожа, ни светла ни тамна кожа
🧚🏾‍♂	Оберон, Пак, вилењак, вилењак: средње тамна кожа, средње тамна кожа
🧚🏿‍♂	Оберон, Пак, вилењак, вилењак: тамна кожа, тамна кожа
🧚‍♀	Титанија, жена вила
🧚🏻‍♀	Титанија, жена вила, жена вила: светла кожа, светла кожа
🧚🏼‍♀	Титанија, жена вила, жена вила: средње светла кожа, средње светла кожа
🧚🏽‍♀	Титанија, жена вила, жена вила: ни светла ни тамна кожа, ни светла ни тамна кожа
🧚🏾‍♀	Титанија, жена вила, жена вила: средње тамна кожа, средње тамна кожа
🧚🏿‍♀	Титанија, жена вила, жена вила: тамна кожа, тамна кожа
🧛	Дракула, вампир, повампирен
🧛🏻	Дракула, вампир, вампир: светла кожа, повампирен, светла кожа
🧛🏼	Дракула, вампир, вампир: средње светла кожа, повампирен, средње светла кожа
🧛🏽	Дракула, вампир, вампир: ни светла ни тамна кожа, ни светла ни тамна кожа, повампирен
🧛🏾	Дракула, вампир, вампир: средње тамна кожа, повампирен, средње тамна кожа
🧛🏿	Дракула, вампир, вампир: тамна кожа, повампирен, тамна кожа
🧛‍♂	Дракула, мушки вампир, повампирен
🧛🏻‍♂	Дракула, мушки вампир, мушки вампир: светла кожа, повампирен, светла кожа
🧛🏼‍♂	Дракула, мушки вампир, мушки вампир: средње светла кожа, повампирен, средње светла кожа
🧛🏽‍♂	Дракула, мушки вампир, мушки вампир: ни светла ни тамна кожа, ни светла ни тамна кожа, повампирен
🧛🏾‍♂	Дракула, мушки вампир, мушки вампир: средње тамна кожа, повампирен, средње тамна кожа
🧛🏿‍♂	Дракула, мушки вампир, мушки вампир: тамна кожа, повампирен, тамна кожа
🧛‍♀	женски вампир, повампирен
🧛🏻‍♀	женски вампир, женски вампир: светла кожа, повампирен, светла кожа
🧛🏼‍♀	женски вампир, женски вампир: средње светла кожа, повампирен, средње светла кожа
🧛🏽‍♀	женски вампир, женски вампир: ни светла ни тамна кожа, ни светла ни тамна кожа, повампирен
🧛🏾‍♀	женски вампир, женски вампир: средње тамна кожа, повампирен, средње тамна кожа
🧛🏿‍♀	женски вампир, женски вампир: тамна кожа, повампирен, тамна кожа
🧜	особа из мора, сирена
🧜🏻	особа из мора, особа из мора: светла кожа, светла кожа, сирена
🧜🏼	особа из мора, особа из мора: средње светла кожа, сирена, средње светла кожа
🧜🏽	ни светла ни тамна кожа, особа из мора, особа из мора: ни светла ни тамна кожа, сирена
🧜🏾	особа из мора, особа из мора: средње тамна кожа, сирена, средње тамна кожа
🧜🏿	особа из мора, особа из мора: тамна кожа, сирена, тамна кожа
🧜‍♂	Тритон, мушкарац из мора
🧜🏻‍♂	Тритон, мушкарац из мора, мушкарац из мора: светла кожа, светла кожа
🧜🏼‍♂	Тритон, мушкарац из мора, мушкарац из мора: средње светла кожа, средње светла кожа
🧜🏽‍♂	Тритон, мушкарац из мора, мушкарац из мора: ни светла ни тамна кожа, ни светла ни тамна кожа
🧜🏾‍♂	Тритон, мушкарац из мора, мушкарац из мора: средње тамна кожа, средње тамна кожа
🧜🏿‍♂	Тритон, мушкарац из мора, мушкарац из мора: тамна кожа, тамна кожа
🧜‍♀	жена из мора, сирена
🧜🏻‍♀	жена из мора, светла кожа, сирена, сирена: светла кожа
🧜🏼‍♀	жена из мора, сирена, сирена: средње светла кожа, средње светла кожа
🧜🏽‍♀	жена из мора, ни светла ни тамна кожа, сирена, сирена: ни светла ни тамна кожа
🧜🏾‍♀	жена из мора, сирена, сирена: средње тамна кожа, средње тамна кожа
🧜🏿‍♀	жена из мора, сирена, сирена: тамна кожа, тамна кожа
🧝	виловњак, магично
🧝🏻	виловњак, виловњак: светла кожа, магично, светла кожа
🧝🏼	виловњак, виловњак: средње светла кожа, магично, средње светла кожа
🧝🏽	виловњак, виловњак: ни светла ни тамна кожа, магично, ни светла ни тамна кожа
🧝🏾	виловњак, виловњак: средње тамна кожа, магично, средње тамна кожа
🧝🏿	виловњак, виловњак: тамна кожа, магично, тамна кожа
🧝‍♂	магичан мушкарац, мушкарац виловњак
🧝🏻‍♂	магичан мушкарац, мушкарац виловњак, мушкарац виловњак: светла кожа, светла кожа
🧝🏼‍♂	магичан мушкарац, мушкарац виловњак, мушкарац виловњак: средње светла кожа, средње светла кожа
🧝🏽‍♂	магичан мушкарац, мушкарац виловњак, мушкарац виловњак: ни светла ни тамна кожа, ни светла ни тамна кожа
🧝🏾‍♂	магичан мушкарац, мушкарац виловњак, мушкарац виловњак: средње тамна кожа, средње тамна кожа
🧝🏿‍♂	магичан мушкарац, мушкарац виловњак, мушкарац виловњак: тамна кожа, тамна кожа
🧝‍♀	жена виловњак, магична жена
🧝🏻‍♀	жена виловњак, жена виловњак: светла кожа, магична жена, светла кожа
🧝🏼‍♀	жена виловњак, жена виловњак: средње светла кожа, магична жена, средње светла кожа
🧝🏽‍♀	жена виловњак, жена виловњак: ни светла ни тамна кожа, магична жена, ни светла ни тамна кожа
🧝🏾‍♀	жена виловњак, жена виловњак: средње тамна кожа, магична жена, средње тамна кожа
🧝🏿‍♀	жена виловњак, жена виловњак: тамна кожа, магична жена, тамна кожа
🧞	добри дух, џин
🧞‍♂	мушки добри дух, мушки џин
🧞‍♀	женски добри дух, женски џин
🧟	зомби, повампирен, ходајући мртвац
🧟‍♂	мушкарац зомби, повампирена, ходајућа мртвакиња
🧟‍♀	жена зомби, повампирен, ходајући мртвац
🧌	бајка, трол, фантазија, чудовиште
💆	лице, мaсaжa, масажа лица, сaлoн
💆🏻	лице, мaсaжa, масажа лица, масажа лица: светла кожа, сaлoн, светла кожа
💆🏼	лице, мaсaжa, масажа лица, масажа лица: средње светла кожа, сaлoн, средње светла кожа
💆🏽	лице, мaсaжa, масажа лица, масажа лица: ни светла ни тамна кожа, ни светла ни тамна кожа, сaлoн
💆🏾	лице, мaсaжa, масажа лица, масажа лица: средње тамна кожа, сaлoн, средње тамна кожа
💆🏿	лице, мaсaжa, масажа лица, масажа лица: тамна кожа, сaлoн, тамна кожа
💆‍♂	лице, масажа, мушка масажа лица, мушкарац, салон
💆🏻‍♂	лице, масажа, мушка масажа лица, мушка масажа лица: светла кожа, мушкарац, салон, светла кожа
💆🏼‍♂	лице, масажа, мушка масажа лица, мушка масажа лица: средње светла кожа, мушкарац, салон, средње светла кожа
💆🏽‍♂	лице, масажа, мушка масажа лица, мушка масажа лица: ни светла ни тамна кожа, мушкарац, ни светла ни тамна кожа, салон
💆🏾‍♂	лице, масажа, мушка масажа лица, мушка масажа лица: средње тамна кожа, мушкарац, салон, средње тамна кожа
💆🏿‍♂	лице, масажа, мушка масажа лица, мушка масажа лица: тамна кожа, мушкарац, салон, тамна кожа
💆‍♀	жена, женска масажа лица, лице, масажа, салон
💆🏻‍♀	жена, женска масажа лица, женска масажа лица: светла кожа, лице, масажа, салон, светла кожа
💆🏼‍♀	жена, женска масажа лица, женска масажа лица: средње светла кожа, лице, масажа, салон, средње светла кожа
💆🏽‍♀	жена, женска масажа лица, женска масажа лица: ни светла ни тамна кожа, лице, масажа, ни светла ни тамна кожа, салон
💆🏾‍♀	жена, женска масажа лица, женска масажа лица: средње тамна кожа, лице, масажа, салон, средње тамна кожа
💆🏿‍♀	жена, женска масажа лица, женска масажа лица: тамна кожа, лице, масажа, салон, тамна кожа
💇	сaлoн, улeпшaвaњe, фризeр, шишање
💇🏻	сaлoн, светла кожа, улeпшaвaњe, фризeр, шишање, шишање: светла кожа
💇🏼	сaлoн, средње светла кожа, улeпшaвaњe, фризeр, шишање, шишање: средње светла кожа
💇🏽	ни светла ни тамна кожа, сaлoн, улeпшaвaњe, фризeр, шишање, шишање: ни светла ни тамна кожа
💇🏾	сaлoн, средње тамна кожа, улeпшaвaњe, фризeр, шишање, шишање: средње тамна кожа
💇🏿	сaлoн, тамна кожа, улeпшaвaњe, фризeр, шишање, шишање: тамна кожа
💇‍♂	мушкарац, мушко шишање, салон, улепшавање, фризер
💇🏻‍♂	мушкарац, мушко шишање, мушко шишање: светла кожа, салон, светла кожа, улепшавање, фризер
💇🏼‍♂	мушкарац, мушко шишање, мушко шишање: средње светла кожа, салон, средње светла кожа, улепшавање, фризер
💇🏽‍♂	мушкарац, мушко шишање, мушко шишање: ни светла ни тамна кожа, ни светла ни тамна кожа, салон, улепшавање, фризер
💇🏾‍♂	мушкарац, мушко шишање, мушко шишање: средње тамна кожа, салон, средње тамна кожа, улепшавање, фризер
💇🏿‍♂	мушкарац, мушко шишање, мушко шишање: тамна кожа, салон, тамна кожа, улепшавање, фризер
💇‍♀	жена, женско шишање, салон, улепшавање, фризер
💇🏻‍♀	жена, женско шишање, женско шишање: светла кожа, салон, светла кожа, улепшавање, фризер
💇🏼‍♀	жена, женско шишање, женско шишање: средње светла кожа, салон, средње светла кожа, улепшавање, фризер
💇🏽‍♀	жена, женско шишање, женско шишање: ни светла ни тамна кожа, ни светла ни тамна кожа, салон, улепшавање, фризер
💇🏾‍♀	жена, женско шишање, женско шишање: средње тамна кожа, салон, средње тамна кожа, улепшавање, фризер
💇🏿‍♀	жена, женско шишање, женско шишање: тамна кожа, салон, тамна кожа, улепшавање, фризер
🚶	пешак, хoдaњe, шeтaњe
🚶🏻	пешак, пешак: светла кожа, светла кожа, хoдaњe, шeтaњe
🚶🏼	пешак, пешак: средње светла кожа, средње светла кожа, хoдaњe, шeтaњe
🚶🏽	ни светла ни тамна кожа, пешак, пешак: ни светла ни тамна кожа, хoдaњe, шeтaњe
🚶🏾	пешак, пешак: средње тамна кожа, средње тамна кожа, хoдaњe, шeтaњe
🚶🏿	пешак, пешак: тамна кожа, тамна кожа, хoдaњe, шeтaњe
🚶‍♂	мушкарац, мушкарац хода, ходање, шетање
🚶🏻‍♂	мушкарац, мушкарац хода, мушкарац хода: светла кожа, светла кожа, ходање, шетање
🚶🏼‍♂	мушкарац, мушкарац хода, мушкарац хода: средње светла кожа, средње светла кожа, ходање, шетање
🚶🏽‍♂	мушкарац, мушкарац хода, мушкарац хода: ни светла ни тамна кожа, ни светла ни тамна кожа, ходање, шетање
🚶🏾‍♂	мушкарац, мушкарац хода, мушкарац хода: средње тамна кожа, средње тамна кожа, ходање, шетање
🚶🏿‍♂	мушкарац, мушкарац хода, мушкарац хода: тамна кожа, тамна кожа, ходање, шетање
🚶‍♀	жена, жена хода, ходање, шетање
🚶🏻‍♀	жена, жена хода, жена хода: светла кожа, светла кожа, ходање, шетање
🚶🏼‍♀	жена, жена хода, жена хода: средње светла кожа, средње светла кожа, ходање, шетање
🚶🏽‍♀	жена, жена хода, жена хода: ни светла ни тамна кожа, ни светла ни тамна кожа, ходање, шетање
🚶🏾‍♀	жена, жена хода, жена хода: средње тамна кожа, средње тамна кожа, ходање, шетање
🚶🏿‍♀	жена, жена хода, жена хода: тамна кожа, тамна кожа, ходање, шетање
🧍	особа стоји, стајати, стајање
🧍🏻	особа стоји, особа стоји: светла кожа, светла кожа, стајати, стајање
🧍🏼	особа стоји, особа стоји: средње светла кожа, средње светла кожа, стајати, стајање
🧍🏽	ни светла ни тамна кожа, особа стоји, особа стоји: ни светла ни тамна кожа, стајати, стајање
🧍🏾	особа стоји, особа стоји: средње тамна кожа, средње тамна кожа, стајати, стајање
🧍🏿	особа стоји, особа стоји: тамна кожа, стајати, стајање, тамна кожа
🧍‍♂	стоји, човек, човек стоји
🧍🏻‍♂	светла кожа, стоји, човек, човек стоји: светла кожа
🧍🏼‍♂	средње светла кожа, стоји, човек, човек стоји: средње светла кожа
🧍🏽‍♂	ни светла ни тамна кожа, стоји, човек, човек стоји: ни светла ни тамна кожа
🧍🏾‍♂	средње тамна кожа, стоји, човек, човек стоји: средње тамна кожа
🧍🏿‍♂	стоји, тамна кожа, човек, човек стоји: тамна кожа
🧍‍♀	жена, жена стоји, стоји
🧍🏻‍♀	жена, жена стоји: светла кожа, светла кожа, стоји
🧍🏼‍♀	жена, жена стоји: средње светла кожа, средње светла кожа, стоји
🧍🏽‍♀	жена, жена стоји: ни светла ни тамна кожа, ни светла ни тамна кожа, стоји
