😀	išsišiepti, išsišiepęs veidas, veidas
🧝🏿‍♀	6 odos tipas, elfė, elfė: 6 odos tipas, magiška
🧞	dvasia, džinas
🧞‍♂	džinas
🧞‍♀	džinė
🧟	nemirtingas, vaikštantis numirėlis, zombis
🧟‍♂	nemirtingas, vaikštantis numirėlis, zombis vyras
🧟‍♀	nemirtinga, vaikštanti numirėlė, zombė
💆	masažas, salonas, veidas, veido masažas
💆🏻	1 ir 2 odos tipai, masažas, salonas, veidas, veido masažas, veido masažas: 1 ir 2 odos tipai
💆🏼	3 odos tipas, masažas, salonas, veidas, veido masažas, veido masažas: 3 odos tipas
💆🏽	4 odos tipas, masažas, salonas, veidas, veido masažas, veido masažas: 4 odos tipas
💆🏾	5 odos tipas, masažas, salonas, veidas, veido masažas, veido masažas: 5 odos tipas
💆🏿	6 odos tipas, masažas, salonas, veidas, veido masažas, veido masažas: 6 odos tipas
💆‍♂	masažas, masažuojama vyro galva, veidas, vyras
💆🏻‍♂	1 ir 2 odos tipai, masažas, masažuojama vyro galva, masažuojama vyro galva: 1 ir 2 odos tipai, veidas, vyras
💆🏼‍♂	3 odos tipas, masažas, masažuojama vyro galva, masažuojama vyro galva: 3 odos tipas, veidas, vyras
💆🏽‍♂	4 odos tipas, masažas, masažuojama vyro galva, masažuojama vyro galva: 4 odos tipas, veidas, vyras
💆🏾‍♂	5 odos tipas, masažas, masažuojama vyro galva, masažuojama vyro galva: 5 odos tipas, veidas, vyras
💆🏿‍♂	6 odos tipas, masažas, masažuojama vyro galva, masažuojama vyro galva: 6 odos tipas, veidas, vyras
💆‍♀	masažas, masažuojama moters galva, moteris, veidas
💆🏻‍♀	1 ir 2 odos tipai, masažas, masažuojama moters galva, masažuojama moters galva: 1 ir 2 odos tipai, moteris, veidas
💆🏼‍♀	3 odos tipas, masažas, masažuojama moters galva, masažuojama moters galva: 3 odos tipas, moteris, veidas
💆🏽‍♀	4 odos tipas, masažas, masažuojama moters galva, masažuojama moters galva: 4 odos tipas, moteris, veidas
💆🏾‍♀	5 odos tipas, masažas, masažuojama moters galva, masažuojama moters galva: 5 odos tipas, moteris, veidas
💆🏿‍♀	6 odos tipas, masažas, masažuojama moters galva, masažuojama moters galva: 6 odos tipas, moteris, veidas
💇	apkerpamas žmogus, grožis, kirpėjas, salonas, šukuosena
💇🏻	1 ir 2 odos tipai, apkerpamas žmogus, apkerpamas žmogus: 1 ir 2 odos tipai, grožis, kirpėjas, salonas, šukuosena
💇🏼	3 odos tipas, apkerpamas žmogus, apkerpamas žmogus: 3 odos tipas, grožis, kirpėjas, salonas, šukuosena
💇🏽	4 odos tipas, apkerpamas žmogus, apkerpamas žmogus: 4 odos tipas, grožis, kirpėjas, salonas, šukuosena
💇🏾	5 odos tipas, apkerpamas žmogus, apkerpamas žmogus: 5 odos tipas, grožis, kirpėjas, salonas, šukuosena
💇🏿	6 odos tipas, apkerpamas žmogus, apkerpamas žmogus: 6 odos tipas, grožis, kirpėjas, salonas, šukuosena
💇‍♂	apkerpamas vyras, kirpimas, vyras
💇🏻‍♂	1 ir 2 odos tipai, apkerpamas vyras, apkerpamas vyras: 1 ir 2 odos tipai, kirpimas, vyras
💇🏼‍♂	3 odos tipas, apkerpamas vyras, apkerpamas vyras: 3 odos tipas, kirpimas, vyras
💇🏽‍♂	4 odos tipas, apkerpamas vyras, apkerpamas vyras: 4 odos tipas, kirpimas, vyras
💇🏾‍♂	5 odos tipas, apkerpamas vyras, apkerpamas vyras: 5 odos tipas, kirpimas, vyras
💇🏿‍♂	6 odos tipas, apkerpamas vyras, apkerpamas vyras: 6 odos tipas, kirpimas, vyras
💇‍♀	apkerpama moteris, kirpimas, moteris
💇🏻‍♀	1 ir 2 odos tipai, apkerpama moteris, apkerpama moteris: 1 ir 2 odos tipai, kirpimas, moteris
💇🏼‍♀	3 odos tipas, apkerpama moteris, apkerpama moteris: 3 odos tipas, kirpimas, moteris
💇🏽‍♀	4 odos tipas, apkerpama moteris, apkerpama moteris: 4 odos tipas, kirpimas, moteris
💇🏾‍♀	5 odos tipas, apkerpama moteris, apkerpama moteris: 5 odos tipas, kirpimas, moteris
💇🏿‍♀	6 odos tipas, apkerpama moteris, apkerpama moteris: 6 odos tipas, kirpimas, moteris
🚶	pėstysis, vaikščiojimas, vaikščioti, ėjimas
🚶🏻	1 ir 2 odos tipai, pėstysis, pėstysis: 1 ir 2 odos tipai, vaikščiojimas, vaikščioti, ėjimas
🚶🏼	3 odos tipas, pėstysis, pėstysis: 3 odos tipas, vaikščiojimas, vaikščioti, ėjimas
🚶🏽	4 odos tipas, pėstysis, pėstysis: 4 odos tipas, vaikščiojimas, vaikščioti, ėjimas
🚶🏾	5 odos tipas, pėstysis, pėstysis: 5 odos tipas, vaikščiojimas, vaikščioti, ėjimas
🚶🏿	6 odos tipas, pėstysis, pėstysis: 6 odos tipas, vaikščiojimas, vaikščioti, ėjimas
🚶‍♂	einantis vyras, eiti, vyras, žygiuoti
🚶🏻‍♂	1 ir 2 odos tipai, einantis vyras, einantis vyras: 1 ir 2 odos tipai, eiti, vyras, žygiuoti
🚶🏼‍♂	3 odos tipas, einantis vyras, einantis vyras: 3 odos tipas, eiti, vyras, žygiuoti
🚶🏽‍♂	4 odos tipas, einantis vyras, einantis vyras: 4 odos tipas, eiti, vyras, žygiuoti
🚶🏾‍♂	5 odos tipas, einantis vyras, einantis vyras: 5 odos tipas, eiti, vyras, žygiuoti
🚶🏿‍♂	6 odos tipas, einantis vyras, einantis vyras: 6 odos tipas, eiti, vyras, žygiuoti
🚶‍♀	einanti moteris, eiti, moteris, žygiuoti
🚶🏻‍♀	1 ir 2 odos tipai, einanti moteris, einanti moteris: 1 ir 2 odos tipai, eiti, moteris, žygiuoti
🚶🏼‍♀	3 odos tipas, einanti moteris, einanti moteris: 3 odos tipas, eiti, moteris, žygiuoti
🚶🏽‍♀	4 odos tipas, einanti moteris, einanti moteris: 4 odos tipas, eiti, moteris, žygiuoti
🚶🏾‍♀	5 odos tipas, einanti moteris, einanti moteris: 5 odos tipas, eiti, moteris, žygiuoti
🚶🏿‍♀	6 odos tipas, einanti moteris, einanti moteris: 6 odos tipas, eiti, moteris, žygiuoti
🏃	bėgikas, bėgiojimas, maratonas
🏃🏻	1 ir 2 odos tipai, bėgikas, bėgikas: 1 ir 2 odos tipai, bėgiojimas, maratonas
🏃🏼	3 odos tipas, bėgikas, bėgikas: 3 odos tipas, bėgiojimas, maratonas
🏃🏽	4 odos tipas, bėgikas, bėgikas: 4 odos tipas, bėgiojimas, maratonas
🏃🏾	5 odos tipas, bėgikas, bėgikas: 5 odos tipas, bėgiojimas, maratonas
🏃🏿	6 odos tipas, bėgikas, bėgikas: 6 odos tipas, bėgiojimas, maratonas
🏃‍♂	bėgantis vyras, bėgimas, lenktynės, maratonas, vyras
🏃🏻‍♂	1 ir 2 odos tipai, bėgantis vyras, bėgantis vyras: 1 ir 2 odos tipai, bėgimas, lenktynės, maratonas, vyras
🏃🏼‍♂	3 odos tipas, bėgantis vyras, bėgantis vyras: 3 odos tipas, bėgimas, lenktynės, maratonas, vyras
🏃🏽‍♂	4 odos tipas, bėgantis vyras, bėgantis vyras: 4 odos tipas, bėgimas, lenktynės, maratonas, vyras
🏃🏾‍♂	5 odos tipas, bėgantis vyras, bėgantis vyras: 5 odos tipas, bėgimas, lenktynės, maratonas, vyras
🏃🏿‍♂	6 odos tipas, bėgantis vyras, bėgantis vyras: 6 odos tipas, bėgimas, lenktynės, maratonas, vyras
🏃‍♀	bėganti moteris, bėgimas, lenktynės, maratonas, moteris
🏃🏻‍♀	1 ir 2 odos tipai, bėganti moteris, bėganti moteris: 1 ir 2 odos tipai, bėgimas, lenktynės, maratonas, moteris
🏃🏼‍♀	3 odos tipas, bėganti moteris, bėganti moteris: 3 odos tipas, bėgimas, lenktynės, maratonas, moteris
🏃🏽‍♀	4 odos tipas, bėganti moteris, bėganti moteris: 4 odos tipas, bėgimas, lenktynės, maratonas, moteris
🏃🏾‍♀	5 odos tipas, bėganti moteris, bėganti moteris: 5 odos tipas, bėgimas, lenktynės, maratonas, moteris
🏃🏿‍♀	6 odos tipas, bėganti moteris, bėganti moteris: 6 odos tipas, bėgimas, lenktynės, maratonas, moteris
💃	moteris, šokanti moteris, šokis
💃🏻	1 ir 2 odos tipai, moteris, šokanti moteris, šokanti moteris: 1 ir 2 odos tipai, šokis
💃🏼	3 odos tipas, moteris, šokanti moteris, šokanti moteris: 3 odos tipas, šokis
💃🏽	4 odos tipas, moteris, šokanti moteris, šokanti moteris: 4 odos tipas, šokis
💃🏾	5 odos tipas, moteris, šokanti moteris, šokanti moteris: 5 odos tipas, šokis
💃🏿	6 odos tipas, moteris, šokanti moteris, šokanti moteris: 6 odos tipas, šokis
🕺	vyras, šokantis vyras, šokis
🕺🏻	1 ir 2 odos tipai, vyras, šokantis vyras, šokantis vyras: 1 ir 2 odos tipai, šokis
🕺🏼	3 odos tipas, vyras, šokantis vyras, šokantis vyras: 3 odos tipas, šokis
🕺🏽	4 odos tipas, vyras, šokantis vyras, šokantis vyras: 4 odos tipas, šokis
🕺🏾	5 odos tipas, vyras, šokantis vyras, šokantis vyras: 5 odos tipas, šokis
🕺🏿	6 odos tipas, vyras, šokantis vyras, šokantis vyras: 6 odos tipas, šokis
🕴️	kostiumas, verslas, vyras, į orą kylantis vyras su kostiumu
🕴🏻	1 ir 2 odos tipai, kostiumas, verslas, vyras, į orą kylantis vyras su kostiumu, į orą kylantis vyras su kostiumu: 1 ir 2 odos tipai
🕴🏼	3 odos tipas, kostiumas, verslas, vyras, į orą kylantis vyras su kostiumu, į orą kylantis vyras su kostiumu: 3 odos tipas
🕴🏽	4 odos tipas, kostiumas, verslas, vyras, į orą kylantis vyras su kostiumu, į orą kylantis vyras su kostiumu: 4 odos tipas
🕴🏾	5 odos tipas, kostiumas, verslas, vyras, į orą kylantis vyras su kostiumu, į orą kylantis vyras su kostiumu: 5 odos tipas
🕴🏿	6 odos tipas, kostiumas, verslas, vyras, į orą kylantis vyras su kostiumu, į orą kylantis vyras su kostiumu: 6 odos tipas
👯	ausys, besilinksminančios moterys, merginos, moterys, zuikutis, šokėjos
👯‍♂	iškio ausytės, vakarėlis, vakarėlyje dalyvaujantys vyrai, vyrai, šokėjas
👯‍♀	kiškio ausytės, moteris, moterys, vakarėlis, vakarėlyje dalyvaujančios moterys, šokėja
🧖	asmuo garų kambaryje, garų kambarys, sauna
🧖🏻	1 ir 2 odos tipai, asmuo garų kambaryje, asmuo garų kambaryje: 1 ir 2 odos tipai, garų kambarys, sauna
🧖🏼	3 odos tipas, asmuo garų kambaryje, asmuo garų kambaryje: 3 odos tipas, garų kambarys, sauna
🧖🏽	4 odos tipas, asmuo garų kambaryje, asmuo garų kambaryje: 4 odos tipas, garų kambarys, sauna
🧖🏾	5 odos tipas, asmuo garų kambaryje, asmuo garų kambaryje: 5 odos tipas, garų kambarys, sauna
🧖🏿	6 odos tipas, asmuo garų kambaryje, asmuo garų kambaryje: 6 odos tipas, garų kambarys, sauna
🧖‍♂	garų kambarys, sauna, vyras garų kambaryje
🧖🏻‍♂	1 ir 2 odos tipai, garų kambarys, sauna, vyras garų kambaryje, vyras garų kambaryje: 1 ir 2 odos tipai
🧖🏼‍♂	3 odos tipas, garų kambarys, sauna, vyras garų kambaryje, vyras garų kambaryje: 3 odos tipas
🧖🏽‍♂	4 odos tipas, garų kambarys, sauna, vyras garų kambaryje, vyras garų kambaryje: 4 odos tipas
🧖🏾‍♂	5 odos tipas, garų kambarys, sauna, vyras garų kambaryje, vyras garų kambaryje: 5 odos tipas
🧖🏿‍♂	6 odos tipas, garų kambarys, sauna, vyras garų kambaryje, vyras garų kambaryje: 6 odos tipas
🧖‍♀	garų kambarys, moteris garų kambaryje, sauna
🧖🏻‍♀	1 ir 2 odos tipai, garų kambarys, moteris garų kambaryje, moteris garų kambaryje: 1 ir 2 odos tipai, sauna
🧖🏼‍♀	3 odos tipas, garų kambarys, moteris garų kambaryje, moteris garų kambaryje: 3 odos tipas, sauna
🧖🏽‍♀	4 odos tipas, garų kambarys, moteris garų kambaryje, moteris garų kambaryje: 4 odos tipas, sauna
🧖🏾‍♀	5 odos tipas, garų kambarys, moteris garų kambaryje, moteris garų kambaryje: 5 odos tipas, sauna
🧖🏿‍♀	6 odos tipas, garų kambarys, moteris garų kambaryje, moteris garų kambaryje: 6 odos tipas, sauna
🧗	alpinistas, kopiantis žmogus
🧗🏻	1 ir 2 odos tipai, alpinistas, kopiantis žmogus, kopiantis žmogus: 1 ir 2 odos tipai
🧗🏼	3 odos tipas, alpinistas, kopiantis žmogus, kopiantis žmogus: 3 odos tipas
🧗🏽	4 odos tipas, alpinistas, kopiantis žmogus, kopiantis žmogus: 4 odos tipas
🧗🏾	5 odos tipas, alpinistas, kopiantis žmogus, kopiantis žmogus: 5 odos tipas
🧗🏿	6 odos tipas, alpinistas, kopiantis žmogus, kopiantis žmogus: 6 odos tipas
🧗‍♂	alpinistas, kopiantis vyras
🧗🏻‍♂	1 ir 2 odos tipai, alpinistas, kopiantis vyras, kopiantis vyras: 1 ir 2 odos tipai
🧗🏼‍♂	3 odos tipas, alpinistas, kopiantis vyras, kopiantis vyras: 3 odos tipas
🧗🏽‍♂	4 odos tipas, alpinistas, kopiantis vyras, kopiantis vyras: 4 odos tipas
🧗🏾‍♂	5 odos tipas, alpinistas, kopiantis vyras, kopiantis vyras: 5 odos tipas
🧗🏿‍♂	6 odos tipas, alpinistas, kopiantis vyras, kopiantis vyras: 6 odos tipas
🧗‍♀	kopianti moteris
🧗🏻‍♀	1 ir 2 odos tipai, alpinistė, kopiantis moteris, kopiantis moteris: 1 ir 2 odos tipai
🧗🏼‍♀	3 odos tipas, alpinistė, kopiantis moteris, kopiantis moteris: 3 odos tipas
🧗🏽‍♀	4 odos tipas, alpinistė, kopiantis moteris, kopiantis moteris: 4 odos tipas
🧗🏾‍♀	5 odos tipas, alpinistė, kopiantis moteris, kopiantis moteris: 5 odos tipas
🧗🏿‍♀	6 odos tipas, alpinistė, kopiantis moteris, kopiantis moteris: 6 odos tipas
🤺	fechtavimas, fechtuotojas, kardas
🏇	arklių lenktynės, arklys, jojikas, lenktynės
🏇🏻	1 ir 2 odos tipai, arklių lenktynės, arklių lenktynės: 1 ir 2 odos tipai, arklys, jojikas, lenktynės
🏇🏼	3 odos tipas, arklių lenktynės, arklių lenktynės: 3 odos tipas, arklys, jojikas, lenktynės
🏇🏽	4 odos tipas, arklių lenktynės, arklių lenktynės: 4 odos tipas, arklys, jojikas, lenktynės
🏇🏾	5 odos tipas, arklių lenktynės, arklių lenktynės: 5 odos tipas, arklys, jojikas, lenktynės
🏇🏿	6 odos tipas, arklių lenktynės, arklių lenktynės: 6 odos tipas, arklys, jojikas, lenktynės
⛷️	slidininkas, slidinėti, sniegas
🏂️	slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas
🏂🏻	1 ir 2 odos tipai, slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: 1 ir 2 odos tipai
🏂🏼	3 odos tipas, slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: 3 odos tipas
🏂🏽	4 odos tipas, slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: 4 odos tipas
🏂🏾	5 odos tipas, slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: 5 odos tipas
🏂🏿	6 odos tipas, slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas, snieglenčių sporto mėgėjas: 6 odos tipas
🏌️	golfas, golfo žaidėjas, kamuoliukas
🏌🏻	1 ir 2 odos tipai, golfas, golfo žaidėjas, golfo žaidėjas: 1 ir 2 odos tipai, kamuoliukas
🏌🏼	3 odos tipas, golfas, golfo žaidėjas, golfo žaidėjas: 3 odos tipas, kamuoliukas
🏌🏽	4 odos tipas, golfas, golfo žaidėjas, golfo žaidėjas: 4 odos tipas, kamuoliukas
🏌🏾	5 odos tipas, golfas, golfo žaidėjas, golfo žaidėjas: 5 odos tipas, kamuoliukas
🏌🏿	6 odos tipas, golfas, golfo žaidėjas, golfo žaidėjas: 6 odos tipas, kamuoliukas
🏌‍♂	golfas, golfo žaidėjas vyras, vyras
🏌🏻‍♂	1 ir 2 odos tipai, golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: 1 ir 2 odos tipai, vyras
🏌🏼‍♂	3 odos tipas, golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: 3 odos tipas, vyras
🏌🏽‍♂	4 odos tipas, golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: 4 odos tipas, vyras
🏌🏾‍♂	5 odos tipas, golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: 5 odos tipas, vyras
🏌🏿‍♂	6 odos tipas, golfas, golfo žaidėjas vyras, golfo žaidėjas vyras: 6 odos tipas, vyras
🏌‍♀	golfas, golfo žaidėja, moteris
🏌🏻‍♀	1 ir 2 odos tipai, golfas, golfo žaidėja, golfo žaidėja: 1 ir 2 odos tipai, moteris
🏌🏼‍♀	3 odos tipas, golfas, golfo žaidėja, golfo žaidėja: 3 odos tipas, moteris
🏌🏽‍♀	4 odos tipas, golfas, golfo žaidėja, golfo žaidėja: 4 odos tipas, moteris
🏌🏾‍♀	5 odos tipas, golfas, golfo žaidėja, golfo žaidėja: 5 odos tipas, moteris
🏌🏿‍♀	6 odos tipas, golfas, golfo žaidėja, golfo žaidėja: 6 odos tipas, moteris
🏄️	banglentininkas, banglenčių sportas
🏄🏻	1 ir 2 odos tipai, banglentininkas, banglentininkas: 1 ir 2 odos tipai, banglenčių sportas
🏄🏼	3 odos tipas, banglentininkas, banglentininkas: 3 odos tipas, banglenčių sportas
🏄🏽	4 odos tipas, banglentininkas, banglentininkas: 4 odos tipas, banglenčių sportas
🏄🏾	5 odos tipas, banglentininkas, banglentininkas: 5 odos tipas, banglenčių sportas
🏄🏿	6 odos tipas, banglentininkas, banglentininkas: 6 odos tipas, banglenčių sportas
🏄‍♂	banglenčių sportas, vyras, vyras banglentininkas
🏄🏻‍♂	1 ir 2 odos tipai, banglenčių sportas, vyras, vyras banglentininkas, vyras banglentininkas: 1 ir 2 odos tipai
🏄🏼‍♂	3 odos tipas, banglenčių sportas, vyras, vyras banglentininkas, vyras banglentininkas: 3 odos tipas
🏄🏽‍♂	4 odos tipas, banglenčių sportas, vyras, vyras banglentininkas, vyras banglentininkas: 4 odos tipas
🏄🏾‍♂	5 odos tipas, banglenčių sportas, vyras, vyras banglentininkas, vyras banglentininkas: 5 odos tipas
🏄🏿‍♂	6 odos tipas, banglenčių sportas, vyras, vyras banglentininkas, vyras banglentininkas: 6 odos tipas
🏄‍♀	banglentininkė, banglenčių sportas, moteris
🏄🏻‍♀	1 ir 2 odos tipai, banglentininkė, banglentininkė: 1 ir 2 odos tipai, banglenčių sportas, moteris
🏄🏼‍♀	3 odos tipas, banglentininkė, banglentininkė: 3 odos tipas, banglenčių sportas, moteris
🏄🏽‍♀	4 odos tipas, banglentininkė, banglentininkė: 4 odos tipas, banglenčių sportas, moteris
🏄🏾‍♀	5 odos tipas, banglentininkė, banglentininkė: 5 odos tipas, banglenčių sportas, moteris
🏄🏿‍♀	6 odos tipas, banglentininkė, banglentininkė: 6 odos tipas, banglenčių sportas, moteris
🚣	irkluojantis žmogus, transporto priemonė, valtis
🚣🏻	1 ir 2 odos tipai, irkluojantis žmogus, irkluojantis žmogus: 1 ir 2 odos tipai, transporto priemonė, valtis
🚣🏼	3 odos tipas, irkluojantis žmogus, irkluojantis žmogus: 3 odos tipas, transporto priemonė, valtis
🚣🏽	4 odos tipas, irkluojantis žmogus, irkluojantis žmogus: 4 odos tipas, transporto priemonė, valtis
🚣🏾	5 odos tipas, irkluojantis žmogus, irkluojantis žmogus: 5 odos tipas, transporto priemonė, valtis
🚣🏿	6 odos tipas, irkluojantis žmogus, irkluojantis žmogus: 6 odos tipas, transporto priemonė, valtis
🚣‍♂	irkluotojas, valtis, vyras
🚣🏻‍♂	1 ir 2 odos tipai, irkluotojas, irkluotojas: 1 ir 2 odos tipai, valtis, vyras
🚣🏼‍♂	3 odos tipas, irkluotojas, irkluotojas: 3 odos tipas, valtis, vyras
🚣🏽‍♂	4 odos tipas, irkluotojas, irkluotojas: 4 odos tipas, valtis, vyras
🚣🏾‍♂	5 odos tipas, irkluotojas, irkluotojas: 5 odos tipas, valtis, vyras
🚣🏿‍♂	6 odos tipas, irkluotojas, irkluotojas: 6 odos tipas, valtis, vyras
🚣‍♀	irkluotoja, moteris, valtis
🚣🏻‍♀	1 ir 2 odos tipai, irkluotoja, irkluotoja: 1 ir 2 odos tipai, moteris, valtis
🚣🏼‍♀	3 odos tipas, irkluotoja, irkluotoja: 3 odos tipas, moteris, valtis
🚣🏽‍♀	4 odos tipas, irkluotoja, irkluotoja: 4 odos tipas, moteris, valtis
🚣🏾‍♀	5 odos tipas, irkluotoja, irkluotoja: 5 odos tipas, moteris, valtis
🚣🏿‍♀	6 odos tipas, irkluotoja, irkluotoja: 6 odos tipas, moteris, valtis
🏊️	plaukikas, plaukti
🏊🏻	1 ir 2 odos tipai, plaukikas, plaukikas: 1 ir 2 odos tipai, plaukti
🏊🏼	3 odos tipas, plaukikas, plaukikas: 3 odos tipas, plaukti
🏊🏽	4 odos tipas, plaukikas, plaukikas: 4 odos tipas, plaukti
🏊🏾	5 odos tipas, plaukikas, plaukikas: 5 odos tipas, plaukti
🏊🏿	6 odos tipas, plaukikas, plaukikas: 6 odos tipas, plaukti
🏊‍♂	plaukimas, vyras, vyras plaukikas
🏊🏻‍♂	1 ir 2 odos tipai, plaukimas, vyras, vyras plaukikas, vyras plaukikas: 1 ir 2 odos tipai
🏊🏼‍♂	3 odos tipas, plaukimas, vyras, vyras plaukikas, vyras plaukikas: 3 odos tipas
🏊🏽‍♂	4 odos tipas, plaukimas, vyras, vyras plaukikas, vyras plaukikas: 4 odos tipas
🏊🏾‍♂	5 odos tipas, plaukimas, vyras, vyras plaukikas, vyras plaukikas: 5 odos tipas
🏊🏿‍♂	6 odos tipas, plaukimas, vyras, vyras plaukikas, vyras plaukikas: 6 odos tipas
🏊‍♀	moteris, plaukikė, plaukimas
🏊🏻‍♀	1 ir 2 odos tipai, moteris, plaukikė, plaukikė: 1 ir 2 odos tipai, plaukimas
🏊🏼‍♀	3 odos tipas, moteris, plaukikė, plaukikė: 3 odos tipas, plaukimas
🏊🏽‍♀	4 odos tipas, moteris, plaukikė, plaukikė: 4 odos tipas, plaukimas
🏊🏾‍♀	5 odos tipas, moteris, plaukikė, plaukikė: 5 odos tipas, plaukimas
🏊🏿‍♀	6 odos tipas, moteris, plaukikė, plaukikė: 6 odos tipas, plaukimas
⛹️	kamuolys, žmogus su kamuoliu
⛹🏻	1 ir 2 odos tipai, kamuolys, žmogus su kamuoliu, žmogus su kamuoliu: 1 ir 2 odos tipai
⛹🏼	3 odos tipas, kamuolys, žmogus su kamuoliu, žmogus su kamuoliu: 3 odos tipas
⛹🏽	4 odos tipas, kamuolys, žmogus su kamuoliu, žmogus su kamuoliu: 4 odos tipas
⛹🏾	5 odos tipas, kamuolys, žmogus su kamuoliu, žmogus su kamuoliu: 5 odos tipas
⛹🏿	6 odos tipas, kamuolys, žmogus su kamuoliu, žmogus su kamuoliu: 6 odos tipas
⛹‍♂	kamuolys, vyras, vyras su kamuoliu
⛹🏻‍♂	1 ir 2 odos tipai, kamuolys, vyras, vyras su kamuoliu, vyras su kamuoliu: 1 ir 2 odos tipai
⛹🏼‍♂	3 odos tipas, kamuolys, vyras, vyras su kamuoliu, vyras su kamuoliu: 3 odos tipas
⛹🏽‍♂	4 odos tipas, kamuolys, vyras, vyras su kamuoliu, vyras su kamuoliu: 4 odos tipas
⛹🏾‍♂	5 odos tipas, kamuolys, vyras, vyras su kamuoliu, vyras su kamuoliu: 5 odos tipas
⛹🏿‍♂	6 odos tipas, kamuolys, vyras, vyras su kamuoliu, vyras su kamuoliu: 6 odos tipas
⛹‍♀	kamuolys, moteris, moteris su kamuoliu
⛹🏻‍♀	1 ir 2 odos tipai, kamuolys, moteris, moteris su kamuoliu, moteris su kamuoliu: 1 ir 2 odos tipai
⛹🏼‍♀	3 odos tipas, kamuolys, moteris, moteris su kamuoliu, moteris su kamuoliu: 3 odos tipas
⛹🏽‍♀	4 odos tipas, kamuolys, moteris, moteris su kamuoliu, moteris su kamuoliu: 4 odos tipas
⛹🏾‍♀	5 odos tipas, kamuolys, moteris, moteris su kamuoliu, moteris su kamuoliu: 5 odos tipas
⛹🏿‍♀	6 odos tipas, kamuolys, moteris, moteris su kamuoliu, moteris su kamuoliu: 6 odos tipas
🏋️	kilnotojas, svoris, svorių kilnotojas
🏋🏻	1 ir 2 odos tipai, kilnotojas, svoris, svorių kilnotojas, svorių kilnotojas: 1 ir 2 odos tipai
🏋🏼	3 odos tipas, kilnotojas, svoris, svorių kilnotojas, svorių kilnotojas: 3 odos tipas
🏋🏽	4 odos tipas, kilnotojas, svoris, svorių kilnotojas, svorių kilnotojas: 4 odos tipas
🏋🏾	5 odos tipas, kilnotojas, svoris, svorių kilnotojas, svorių kilnotojas: 5 odos tipas
🏋🏿	6 odos tipas, kilnotojas, svoris, svorių kilnotojas, svorių kilnotojas: 6 odos tipas
🏋‍♂	keliantis svorį, svorius keliantis vyras, vyras
🏋🏻‍♂	1 ir 2 odos tipai, keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: 1 ir 2 odos tipai, vyras
🏋🏼‍♂	3 odos tipas, keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: 3 odos tipas, vyras
🏋🏽‍♂	4 odos tipas, keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: 4 odos tipas, vyras
🏋🏾‍♂	5 odos tipas, keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: 5 odos tipas, vyras
🏋🏿‍♂	6 odos tipas, keliantis svorį, svorius keliantis vyras, svorius keliantis vyras: 6 odos tipas, vyras
🏋‍♀	kelianti svorį, moteris, svorius kelianti moteris
🏋🏻‍♀	1 ir 2 odos tipai, kelianti svorį, moteris, svorius kelianti moteris, svorius kelianti moteris: 1 ir 2 odos tipai
🏋🏼‍♀	3 odos tipas, kelianti svorį, moteris, svorius kelianti moteris, svorius kelianti moteris: 3 odos tipas
🏋🏽‍♀	4 odos tipas, kelianti svorį, moteris, svorius kelianti moteris, svorius kelianti moteris: 4 odos tipas
🏋🏾‍♀	5 odos tipas, kelianti svorį, moteris, svorius kelianti moteris, svorius kelianti moteris: 5 odos tipas
🏋🏿‍♀	6 odos tipas, kelianti svorį, moteris, svorius kelianti moteris, svorius kelianti moteris: 6 odos tipas
🚴	dviratininkas, dviratis
🚴🏻	1 ir 2 odos tipai, dviratininkas, dviratininkas: 1 ir 2 odos tipai, dviratis
🚴🏼	3 odos tipas, dviratininkas, dviratininkas: 3 odos tipas, dviratis
🚴🏽	4 odos tipas, dviratininkas, dviratininkas: 4 odos tipas, dviratis
🚴🏾	5 odos tipas, dviratininkas, dviratininkas: 5 odos tipas, dviratis
🚴🏿	6 odos tipas, dviratininkas, dviratininkas: 6 odos tipas, dviratis
🚴‍♂	dviratininkas, dviratis, važinėjimas dviračiu, vyras, vyras dviratininkas
🚴🏻‍♂	1 ir 2 odos tipai, dviratininkas, dviratis, važinėjimas dviračiu, vyras, vyras dviratininkas: 1 ir 2 odos tipai
🚴🏼‍♂	3 odos tipas, dviratininkas, dviratis, važinėjimas dviračiu, vyras, vyras dviratininkas: 3 odos tipas
