😀	Gesiicht, Grinsen, Grinsgesiicht
👲🏼	Hutt, Mann, Mann mat chineseschem Hutt, Mann mat chineseschem Hutt: mëttelhell Hautfaarf, gua pi mao, mëttelhell Hautfaarf
👲🏽	Hutt, Mann, Mann mat chineseschem Hutt, Mann mat chineseschem Hutt: mëttel Hautfaarf, gua pi mao, mëttel Hautfaarf
👲🏾	Hutt, Mann, Mann mat chineseschem Hutt, Mann mat chineseschem Hutt: mëtteldäischter Hautfaarf, gua pi mao, mëtteldäischter Hautfaarf
👲🏿	Hutt, Mann, Mann mat chineseschem Hutt, Mann mat chineseschem Hutt: däischter Hautfaarf, däischter Hautfaarf, gua pi mao
🧕	Fra mat Schleier, Hijab, Kappduch, Schleier, Voile
🧕🏻	Fra mat Schleier, Fra mat Schleier: hell Hautfaarf, Hijab, Kappduch, Schleier, Voile, hell Hautfaarf
🧕🏼	Fra mat Schleier, Fra mat Schleier: mëttelhell Hautfaarf, Hijab, Kappduch, Schleier, Voile, mëttelhell Hautfaarf
🧕🏽	Fra mat Schleier, Fra mat Schleier: mëttel Hautfaarf, Hijab, Kappduch, Schleier, Voile, mëttel Hautfaarf
🧕🏾	Fra mat Schleier, Fra mat Schleier: mëtteldäischter Hautfaarf, Hijab, Kappduch, Schleier, Voile, mëtteldäischter Hautfaarf
🧕🏿	Fra mat Schleier, Fra mat Schleier: däischter Hautfaarf, Hijab, Kappduch, Schleier, Voile, däischter Hautfaarf
🤵	Bräitchemann, Kostüm, Mann, Mann am Kostüm
🤵🏻	Bräitchemann, Kostüm, Mann, Mann am Kostüm, Mann am Kostüm: hell Hautfaarf, hell Hautfaarf
🤵🏼	Bräitchemann, Kostüm, Mann, Mann am Kostüm, Mann am Kostüm: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🤵🏽	Bräitchemann, Kostüm, Mann, Mann am Kostüm, Mann am Kostüm: mëttel Hautfaarf, mëttel Hautfaarf
🤵🏾	Bräitchemann, Kostüm, Mann, Mann am Kostüm, Mann am Kostüm: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🤵🏿	Bräitchemann, Kostüm, Mann, Mann am Kostüm, Mann am Kostüm: däischter Hautfaarf, däischter Hautfaarf
👰	Braut, Braut mat Schleier, Hochzäit, Schleier
👰🏻	Braut, Braut mat Schleier, Braut mat Schleier: hell Hautfaarf, Hochzäit, Schleier, hell Hautfaarf
👰🏼	Braut, Braut mat Schleier, Braut mat Schleier: mëttelhell Hautfaarf, Hochzäit, Schleier, mëttelhell Hautfaarf
👰🏽	Braut, Braut mat Schleier, Braut mat Schleier: mëttel Hautfaarf, Hochzäit, Schleier, mëttel Hautfaarf
👰🏾	Braut, Braut mat Schleier, Braut mat Schleier: mëtteldäischter Hautfaarf, Hochzäit, Schleier, mëtteldäischter Hautfaarf
👰🏿	Braut, Braut mat Schleier, Braut mat Schleier: däischter Hautfaarf, Hochzäit, Schleier, däischter Hautfaarf
🤰	Fra, schwanger, schwanger Fra
🤰🏻	Fra, hell Hautfaarf, schwanger, schwanger Fra: hell Hautfaarf
🤰🏼	Fra, mëttelhell Hautfaarf, schwanger, schwanger Fra: mëttelhell Hautfaarf
🤰🏽	Fra, mëttel Hautfaarf, schwanger, schwanger Fra: mëttel Hautfaarf
🤰🏾	Fra, mëtteldäischter Hautfaarf, schwanger, schwanger Fra: mëtteldäischter Hautfaarf
🤰🏿	Fra, däischter Hautfaarf, schwanger, schwanger Fra: däischter Hautfaarf
🤱	Broscht, Bëbee, fleegen, stëllend Fra
🤱🏻	Broscht, Bëbee, fleegen, hell Hautfaarf, stëllend Fra, stëllend Fra: hell Hautfaarf
🤱🏼	Broscht, Bëbee, fleegen, mëttelhell Hautfaarf, stëllend Fra, stëllend Fra: mëttelhell Hautfaarf
🤱🏽	Broscht, Bëbee, fleegen, mëttel Hautfaarf, stëllend Fra, stëllend Fra: mëttel Hautfaarf
🤱🏾	Broscht, Bëbee, fleegen, mëtteldäischter Hautfaarf, stëllend Fra, stëllend Fra: mëtteldäischter Hautfaarf
🤱🏿	Broscht, Bëbee, däischter Hautfaarf, fleegen, stëllend Fra, stëllend Fra: däischter Hautfaarf
👼	Bëbee, Engel, Engelchen, Fantasie, Gesiicht, Mäerchen, Puppelchen
👼🏻	Bëbee, Engel, Engelchen, Engelchen: hell Hautfaarf, Fantasie, Gesiicht, Mäerchen, Puppelchen, hell Hautfaarf
👼🏼	Bëbee, Engel, Engelchen, Engelchen: mëttelhell Hautfaarf, Fantasie, Gesiicht, Mäerchen, Puppelchen, mëttelhell Hautfaarf
👼🏽	Bëbee, Engel, Engelchen, Engelchen: mëttel Hautfaarf, Fantasie, Gesiicht, Mäerchen, Puppelchen, mëttel Hautfaarf
👼🏾	Bëbee, Engel, Engelchen, Engelchen: mëtteldäischter Hautfaarf, Fantasie, Gesiicht, Mäerchen, Puppelchen, mëtteldäischter Hautfaarf
👼🏿	Bëbee, Engel, Engelchen, Engelchen: däischter Hautfaarf, Fantasie, Gesiicht, Mäerchen, Puppelchen, däischter Hautfaarf
🎅	Chrëschtdag, Feier, Kleeschen, Papp
🎅🏻	Chrëschtdag, Feier, Kleeschen, Kleeschen: hell Hautfaarf, Papp, hell Hautfaarf
🎅🏼	Chrëschtdag, Feier, Kleeschen, Kleeschen: mëttelhell Hautfaarf, Papp, mëttelhell Hautfaarf
🎅🏽	Chrëschtdag, Feier, Kleeschen, Kleeschen: mëttel Hautfaarf, Papp, mëttel Hautfaarf
🎅🏾	Chrëschtdag, Feier, Kleeschen, Kleeschen: mëtteldäischter Hautfaarf, Papp, mëtteldäischter Hautfaarf
🎅🏿	Chrëschtdag, Feier, Kleeschen, Kleeschen: däischter Hautfaarf, Papp, däischter Hautfaarf
🤶	Chrëschtdag, Dem Kleesche seng Fra, Feier, Fra, Kleeschen, Mamm
🤶🏻	Chrëschtdag, Dem Kleesche seng Fra, Dem Kleesche seng Fra: hell Hautfaarf, Feier, Fra, Kleeschen, Mamm, hell Hautfaarf
🤶🏼	Chrëschtdag, Dem Kleesche seng Fra, Dem Kleesche seng Fra: mëttelhell Hautfaarf, Feier, Fra, Kleeschen, Mamm, mëttelhell Hautfaarf
🤶🏽	Chrëschtdag, Dem Kleesche seng Fra, Dem Kleesche seng Fra: mëttel Hautfaarf, Feier, Fra, Kleeschen, Mamm, mëttel Hautfaarf
🤶🏾	Chrëschtdag, Dem Kleesche seng Fra, Dem Kleesche seng Fra: mëtteldäischter Hautfaarf, Feier, Fra, Kleeschen, Mamm, mëtteldäischter Hautfaarf
🤶🏿	Chrëschtdag, Dem Kleesche seng Fra, Dem Kleesche seng Fra: däischter Hautfaarf, Feier, Fra, Kleeschen, Mamm, däischter Hautfaarf
🧙	Hex, Hexemeeschter, Zauberer, Zauberer(in)
🧙🏻	Hex, Hexemeeschter, Zauberer, Zauberer(in), Zauberer(in): hell Hautfaarf, hell Hautfaarf
🧙🏼	Hex, Hexemeeschter, Zauberer, Zauberer(in), Zauberer(in): mëttelhell Hautfaarf, mëttelhell Hautfaarf
🧙🏽	Hex, Hexemeeschter, Zauberer, Zauberer(in), Zauberer(in): mëttel Hautfaarf, mëttel Hautfaarf
🧙🏾	Hex, Hexemeeschter, Zauberer, Zauberer(in), Zauberer(in): mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🧙🏿	Hex, Hexemeeschter, Zauberer, Zauberer(in), Zauberer(in): däischter Hautfaarf, däischter Hautfaarf
🧙‍♂	Hexemeeschter, Zauberer
🧙🏻‍♂	Hexemeeschter, Zauberer, Zauberer: hell Hautfaarf, hell Hautfaarf
🧙🏼‍♂	Hexemeeschter, Zauberer, Zauberer: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🧙🏽‍♂	Hexemeeschter, Zauberer, Zauberer: mëttel Hautfaarf, mëttel Hautfaarf
🧙🏾‍♂	Hexemeeschter, Zauberer, Zauberer: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🧙🏿‍♂	Hexemeeschter, Zauberer, Zauberer: däischter Hautfaarf, däischter Hautfaarf
🧙‍♀	Hex
🧙🏻‍♀	Hex, Hex: hell Hautfaarf, hell Hautfaarf
🧙🏼‍♀	Hex, Hex: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🧙🏽‍♀	Hex, Hex: mëttel Hautfaarf, mëttel Hautfaarf
🧙🏾‍♀	Hex, Hex: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🧙🏿‍♀	Hex, Hex: däischter Hautfaarf, däischter Hautfaarf
🧚	Fee, Oberon, Puck, Titania
🧚🏻	Fee, Fee: hell Hautfaarf, Oberon, Puck, Titania, hell Hautfaarf
🧚🏼	Fee, Fee: mëttelhell Hautfaarf, Oberon, Puck, Titania, mëttelhell Hautfaarf
🧚🏽	Fee, Fee: mëttel Hautfaarf, Oberon, Puck, Titania, mëttel Hautfaarf
🧚🏾	Fee, Fee: mëtteldäischter Hautfaarf, Oberon, Puck, Titania, mëtteldäischter Hautfaarf
🧚🏿	Fee, Fee: däischter Hautfaarf, Oberon, Puck, Titania, däischter Hautfaarf
🧚‍♂	Oberon, Puck, männlech Fee
🧚🏻‍♂	Oberon, Puck, hell Hautfaarf, männlech Fee, männlech Fee: hell Hautfaarf
🧚🏼‍♂	Oberon, Puck, männlech Fee, männlech Fee: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🧚🏽‍♂	Oberon, Puck, männlech Fee, männlech Fee: mëttel Hautfaarf, mëttel Hautfaarf
🧚🏾‍♂	Oberon, Puck, männlech Fee, männlech Fee: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🧚🏿‍♂	Oberon, Puck, däischter Hautfaarf, männlech Fee, männlech Fee: däischter Hautfaarf
🧚‍♀	Titania, weiblech Fee
🧚🏻‍♀	Titania, hell Hautfaarf, weiblech Fee, weiblech Fee: hell Hautfaarf
🧚🏼‍♀	Titania, mëttelhell Hautfaarf, weiblech Fee, weiblech Fee: mëttelhell Hautfaarf
🧚🏽‍♀	Titania, mëttel Hautfaarf, weiblech Fee, weiblech Fee: mëttel Hautfaarf
🧚🏾‍♀	Titania, mëtteldäischter Hautfaarf, weiblech Fee, weiblech Fee: mëtteldäischter Hautfaarf
🧚🏿‍♀	Titania, däischter Hautfaarf, weiblech Fee, weiblech Fee: däischter Hautfaarf
🧛	Dracula, Vampir, ondout
🧛🏻	Dracula, Vampir, Vampir: hell Hautfaarf, hell Hautfaarf, ondout
🧛🏼	Dracula, Vampir, Vampir: mëttelhell Hautfaarf, mëttelhell Hautfaarf, ondout
🧛🏽	Dracula, Vampir, Vampir: mëttel Hautfaarf, mëttel Hautfaarf, ondout
🧛🏾	Dracula, Vampir, Vampir: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, ondout
🧛🏿	Dracula, Vampir, Vampir: däischter Hautfaarf, däischter Hautfaarf, ondout
🧛‍♂	Dracula, Vampirmann, ondout
🧛🏻‍♂	Dracula, Vampirmann, Vampirmann: hell Hautfaarf, hell Hautfaarf, ondout
🧛🏼‍♂	Dracula, Vampirmann, Vampirmann: mëttelhell Hautfaarf, mëttelhell Hautfaarf, ondout
🧛🏽‍♂	Dracula, Vampirmann, Vampirmann: mëttel Hautfaarf, mëttel Hautfaarf, ondout
🧛🏾‍♂	Dracula, Vampirmann, Vampirmann: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, ondout
🧛🏿‍♂	Dracula, Vampirmann, Vampirmann: däischter Hautfaarf, däischter Hautfaarf, ondout
🧛‍♀	Vampirfra, ondout
🧛🏻‍♀	Vampirfra, Vampirfra: hell Hautfaarf, hell Hautfaarf, ondout
🧛🏼‍♀	Vampirfra, Vampirfra: mëttelhell Hautfaarf, mëttelhell Hautfaarf, ondout
🧛🏽‍♀	Vampirfra, Vampirfra: mëttel Hautfaarf, mëttel Hautfaarf, ondout
🧛🏾‍♀	Vampirfra, Vampirfra: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, ondout
🧛🏿‍♀	Vampirfra, Vampirfra: däischter Hautfaarf, däischter Hautfaarf, ondout
🧜	Mierjonfra, Miermann, Mierpersoun
🧜🏻	Mierjonfra, Miermann, Mierpersoun, Mierpersoun: hell Hautfaarf, hell Hautfaarf
🧜🏼	Mierjonfra, Miermann, Mierpersoun, Mierpersoun: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🧜🏽	Mierjonfra, Miermann, Mierpersoun, Mierpersoun: mëttel Hautfaarf, mëttel Hautfaarf
🧜🏾	Mierjonfra, Miermann, Mierpersoun, Mierpersoun: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🧜🏿	Mierjonfra, Miermann, Mierpersoun, Mierpersoun: däischter Hautfaarf, däischter Hautfaarf
🧜‍♂	Miermann, Triton
🧜🏻‍♂	Miermann, Miermann: hell Hautfaarf, Triton, hell Hautfaarf
🧜🏼‍♂	Miermann, Miermann: mëttelhell Hautfaarf, Triton, mëttelhell Hautfaarf
🧜🏽‍♂	Miermann, Miermann: mëttel Hautfaarf, Triton, mëttel Hautfaarf
🧜🏾‍♂	Miermann, Miermann: mëtteldäischter Hautfaarf, Triton, mëtteldäischter Hautfaarf
🧜🏿‍♂	Miermann, Miermann: däischter Hautfaarf, Triton, däischter Hautfaarf
🧜‍♀	Mierfra, Mierjongfra
🧜🏻‍♀	Mierfra, Mierjongfra, Mierjongfra: hell Hautfaarf, hell Hautfaarf
🧜🏼‍♀	Mierfra, Mierjongfra, Mierjongfra: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🧜🏽‍♀	Mierfra, Mierjongfra, Mierjongfra: mëttel Hautfaarf, mëttel Hautfaarf
🧜🏾‍♀	Mierfra, Mierjongfra, Mierjongfra: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🧜🏿‍♀	Mierfra, Mierjongfra, Mierjongfra: däischter Hautfaarf, däischter Hautfaarf
🧝	Elf, magesch
🧝🏻	Elf, Elf: hell Hautfaarf, hell Hautfaarf, magesch
🧝🏼	Elf, Elf: mëttelhell Hautfaarf, magesch, mëttelhell Hautfaarf
🧝🏽	Elf, Elf: mëttel Hautfaarf, magesch, mëttel Hautfaarf
🧝🏾	Elf, Elf: mëtteldäischter Hautfaarf, magesch, mëtteldäischter Hautfaarf
🧝🏿	Elf, Elf: däischter Hautfaarf, däischter Hautfaarf, magesch
🧝‍♂	Elfemann, magesch
🧝🏻‍♂	Elfemann, Elfemann: hell Hautfaarf, hell Hautfaarf, magesch
🧝🏼‍♂	Elfemann, Elfemann: mëttelhell Hautfaarf, magesch, mëttelhell Hautfaarf
🧝🏽‍♂	Elfemann, Elfemann: mëttel Hautfaarf, magesch, mëttel Hautfaarf
🧝🏾‍♂	Elfemann, Elfemann: mëtteldäischter Hautfaarf, magesch, mëtteldäischter Hautfaarf
🧝🏿‍♂	Elfemann, Elfemann: däischter Hautfaarf, däischter Hautfaarf, magesch
🧝‍♀	Elfefra, magesch
🧝🏻‍♀	Elfefra, Elfefra: hell Hautfaarf, hell Hautfaarf, magesch
🧝🏼‍♀	Elfefra, Elfefra: mëttelhell Hautfaarf, magesch, mëttelhell Hautfaarf
🧝🏽‍♀	Elfefra, Elfefra: mëttel Hautfaarf, magesch, mëttel Hautfaarf
🧝🏾‍♀	Elfefra, Elfefra: mëtteldäischter Hautfaarf, magesch, mëtteldäischter Hautfaarf
🧝🏿‍♀	Elfefra, Elfefra: däischter Hautfaarf, däischter Hautfaarf, magesch
🧞	Djinn, Genie
🧞‍♂	Djinn, Geniemann
🧞‍♀	Djinn, Geniefra
🧟	Zombie, ondout
🧟‍♂	Zombie, Zombiemann, ondout
🧟‍♀	Zombie, Zombiefra, ondout
💆	Gesiicht, Massage, Persoun, déi eng Kappmassage kritt, Salon
💆🏻	Gesiicht, Massage, Persoun, déi eng Kappmassage kritt, Persoun, déi eng Kappmassage kritt: hell Hautfaarf, Salon, hell Hautfaarf
💆🏼	Gesiicht, Massage, Persoun, déi eng Kappmassage kritt, Persoun, déi eng Kappmassage kritt: mëttelhell Hautfaarf, Salon, mëttelhell Hautfaarf
💆🏽	Gesiicht, Massage, Persoun, déi eng Kappmassage kritt, Persoun, déi eng Kappmassage kritt: mëttel Hautfaarf, Salon, mëttel Hautfaarf
💆🏾	Gesiicht, Massage, Persoun, déi eng Kappmassage kritt, Persoun, déi eng Kappmassage kritt: mëtteldäischter Hautfaarf, Salon, mëtteldäischter Hautfaarf
💆🏿	Gesiicht, Massage, Persoun, déi eng Kappmassage kritt, Persoun, déi eng Kappmassage kritt: däischter Hautfaarf, Salon, däischter Hautfaarf
💆‍♂	Gesiicht, Mann, Mann, deen eng Kappmassage kritt, Massage
💆🏻‍♂	Gesiicht, Mann, Mann, deen eng Kappmassage kritt, Mann, deen eng Kappmassage kritt: hell Hautfaarf, Massage, hell Hautfaarf
💆🏼‍♂	Gesiicht, Mann, Mann, deen eng Kappmassage kritt, Mann, deen eng Kappmassage kritt: mëttelhell Hautfaarf, Massage, mëttelhell Hautfaarf
💆🏽‍♂	Gesiicht, Mann, Mann, deen eng Kappmassage kritt, Mann, deen eng Kappmassage kritt: mëttel Hautfaarf, Massage, mëttel Hautfaarf
💆🏾‍♂	Gesiicht, Mann, Mann, deen eng Kappmassage kritt, Mann, deen eng Kappmassage kritt: mëtteldäischter Hautfaarf, Massage, mëtteldäischter Hautfaarf
💆🏿‍♂	Gesiicht, Mann, Mann, deen eng Kappmassage kritt, Mann, deen eng Kappmassage kritt: däischter Hautfaarf, Massage, däischter Hautfaarf
💆‍♀	Fra, Fra, déi eng Kappmassage kritt, Gesiicht, Massage
💆🏻‍♀	Fra, Fra, déi eng Kappmassage kritt, Fra, déi eng Kappmassage kritt: hell Hautfaarf, Gesiicht, Massage, hell Hautfaarf
💆🏼‍♀	Fra, Fra, déi eng Kappmassage kritt, Fra, déi eng Kappmassage kritt: mëttelhell Hautfaarf, Gesiicht, Massage, mëttelhell Hautfaarf
💆🏽‍♀	Fra, Fra, déi eng Kappmassage kritt, Fra, déi eng Kappmassage kritt: mëttel Hautfaarf, Gesiicht, Massage, mëttel Hautfaarf
💆🏾‍♀	Fra, Fra, déi eng Kappmassage kritt, Fra, déi eng Kappmassage kritt: mëtteldäischter Hautfaarf, Gesiicht, Massage, mëtteldäischter Hautfaarf
💆🏿‍♀	Fra, Fra, déi eng Kappmassage kritt, Fra, déi eng Kappmassage kritt: däischter Hautfaarf, Gesiicht, Massage, däischter Hautfaarf
💇	Coiffer, Coupe, Hoer, Persoun, déi d’Hoer geschnidde kritt, Salon, Schéinheet, schneiden
💇🏻	Coiffer, Coupe, Hoer, Persoun, déi d’Hoer geschnidde kritt, Persoun, déi d’Hoer geschnidde kritt: hell Hautfaarf, Salon, Schéinheet, hell Hautfaarf, schneiden
💇🏼	Coiffer, Coupe, Hoer, Persoun, déi d’Hoer geschnidde kritt, Persoun, déi d’Hoer geschnidde kritt: mëttelhell Hautfaarf, Salon, Schéinheet, mëttelhell Hautfaarf, schneiden
💇🏽	Coiffer, Coupe, Hoer, Persoun, déi d’Hoer geschnidde kritt, Persoun, déi d’Hoer geschnidde kritt: mëttel Hautfaarf, Salon, Schéinheet, mëttel Hautfaarf, schneiden
💇🏾	Coiffer, Coupe, Hoer, Persoun, déi d’Hoer geschnidde kritt, Persoun, déi d’Hoer geschnidde kritt: mëtteldäischter Hautfaarf, Salon, Schéinheet, mëtteldäischter Hautfaarf, schneiden
💇🏿	Coiffer, Coupe, Hoer, Persoun, déi d’Hoer geschnidde kritt, Persoun, déi d’Hoer geschnidde kritt: däischter Hautfaarf, Salon, Schéinheet, däischter Hautfaarf, schneiden
💇‍♂	Coupe, Hoer, Mann, Mann, deen d’Hoer geschnidde kritt, schneiden
💇🏻‍♂	Coupe, Hoer, Mann, Mann, deen d’Hoer geschnidde kritt, Mann, deen d’Hoer geschnidde kritt: hell Hautfaarf, hell Hautfaarf, schneiden
💇🏼‍♂	Coupe, Hoer, Mann, Mann, deen d’Hoer geschnidde kritt, Mann, deen d’Hoer geschnidde kritt: mëttelhell Hautfaarf, mëttelhell Hautfaarf, schneiden
💇🏽‍♂	Coupe, Hoer, Mann, Mann, deen d’Hoer geschnidde kritt, Mann, deen d’Hoer geschnidde kritt: mëttel Hautfaarf, mëttel Hautfaarf, schneiden
💇🏾‍♂	Coupe, Hoer, Mann, Mann, deen d’Hoer geschnidde kritt, Mann, deen d’Hoer geschnidde kritt: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, schneiden
💇🏿‍♂	Coupe, Hoer, Mann, Mann, deen d’Hoer geschnidde kritt, Mann, deen d’Hoer geschnidde kritt: däischter Hautfaarf, däischter Hautfaarf, schneiden
💇‍♀	Coupe, Fra, Fra, déi d’Hoer geschnidde kritt, Hoer, schneiden
💇🏻‍♀	Coupe, Fra, Fra, déi d’Hoer geschnidde kritt, Fra, déi d’Hoer geschnidde kritt: hell Hautfaarf, Hoer, hell Hautfaarf, schneiden
💇🏼‍♀	Coupe, Fra, Fra, déi d’Hoer geschnidde kritt, Fra, déi d’Hoer geschnidde kritt: mëttelhell Hautfaarf, Hoer, mëttelhell Hautfaarf, schneiden
💇🏽‍♀	Coupe, Fra, Fra, déi d’Hoer geschnidde kritt, Fra, déi d’Hoer geschnidde kritt: mëttel Hautfaarf, Hoer, mëttel Hautfaarf, schneiden
💇🏾‍♀	Coupe, Fra, Fra, déi d’Hoer geschnidde kritt, Fra, déi d’Hoer geschnidde kritt: mëtteldäischter Hautfaarf, Hoer, mëtteldäischter Hautfaarf, schneiden
💇🏿‍♀	Coupe, Fra, Fra, déi d’Hoer geschnidde kritt, Fra, déi d’Hoer geschnidde kritt: däischter Hautfaarf, Hoer, däischter Hautfaarf, schneiden
🚶	spadséieren, spadséierend, spadséierend Persoun, wanderen
🚶🏻	hell Hautfaarf, spadséieren, spadséierend, spadséierend Persoun, spadséierend Persoun: hell Hautfaarf, wanderen
🚶🏼	mëttelhell Hautfaarf, spadséieren, spadséierend, spadséierend Persoun, spadséierend Persoun: mëttelhell Hautfaarf, wanderen
🚶🏽	mëttel Hautfaarf, spadséieren, spadséierend, spadséierend Persoun, spadséierend Persoun: mëttel Hautfaarf, wanderen
🚶🏾	mëtteldäischter Hautfaarf, spadséieren, spadséierend, spadséierend Persoun, spadséierend Persoun: mëtteldäischter Hautfaarf, wanderen
🚶🏿	däischter Hautfaarf, spadséieren, spadséierend, spadséierend Persoun, spadséierend Persoun: däischter Hautfaarf, wanderen
🚶‍♂	Mann, spadséieren, spadséierende Mann, wanderen
🚶🏻‍♂	Mann, hell Hautfaarf, spadséieren, spadséierende Mann, spadséierende Mann: hell Hautfaarf, wanderen
🚶🏼‍♂	Mann, mëttelhell Hautfaarf, spadséieren, spadséierende Mann, spadséierende Mann: mëttelhell Hautfaarf, wanderen
🚶🏽‍♂	Mann, mëttel Hautfaarf, spadséieren, spadséierende Mann, spadséierende Mann: mëttel Hautfaarf, wanderen
🚶🏾‍♂	Mann, mëtteldäischter Hautfaarf, spadséieren, spadséierende Mann, spadséierende Mann: mëtteldäischter Hautfaarf, wanderen
🚶🏿‍♂	Mann, däischter Hautfaarf, spadséieren, spadséierende Mann, spadséierende Mann: däischter Hautfaarf, wanderen
🚶‍♀	Fra, spadséieren, spadséierend Fra, wanderen
🚶🏻‍♀	Fra, hell Hautfaarf, spadséieren, spadséierend Fra, spadséierend Fra: hell Hautfaarf, wanderen
🚶🏼‍♀	Fra, mëttelhell Hautfaarf, spadséieren, spadséierend Fra, spadséierend Fra: mëttelhell Hautfaarf, wanderen
🚶🏽‍♀	Fra, mëttel Hautfaarf, spadséieren, spadséierend Fra, spadséierend Fra: mëttel Hautfaarf, wanderen
🚶🏾‍♀	Fra, mëtteldäischter Hautfaarf, spadséieren, spadséierend Fra, spadséierend Fra: mëtteldäischter Hautfaarf, wanderen
🚶🏿‍♀	Fra, däischter Hautfaarf, spadséieren, spadséierend Fra, spadséierend Fra: däischter Hautfaarf, wanderen
🏃	Marathon, lafen, lafend Persoun
🏃🏻	Marathon, hell Hautfaarf, lafen, lafend Persoun, lafend Persoun: hell Hautfaarf
🏃🏼	Marathon, lafen, lafend Persoun, lafend Persoun: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🏃🏽	Marathon, lafen, lafend Persoun, lafend Persoun: mëttel Hautfaarf, mëttel Hautfaarf
🏃🏾	Marathon, lafen, lafend Persoun, lafend Persoun: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🏃🏿	Marathon, däischter Hautfaarf, lafen, lafend Persoun, lafend Persoun: däischter Hautfaarf
🏃‍♂	Course, Mann, Marathon, lafen, lafende Mann
🏃🏻‍♂	Course, Mann, Marathon, hell Hautfaarf, lafen, lafende Mann, lafende Mann: hell Hautfaarf
🏃🏼‍♂	Course, Mann, Marathon, lafen, lafende Mann, lafende Mann: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🏃🏽‍♂	Course, Mann, Marathon, lafen, lafende Mann, lafende Mann: mëttel Hautfaarf, mëttel Hautfaarf
🏃🏾‍♂	Course, Mann, Marathon, lafen, lafende Mann, lafende Mann: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🏃🏿‍♂	Course, Mann, Marathon, däischter Hautfaarf, lafen, lafende Mann, lafende Mann: däischter Hautfaarf
🏃‍♀	Course, Fra, Marathon, lafen, lafend Fra
🏃🏻‍♀	Course, Fra, Marathon, hell Hautfaarf, lafen, lafend Fra, lafend Fra: hell Hautfaarf
🏃🏼‍♀	Course, Fra, Marathon, lafen, lafend Fra, lafend Fra: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🏃🏽‍♀	Course, Fra, Marathon, lafen, lafend Fra, lafend Fra: mëttel Hautfaarf, mëttel Hautfaarf
🏃🏾‍♀	Course, Fra, Marathon, lafen, lafend Fra, lafend Fra: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🏃🏿‍♀	Course, Fra, Marathon, däischter Hautfaarf, lafen, lafend Fra, lafend Fra: däischter Hautfaarf
💃	Fra, danzend, danzend Fra
💃🏻	Fra, danzend, danzend Fra: hell Hautfaarf, hell Hautfaarf
💃🏼	Fra, danzend, danzend Fra: mëttelhell Hautfaarf, mëttelhell Hautfaarf
💃🏽	Fra, danzend, danzend Fra: mëttel Hautfaarf, mëttel Hautfaarf
💃🏾	Fra, danzend, danzend Fra: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
💃🏿	Fra, danzend, danzend Fra: däischter Hautfaarf, däischter Hautfaarf
🕺	Mann, danzen, danzende Mann
🕺🏻	Mann, danzen, danzende Mann, danzende Mann: hell Hautfaarf, hell Hautfaarf
🕺🏼	Mann, danzen, danzende Mann, danzende Mann: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🕺🏽	Mann, danzen, danzende Mann, danzende Mann: mëttel Hautfaarf, mëttel Hautfaarf
🕺🏾	Mann, danzen, danzende Mann, danzende Mann: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🕺🏿	Mann, danzen, danzende Mann, danzende Mann: däischter Hautfaarf, däischter Hautfaarf
🕴️	Geschäft, Kostüm, Mann, levitéierende Man am Kostüm
🕴🏻	Geschäft, Kostüm, Mann, hell Hautfaarf, levitéierende Man am Kostüm, levitéierende Man am Kostüm: hell Hautfaarf
🕴🏼	Geschäft, Kostüm, Mann, levitéierende Man am Kostüm, levitéierende Man am Kostüm: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🕴🏽	Geschäft, Kostüm, Mann, levitéierende Man am Kostüm, levitéierende Man am Kostüm: mëttel Hautfaarf, mëttel Hautfaarf
🕴🏾	Geschäft, Kostüm, Mann, levitéierende Man am Kostüm, levitéierende Man am Kostüm: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
