🦵🏻	membru, picior, picior: ton deschis al pielii, ton deschis al pielii, șut
🚵🏾‍♀	bicicletă, biciclistă, ciclistă, femeie, femeie pe bicicletă montană, femeie pe bicicletă montană: ton semi‑închis al pielii, montan, ton semi‑închis al pielii
🚵🏿‍♀	bicicletă, biciclistă, ciclistă, femeie, femeie pe bicicletă montană, femeie pe bicicletă montană: ton închis al pielii, montan, ton închis al pielii
🤸🏻	face roata, gimnastică, om, persoană care face roata, persoană care face roata: ton deschis al pielii, sport, ton deschis al pielii
🤸🏼	face roata, gimnastică, om, persoană care face roata, persoană care face roata: ton semi‑deschis al pielii, sport, ton semi‑deschis al pielii
🤸🏽	face roata, gimnastică, om, persoană care face roata, persoană care face roata: ton mediu al pielii, sport, ton mediu al pielii
🤸🏾	face roata, gimnastică, om, persoană care face roata, persoană care face roata: ton semi‑închis al pielii, sport, ton semi‑închis al pielii
🤸🏿	face roata, gimnastică, om, persoană care face roata, persoană care face roata: ton închis al pielii, sport, ton închis al pielii
🤸🏻‍♂	bărbat, bărbat care face roata, bărbat care face roata: ton deschis al pielii, face roata, gimnastică, sport, ton deschis al pielii
🤸🏼‍♂	bărbat, bărbat care face roata, bărbat care face roata: ton semi‑deschis al pielii, face roata, gimnastică, sport, ton semi‑deschis al pielii
🤸🏽‍♂	bărbat, bărbat care face roata, bărbat care face roata: ton mediu al pielii, face roata, gimnastică, sport, ton mediu al pielii
🤸🏾‍♂	bărbat, bărbat care face roata, bărbat care face roata: ton semi‑închis al pielii, face roata, gimnastică, sport, ton semi‑închis al pielii
🤸🏿‍♂	bărbat, bărbat care face roata, bărbat care face roata: ton închis al pielii, face roata, gimnastică, sport, ton închis al pielii
🤸🏻‍♀	face roata, femeie, femeie care face roata, femeie care face roata: ton deschis al pielii, gimnastică, sport, ton deschis al pielii
🤸🏼‍♀	face roata, femeie, femeie care face roata, femeie care face roata: ton semi‑deschis al pielii, gimnastică, sport, ton semi‑deschis al pielii
🤸🏽‍♀	face roata, femeie, femeie care face roata, femeie care face roata: ton mediu al pielii, gimnastică, sport, ton mediu al pielii
🤸🏾‍♀	face roata, femeie, femeie care face roata, femeie care face roata: ton semi‑închis al pielii, gimnastică, sport, ton semi‑închis al pielii
🤸🏿‍♀	face roata, femeie, femeie care face roata, femeie care face roata: ton închis al pielii, gimnastică, sport, ton închis al pielii
🤽🏻	apă, om, persoană care joacă polo pe apă, persoană care joacă polo pe apă: ton deschis al pielii, polo, sport, ton deschis al pielii
🤽🏼	apă, om, persoană care joacă polo pe apă, persoană care joacă polo pe apă: ton semi‑deschis al pielii, polo, sport, ton semi‑deschis al pielii
🤽🏽	apă, om, persoană care joacă polo pe apă, persoană care joacă polo pe apă: ton mediu al pielii, polo, sport, ton mediu al pielii
🤽🏾	apă, om, persoană care joacă polo pe apă, persoană care joacă polo pe apă: ton semi‑închis al pielii, polo, sport, ton semi‑închis al pielii
🤽🏿	apă, om, persoană care joacă polo pe apă, persoană care joacă polo pe apă: ton închis al pielii, polo, sport, ton închis al pielii
🤽🏻‍♂	bărbat, bărbat care joacă polo pe apă, bărbat care joacă polo pe apă: ton deschis al pielii, polo pe apă, sport, ton deschis al pielii
🤽🏼‍♂	bărbat, bărbat care joacă polo pe apă, bărbat care joacă polo pe apă: ton semi‑deschis al pielii, polo pe apă, sport, ton semi‑deschis al pielii
🤽🏽‍♂	bărbat, bărbat care joacă polo pe apă, bărbat care joacă polo pe apă: ton mediu al pielii, polo pe apă, sport, ton mediu al pielii
🤽🏾‍♂	bărbat, bărbat care joacă polo pe apă, bărbat care joacă polo pe apă: ton semi‑închis al pielii, polo pe apă, sport, ton semi‑închis al pielii
🤽🏿‍♂	bărbat, bărbat care joacă polo pe apă, bărbat care joacă polo pe apă: ton închis al pielii, polo pe apă, sport, ton închis al pielii
🤽🏻‍♀	femeie, femeie care joacă polo pe apă, femeie care joacă polo pe apă: ton deschis al pielii, polo pe apă, sport, ton deschis al pielii
🤽🏼‍♀	femeie, femeie care joacă polo pe apă, femeie care joacă polo pe apă: ton semi‑deschis al pielii, polo pe apă, sport, ton semi‑deschis al pielii
🤽🏽‍♀	femeie, femeie care joacă polo pe apă, femeie care joacă polo pe apă: ton mediu al pielii, polo pe apă, sport, ton mediu al pielii
🤽🏾‍♀	femeie, femeie care joacă polo pe apă, femeie care joacă polo pe apă: ton semi‑închis al pielii, polo pe apă, sport, ton semi‑închis al pielii
🤽🏿‍♀	femeie, femeie care joacă polo pe apă, femeie care joacă polo pe apă: ton închis al pielii, polo pe apă, sport, ton închis al pielii
🤾🏻	handbal, minge, om, persoană care joacă handbal, persoană care joacă handbal: ton deschis al pielii, sport, ton deschis al pielii
🤾🏼	handbal, minge, om, persoană care joacă handbal, persoană care joacă handbal: ton semi‑deschis al pielii, sport, ton semi‑deschis al pielii
🤾🏽	handbal, minge, om, persoană care joacă handbal, persoană care joacă handbal: ton mediu al pielii, sport, ton mediu al pielii
🤾🏾	handbal, minge, om, persoană care joacă handbal, persoană care joacă handbal: ton semi‑închis al pielii, sport, ton semi‑închis al pielii
🤾🏿	handbal, minge, om, persoană care joacă handbal, persoană care joacă handbal: ton închis al pielii, sport, ton închis al pielii
🤾🏻‍♂	bărbat, bărbat care joacă handbal, bărbat care joacă handbal: ton deschis al pielii, handbal, handbalist, sport, ton deschis al pielii
🤾🏼‍♂	bărbat, bărbat care joacă handbal, bărbat care joacă handbal: ton semi‑deschis al pielii, handbal, handbalist, sport, ton semi‑deschis al pielii
🤾🏽‍♂	bărbat, bărbat care joacă handbal, bărbat care joacă handbal: ton mediu al pielii, handbal, handbalist, sport, ton mediu al pielii
🤾🏾‍♂	bărbat, bărbat care joacă handbal, bărbat care joacă handbal: ton semi‑închis al pielii, handbal, handbalist, sport, ton semi‑închis al pielii
🤾🏿‍♂	bărbat, bărbat care joacă handbal, bărbat care joacă handbal: ton închis al pielii, handbal, handbalist, sport, ton închis al pielii
🤾🏻‍♀	femeie, femeie care joacă handbal, femeie care joacă handbal: ton deschis al pielii, handbal, handbalistă, sport, ton deschis al pielii
🤾🏼‍♀	femeie, femeie care joacă handbal, femeie care joacă handbal: ton semi‑deschis al pielii, handbal, handbalistă, sport, ton semi‑deschis al pielii
🤾🏽‍♀	femeie, femeie care joacă handbal, femeie care joacă handbal: ton mediu al pielii, handbal, handbalistă, sport, ton mediu al pielii
🤾🏾‍♀	femeie, femeie care joacă handbal, femeie care joacă handbal: ton semi‑închis al pielii, handbal, handbalistă, sport, ton semi‑închis al pielii
🤾🏿‍♀	femeie, femeie care joacă handbal, femeie care joacă handbal: ton închis al pielii, handbal, handbalistă, sport, ton închis al pielii
🤹🏻	abilitate, echilibru, jongla, jongler, jonglerie, multitasking, persoană care jonglează, persoană care jonglează: ton deschis al pielii, ton deschis al pielii
🤹🏼	abilitate, echilibru, jongla, jongler, jonglerie, multitasking, persoană care jonglează, persoană care jonglează: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🤹🏽	abilitate, echilibru, jongla, jongler, jonglerie, multitasking, persoană care jonglează, persoană care jonglează: ton mediu al pielii, ton mediu al pielii
🤹🏾	abilitate, echilibru, jongla, jongler, jonglerie, multitasking, persoană care jonglează, persoană care jonglează: ton semi‑închis al pielii, ton semi‑închis al pielii
🤹🏿	abilitate, echilibru, jongla, jongler, jonglerie, multitasking, persoană care jonglează, persoană care jonglează: ton închis al pielii, ton închis al pielii
🤹🏻‍♂	bărbat, bărbat care jongleză, bărbat care jongleză: ton deschis al pielii, jongla, jonglerie, multitasking, ton deschis al pielii
🤹🏼‍♂	bărbat, bărbat care jongleză, bărbat care jongleză: ton semi‑deschis al pielii, jongla, jonglerie, multitasking, ton semi‑deschis al pielii
🤹🏽‍♂	bărbat, bărbat care jongleză, bărbat care jongleză: ton mediu al pielii, jongla, jonglerie, multitasking, ton mediu al pielii
🤹🏾‍♂	bărbat, bărbat care jongleză, bărbat care jongleză: ton semi‑închis al pielii, jongla, jonglerie, multitasking, ton semi‑închis al pielii
🤹🏿‍♂	bărbat, bărbat care jongleză, bărbat care jongleză: ton închis al pielii, jongla, jonglerie, multitasking, ton închis al pielii
🤹🏻‍♀	femeie, femeie care jonglează, femeie care jonglează: ton deschis al pielii, jongla, jonglerie, multitasking, ton deschis al pielii
🤹🏼‍♀	femeie, femeie care jonglează, femeie care jonglează: ton semi‑deschis al pielii, jongla, jonglerie, multitasking, ton semi‑deschis al pielii
🤹🏽‍♀	femeie, femeie care jonglează, femeie care jonglează: ton mediu al pielii, jongla, jonglerie, multitasking, ton mediu al pielii
🤹🏾‍♀	femeie, femeie care jonglează, femeie care jonglează: ton semi‑închis al pielii, jongla, jonglerie, multitasking, ton semi‑închis al pielii
🤹🏿‍♀	femeie, femeie care jonglează, femeie care jonglează: ton închis al pielii, jongla, jonglerie, multitasking, ton închis al pielii
👩‍❤‍💋‍👨	bărbat, cuplu, femeie, iubire, sărut, sărut: femeie, bărbat
👨‍❤‍💋‍👨	bărbat, cuplu, iubire, sărut, sărut: bărbat, bărbat
👩‍❤‍💋‍👩	cuplu, femeie, iubire, sărut, sărut: femeie, femeie
👩‍❤‍👨	bărbat, cuplu, cuplu cu inimă, cuplu cu inimă: femeie, bărbat, dragoste, femeie, iubire
👨‍❤‍👨	bărbat, cuplu, cuplu cu inimă, cuplu cu inimă: bărbat, bărbat, dragoste, iubire
👩‍❤‍👩	cuplu, cuplu cu inimă, cuplu cu inimă: femeie, femeie, dragoste, femeie, iubire
👨‍👩‍👦	băiat, bărbat, familie, familie: bărbat, femeie, băiat, femeie
👨‍👩‍👧	bărbat, familie, familie: bărbat, femeie, fată, fată, femeie
👨‍👩‍👧‍👦	băiat, bărbat, familie, familie: bărbat, femeie, fată, băiat, fată, femeie
👨‍👩‍👦‍👦	băiat, bărbat, familie, familie: bărbat, femeie, băiat, băiat, femeie
👨‍👩‍👧‍👧	bărbat, familie, familie: bărbat, femeie, fată, fată, fată, femeie
👨‍👨‍👦	băiat, bărbat, familie, familie: bărbat, bărbat, băiat
👨‍👨‍👧	bărbat, familie, familie: bărbat, bărbat, fată, fată
👨‍👨‍👧‍👦	băiat, bărbat, familie, familie: bărbat, bărbat, fată, băiat, fată
👨‍👨‍👦‍👦	băiat, bărbat, familie, familie: bărbat, bărbat, băiat, băiat
👨‍👨‍👧‍👧	bărbat, familie, familie: bărbat, bărbat, fată, fată, fată
👩‍👩‍👦	băiat, familie, familie: femeie, femeie, băiat, femeie
👩‍👩‍👧	familie, familie: femeie, femeie, fată, fată, femeie
👩‍👩‍👧‍👦	băiat, familie, familie: femeie, femeie, fată, băiat, fată, femeie
👩‍👩‍👦‍👦	băiat, familie, familie: femeie, femeie, băiat, băiat, femeie
👩‍👩‍👧‍👧	familie, familie: femeie, femeie, fată, fată, fată, femeie
👨‍👦	băiat, bărbat, familie, familie: bărbat, băiat
👨‍👦‍👦	băiat, bărbat, familie, familie: bărbat, băiat, băiat
👨‍👧	bărbat, familie, familie: bărbat, fată, fată
👨‍👧‍👦	băiat, bărbat, familie, familie: bărbat, fată, băiat, fată
👨‍👧‍👧	bărbat, familie, familie: bărbat, fată, fată, fată
👩‍👦	băiat, familie, familie: femeie, băiat, femeie
👩‍👦‍👦	băiat, familie, familie: femeie, băiat, băiat, femeie
👩‍👧	familie, familie: femeie, fată, fată, femeie
👩‍👧‍👦	băiat, familie, familie: femeie, fată, băiat, fată, femeie
👩‍👧‍👧	familie, familie: femeie, fată, fată, fată, femeie
🤳🏻	aparat de fotografiat, selfie, selfie: ton deschis al pielii, telefon, ton deschis al pielii
🤳🏼	aparat de fotografiat, selfie, selfie: ton semi‑deschis al pielii, telefon, ton semi‑deschis al pielii
🤳🏽	aparat de fotografiat, selfie, selfie: ton mediu al pielii, telefon, ton mediu al pielii
🤳🏾	aparat de fotografiat, selfie, selfie: ton semi‑închis al pielii, telefon, ton semi‑închis al pielii
🤳🏿	aparat de fotografiat, selfie, selfie: ton închis al pielii, telefon, ton închis al pielii
💪🏻	amuzant, biceps flexat, biceps flexat: ton deschis al pielii, corp, forță, mușchi, ton deschis al pielii
💪🏼	amuzant, biceps flexat, biceps flexat: ton semi‑deschis al pielii, corp, forță, mușchi, ton semi‑deschis al pielii
💪🏽	amuzant, biceps flexat, biceps flexat: ton mediu al pielii, corp, forță, mușchi, ton mediu al pielii
💪🏾	amuzant, biceps flexat, biceps flexat: ton semi‑închis al pielii, corp, forță, mușchi, ton semi‑închis al pielii
💪🏿	amuzant, biceps flexat, biceps flexat: ton închis al pielii, corp, forță, mușchi, ton închis al pielii
👈🏻	arătător, deget, dos de mână cu arătătorul spre stânga, dos de mână cu arătătorul spre stânga: ton deschis al pielii, dosul palmei, mână, stânga, ton deschis al pielii
👈🏼	arătător, deget, dos de mână cu arătătorul spre stânga, dos de mână cu arătătorul spre stânga: ton semi‑deschis al pielii, dosul palmei, mână, stânga, ton semi‑deschis al pielii
👈🏽	arătător, deget, dos de mână cu arătătorul spre stânga, dos de mână cu arătătorul spre stânga: ton mediu al pielii, dosul palmei, mână, stânga, ton mediu al pielii
👈🏾	arătător, deget, dos de mână cu arătătorul spre stânga, dos de mână cu arătătorul spre stânga: ton semi‑închis al pielii, dosul palmei, mână, stânga, ton semi‑închis al pielii
👈🏿	arătător, deget, dos de mână cu arătătorul spre stânga, dos de mână cu arătătorul spre stânga: ton închis al pielii, dosul palmei, mână, stânga, ton închis al pielii
👉🏻	arătător, deget, dos de mână cu arătătorul spre dreapta, dos de mână cu arătătorul spre dreapta: ton deschis al pielii, dosul palmei, dreapta, mână, ton deschis al pielii
👉🏼	arătător, deget, dos de mână cu arătătorul spre dreapta, dos de mână cu arătătorul spre dreapta: ton semi‑deschis al pielii, dosul palmei, dreapta, mână, ton semi‑deschis al pielii
👉🏽	arătător, deget, dos de mână cu arătătorul spre dreapta, dos de mână cu arătătorul spre dreapta: ton mediu al pielii, dosul palmei, dreapta, mână, ton mediu al pielii
👉🏾	arătător, deget, dos de mână cu arătătorul spre dreapta, dos de mână cu arătătorul spre dreapta: ton semi‑închis al pielii, dosul palmei, dreapta, mână, ton semi‑închis al pielii
👉🏿	arătător, deget, dos de mână cu arătătorul spre dreapta, dos de mână cu arătătorul spre dreapta: ton închis al pielii, dosul palmei, dreapta, mână, ton închis al pielii
☝🏻	deget, deget arătător îndreptat în sus, deget arătător îndreptat în sus: ton deschis al pielii, indicator, sus, ton deschis al pielii
☝🏼	deget, deget arătător îndreptat în sus, deget arătător îndreptat în sus: ton semi‑deschis al pielii, indicator, sus, ton semi‑deschis al pielii
☝🏽	deget, deget arătător îndreptat în sus, deget arătător îndreptat în sus: ton mediu al pielii, indicator, sus, ton mediu al pielii
☝🏾	deget, deget arătător îndreptat în sus, deget arătător îndreptat în sus: ton semi‑închis al pielii, indicator, sus, ton semi‑închis al pielii
☝🏿	deget, deget arătător îndreptat în sus, deget arătător îndreptat în sus: ton închis al pielii, indicator, sus, ton închis al pielii
👆🏻	arătător, deget, dos de mână cu arătătorul în sus, dos de mână cu arătătorul în sus: ton deschis al pielii, dos de mână cu degetul arătător îndreptat în sus, dosul palmei, sus, ton deschis al pielii
👆🏼	arătător, deget, dos de mână cu arătătorul în sus, dos de mână cu arătătorul în sus: ton semi‑deschis al pielii, dos de mână cu degetul arătător îndreptat în sus, dosul palmei, sus, ton semi‑deschis al pielii
👆🏽	arătător, deget, dos de mână cu arătătorul în sus, dos de mână cu arătătorul în sus: ton mediu al pielii, dos de mână cu degetul arătător îndreptat în sus, dosul palmei, sus, ton mediu al pielii
👆🏾	arătător, deget, dos de mână cu arătătorul în sus, dos de mână cu arătătorul în sus: ton semi‑închis al pielii, dos de mână cu degetul arătător îndreptat în sus, dosul palmei, sus, ton semi‑închis al pielii
👆🏿	arătător, deget, dos de mână cu arătătorul în sus, dos de mână cu arătătorul în sus: ton închis al pielii, dos de mână cu degetul arătător îndreptat în sus, dosul palmei, sus, ton închis al pielii
🖕🏻	deget, degetul mijlociu, degetul mijlociu: ton deschis al pielii, gest, insultă, mijlociu, ton deschis al pielii
🖕🏼	deget, degetul mijlociu, degetul mijlociu: ton semi‑deschis al pielii, gest, insultă, mijlociu, ton semi‑deschis al pielii
🖕🏽	deget, degetul mijlociu, degetul mijlociu: ton mediu al pielii, gest, insultă, mijlociu, ton mediu al pielii
🖕🏾	deget, degetul mijlociu, degetul mijlociu: ton semi‑închis al pielii, gest, insultă, mijlociu, ton semi‑închis al pielii
🖕🏿	deget, degetul mijlociu, degetul mijlociu: ton închis al pielii, gest, insultă, mijlociu, ton închis al pielii
👇🏻	arătător, deget, dos de mână cu arătătorul în jos, dos de mână cu arătătorul în jos: ton deschis al pielii, dos de mână cu degetul arătător îndreptat în jos, dosul palmei, jos, ton deschis al pielii
👇🏼	arătător, deget, dos de mână cu arătătorul în jos, dos de mână cu arătătorul în jos: ton semi‑deschis al pielii, dos de mână cu degetul arătător îndreptat în jos, dosul palmei, jos, ton semi‑deschis al pielii
👇🏽	arătător, deget, dos de mână cu arătătorul în jos, dos de mână cu arătătorul în jos: ton mediu al pielii, dos de mână cu degetul arătător îndreptat în jos, dosul palmei, jos, ton mediu al pielii
👇🏾	arătător, deget, dos de mână cu arătătorul în jos, dos de mână cu arătătorul în jos: ton semi‑închis al pielii, dos de mână cu degetul arătător îndreptat în jos, dosul palmei, jos, ton semi‑închis al pielii
👇🏿	arătător, deget, dos de mână cu arătătorul în jos, dos de mână cu arătătorul în jos: ton închis al pielii, dos de mână cu degetul arătător îndreptat în jos, dosul palmei, jos, ton închis al pielii
✌🏻	degete, mână, semnul victoriei, semnul victoriei: ton deschis al pielii, ton deschis al pielii, v, victorie
✌🏼	degete, mână, semnul victoriei, semnul victoriei: ton semi‑deschis al pielii, ton semi‑deschis al pielii, v, victorie
✌🏽	degete, mână, semnul victoriei, semnul victoriei: ton mediu al pielii, ton mediu al pielii, v, victorie
✌🏾	degete, mână, semnul victoriei, semnul victoriei: ton semi‑închis al pielii, ton semi‑închis al pielii, v, victorie
✌🏿	degete, mână, semnul victoriei, semnul victoriei: ton închis al pielii, ton închis al pielii, v, victorie
🤞🏻	degete, degete încrucișate, degete încrucișate: ton deschis al pielii, mână, noroc, ton deschis al pielii, încrucișare
🤞🏼	degete, degete încrucișate, degete încrucișate: ton semi‑deschis al pielii, mână, noroc, ton semi‑deschis al pielii, încrucișare
🤞🏽	degete, degete încrucișate, degete încrucișate: ton mediu al pielii, mână, noroc, ton mediu al pielii, încrucișare
🤞🏾	degete, degete încrucișate, degete încrucișate: ton semi‑închis al pielii, mână, noroc, ton semi‑închis al pielii, încrucișare
🤞🏿	degete, degete încrucișate, degete încrucișate: ton închis al pielii, mână, noroc, ton închis al pielii, încrucișare
🖖🏻	deget, salut, salut vulcanian, salut vulcanian: ton deschis al pielii, spock, ton deschis al pielii, vulcan
🖖🏼	deget, salut, salut vulcanian, salut vulcanian: ton semi‑deschis al pielii, spock, ton semi‑deschis al pielii, vulcan
🖖🏽	deget, salut, salut vulcanian, salut vulcanian: ton mediu al pielii, spock, ton mediu al pielii, vulcan
🖖🏾	deget, salut, salut vulcanian, salut vulcanian: ton semi‑închis al pielii, spock, ton semi‑închis al pielii, vulcan
🖖🏿	deget, salut, salut vulcanian, salut vulcanian: ton închis al pielii, spock, ton închis al pielii, vulcan
🤘🏻	coarne, deget, mână, rock, semnul cu coarne, semnul cu coarne: ton deschis al pielii, ton deschis al pielii
🤘🏼	coarne, deget, mână, rock, semnul cu coarne, semnul cu coarne: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🤘🏽	coarne, deget, mână, rock, semnul cu coarne, semnul cu coarne: ton mediu al pielii, ton mediu al pielii
🤘🏾	coarne, deget, mână, rock, semnul cu coarne, semnul cu coarne: ton semi‑închis al pielii, ton semi‑închis al pielii
🤘🏿	coarne, deget, mână, rock, semnul cu coarne, semnul cu coarne: ton închis al pielii, ton închis al pielii
🤙🏻	apela, mână, semnul sună-mă, semnul sună-mă: ton deschis al pielii, suna, ton deschis al pielii
🤙🏼	apela, mână, semnul sună-mă, semnul sună-mă: ton semi‑deschis al pielii, suna, ton semi‑deschis al pielii
🤙🏽	apela, mână, semnul sună-mă, semnul sună-mă: ton mediu al pielii, suna, ton mediu al pielii
🤙🏾	apela, mână, semnul sună-mă, semnul sună-mă: ton semi‑închis al pielii, suna, ton semi‑închis al pielii
🤙🏿	apela, mână, semnul sună-mă, semnul sună-mă: ton închis al pielii, suna, ton închis al pielii
🖐🏻	deget, deschis, mână, mână ridicată cu degetele depărtate, mână ridicată cu degetele depărtate: ton deschis al pielii, ton deschis al pielii
🖐🏼	deget, deschis, mână, mână ridicată cu degetele depărtate, mână ridicată cu degetele depărtate: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🖐🏽	deget, deschis, mână, mână ridicată cu degetele depărtate, mână ridicată cu degetele depărtate: ton mediu al pielii, ton mediu al pielii
🖐🏾	deget, deschis, mână, mână ridicată cu degetele depărtate, mână ridicată cu degetele depărtate: ton semi‑închis al pielii, ton semi‑închis al pielii
🖐🏿	deget, deschis, mână, mână ridicată cu degetele depărtate, mână ridicată cu degetele depărtate: ton închis al pielii, ton închis al pielii
✋🏻	mână, mână ridicată, mână ridicată: ton deschis al pielii, sus, ton deschis al pielii
✋🏼	mână, mână ridicată, mână ridicată: ton semi‑deschis al pielii, sus, ton semi‑deschis al pielii
✋🏽	mână, mână ridicată, mână ridicată: ton mediu al pielii, sus, ton mediu al pielii
✋🏾	mână, mână ridicată, mână ridicată: ton semi‑închis al pielii, sus, ton semi‑închis al pielii
✋🏿	mână, mână ridicată, mână ridicată: ton închis al pielii, sus, ton închis al pielii
👌🏻	gest, mână, ok, semnul ok, semnul ok: ton deschis al pielii, ton deschis al pielii
👌🏼	gest, mână, ok, semnul ok, semnul ok: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👌🏽	gest, mână, ok, semnul ok, semnul ok: ton mediu al pielii, ton mediu al pielii
👌🏾	gest, mână, ok, semnul ok, semnul ok: ton semi‑închis al pielii, ton semi‑închis al pielii
👌🏿	gest, mână, ok, semnul ok, semnul ok: ton închis al pielii, ton închis al pielii
👍🏻	+1, aprobare, da, mână, pozitiv, semn de aprobare, semn de aprobare: ton deschis al pielii, ton deschis al pielii
👍🏼	+1, aprobare, da, mână, pozitiv, semn de aprobare, semn de aprobare: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👍🏽	+1, aprobare, da, mână, pozitiv, semn de aprobare, semn de aprobare: ton mediu al pielii, ton mediu al pielii
👍🏾	+1, aprobare, da, mână, pozitiv, semn de aprobare, semn de aprobare: ton semi‑închis al pielii, ton semi‑închis al pielii
👍🏿	+1, aprobare, da, mână, pozitiv, semn de aprobare, semn de aprobare: ton închis al pielii, ton închis al pielii
👎🏻	-1, dezaprobare, mână, negativ, nu, semn de dezaprobare, semn de dezaprobare: ton deschis al pielii, ton deschis al pielii
👎🏼	-1, dezaprobare, mână, negativ, nu, semn de dezaprobare, semn de dezaprobare: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👎🏽	-1, dezaprobare, mână, negativ, nu, semn de dezaprobare, semn de dezaprobare: ton mediu al pielii, ton mediu al pielii
👎🏾	-1, dezaprobare, mână, negativ, nu, semn de dezaprobare, semn de dezaprobare: ton semi‑închis al pielii, ton semi‑închis al pielii
👎🏿	-1, dezaprobare, mână, negativ, nu, semn de dezaprobare, semn de dezaprobare: ton închis al pielii, ton închis al pielii
✊🏻	lovitură, mână, pumn, pumn ridicat, pumn ridicat: ton deschis al pielii, strâns, ton deschis al pielii, încleștat
✊🏼	lovitură, mână, pumn, pumn ridicat, pumn ridicat: ton semi‑deschis al pielii, strâns, ton semi‑deschis al pielii, încleștat
✊🏽	lovitură, mână, pumn, pumn ridicat, pumn ridicat: ton mediu al pielii, strâns, ton mediu al pielii, încleștat
✊🏾	lovitură, mână, pumn, pumn ridicat, pumn ridicat: ton semi‑închis al pielii, strâns, ton semi‑închis al pielii, încleștat
✊🏿	lovitură, mână, pumn, pumn ridicat, pumn ridicat: ton închis al pielii, strâns, ton închis al pielii, încleștat
👊🏻	lovitură, lovitură de pumn, lovitură de pumn: ton deschis al pielii, mână, pumn, strâns, ton deschis al pielii, încleștat
👊🏼	lovitură, lovitură de pumn, lovitură de pumn: ton semi‑deschis al pielii, mână, pumn, strâns, ton semi‑deschis al pielii, încleștat
👊🏽	lovitură, lovitură de pumn, lovitură de pumn: ton mediu al pielii, mână, pumn, strâns, ton mediu al pielii, încleștat
👊🏾	lovitură, lovitură de pumn, lovitură de pumn: ton semi‑închis al pielii, mână, pumn, strâns, ton semi‑închis al pielii, încleștat
👊🏿	lovitură, lovitură de pumn, lovitură de pumn: ton închis al pielii, mână, pumn, strâns, ton închis al pielii, încleștat
🤛🏻	pumn, pumn spre stânga, pumn spre stânga: ton deschis al pielii, spre stânga, ton deschis al pielii
🤛🏼	pumn, pumn spre stânga, pumn spre stânga: ton semi‑deschis al pielii, spre stânga, ton semi‑deschis al pielii
🤛🏽	pumn, pumn spre stânga, pumn spre stânga: ton mediu al pielii, spre stânga, ton mediu al pielii
🤛🏾	pumn, pumn spre stânga, pumn spre stânga: ton semi‑închis al pielii, spre stânga, ton semi‑închis al pielii
🤛🏿	pumn, pumn spre stânga, pumn spre stânga: ton închis al pielii, spre stânga, ton închis al pielii
🤜🏻	pumn, pumn spre dreapta, pumn spre dreapta: ton deschis al pielii, spre dreapta, ton deschis al pielii
🤜🏼	pumn, pumn spre dreapta, pumn spre dreapta: ton semi‑deschis al pielii, spre dreapta, ton semi‑deschis al pielii
🤜🏽	pumn, pumn spre dreapta, pumn spre dreapta: ton mediu al pielii, spre dreapta, ton mediu al pielii
🤜🏾	pumn, pumn spre dreapta, pumn spre dreapta: ton semi‑închis al pielii, spre dreapta, ton semi‑închis al pielii
🤜🏿	pumn, pumn spre dreapta, pumn spre dreapta: ton închis al pielii, spre dreapta, ton închis al pielii
🤚🏻	dosul palmei, dosul palmei ridicat, dosul palmei ridicat: ton deschis al pielii, ridicat, ton deschis al pielii
🤚🏼	dosul palmei, dosul palmei ridicat, dosul palmei ridicat: ton semi‑deschis al pielii, ridicat, ton semi‑deschis al pielii
🤚🏽	dosul palmei, dosul palmei ridicat, dosul palmei ridicat: ton mediu al pielii, ridicat, ton mediu al pielii
🤚🏾	dosul palmei, dosul palmei ridicat, dosul palmei ridicat: ton semi‑închis al pielii, ridicat, ton semi‑închis al pielii
🤚🏿	dosul palmei, dosul palmei ridicat, dosul palmei ridicat: ton închis al pielii, ridicat, ton închis al pielii
👋🏻	despărțire, mână, mână fluturată, mână fluturată: ton deschis al pielii, semn, ton deschis al pielii
👋🏼	despărțire, mână, mână fluturată, mână fluturată: ton semi‑deschis al pielii, semn, ton semi‑deschis al pielii
👋🏽	despărțire, mână, mână fluturată, mână fluturată: ton mediu al pielii, semn, ton mediu al pielii
👋🏾	despărțire, mână, mână fluturată, mână fluturată: ton semi‑închis al pielii, semn, ton semi‑închis al pielii
👋🏿	despărțire, mână, mână fluturată, mână fluturată: ton închis al pielii, semn, ton închis al pielii
🤟🏻	gest cu semnificația te iubesc, gest cu semnificația te iubesc: ton deschis al pielii, mână, te iubesc, ton deschis al pielii
🤟🏼	gest cu semnificația te iubesc, gest cu semnificația te iubesc: ton semi‑deschis al pielii, mână, te iubesc, ton semi‑deschis al pielii
🤟🏽	gest cu semnificația te iubesc, gest cu semnificația te iubesc: ton mediu al pielii, mână, te iubesc, ton mediu al pielii
🤟🏾	gest cu semnificația te iubesc, gest cu semnificația te iubesc: ton semi‑închis al pielii, mână, te iubesc, ton semi‑închis al pielii
🤟🏿	gest cu semnificația te iubesc, gest cu semnificația te iubesc: ton închis al pielii, mână, te iubesc, ton închis al pielii
